מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2104,"אג'יליטי ניהול קרנות גידור בע""מ",ריק במקור,ריק במקור,AGILITY EQUITY קרן השקעה,666113121,פנימי,קרן גידור (Hedge Fund),ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,25/02/2025,ILS,דיווח מנהל קרן,אי-תלות,30/09/2025,1,שווי הוגן במטבע הקרן,16.559,6.920228393029688e-05,0.00114,9e-05
163,2104,אלפא לונג ביאס גי פי בעמ,ריק במקור,ריק במקור,ALPHA OPP S12/1,XD0467158321,ISIN,קרן גידור (Hedge Fund),ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,22/11/2017,ILS,דיווח מנהל קרן,אי-תלות,30/09/2025,1,שווי הוגן במטבע הקרן,27.66,6.920358606678116e-06,0.0019,0.00015
163,2104,AMI GP LP Inc,ריק במקור,ריק במקור,AMI opportunities ALP קרן השקעה,666103148,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,17/12/2015,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,5.67,6.920809702999614e-06,0.00039,3e-05
163,2104,ארבל פאנד 2 גי פי שותפות מוגבלת,ריק במקור,ריק במקור,ARBEL 2,666109525,פנימי,קרן חוב,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,23/09/2021,ILS,דיווח מנהל קרן,אי-תלות,30/09/2025,1,שווי הוגן במטבע הקרן,151.693,0.00012689988377049811,0.01043,0.00082
163,2104,"נו פארמה פאנד בע""מ",ריק במקור,ריק במקור,"Bennu Pharma Fund, LP",666113337,פנימי,קרן גידור (Hedge Fund),ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,3/06/2025,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,5.052,0.00013840824761925897,0.00035,3e-05
163,2104,פימי 7 2020 בעמ,ריק במקור,ריק במקור,FIMI VII,666107891,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,18/03/2020,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,48.809,2.2629024329074027e-05,0.00335,0.00026
163,2104,פורטיסימו קאפיטל פאנד,ריק במקור,ריק במקור,FORTISSIMO CAPITAL,666101894,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,23/12/2013,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,0.001,3.8628127971721934e-05,0,0
163,2104,Fortissimo Capital Fund III (GP) L.P,ריק במקור,ריק במקור,FORTISSIMO CAPITAL 3,666101886,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,23/12/2013,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,2.797,9.14124764616608e-06,0.00019,2e-05
163,2104,Fortissimo Capital Fund IV (GP) L.P,ריק במקור,ריק במקור,FORTISSIMO CAPITAL 4,666103056,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,1/10/2015,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,20.234,1.4668211728108381e-05,0.00139,0.00011
163,2104,Fortissimo Capital Fund VI GP L.P,ריק במקור,ריק במקור,FORTISSIMO FUND 6,66611195,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,23/05/2023,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,34.166,2.0068782206719794e-05,0.00235,0.00019
