מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2104,קסם קרנות נאמנות,510938608,ח.פ.,קסם KTFי4Dי Cboe S&P 500 15% Buffer DEC IC - מובנה שנתי,IL0051396138,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"מניות בחו""ל - מניות גיאוגרפי-ארה""ב חשופת מט""ח",לא,ILS,405679,1,98.08,397.89,0,0.07206,0.00215
163,2104,ACC SICAV ACCUM,529900R1XXRGO69HAI08,LEI,Accumulus Fund AIF -USD,LI1165463954,ISIN,"אג""ח קונצרני","חו""ל",גלובלי,סחיר,Euronext,Bond/Fixed Income Funds,לא,USD,65.285,3.306,127496,275.176,0.00152,0.04984,0.00149
163,2104,India Acorn ICAV,213800M3HXZ3RG189568,LEI,ASHOKA INDIA OPPORT FD-D USD,IE00BH3N4915,ISIN,מניות,"חו""ל",הודו,סחיר,Euronext,"CNX NIFTY - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה הודו",לא,USD,5.232,3.306,25948,4.488,0,0.00081,2e-05
163,2104,BLUEBAY FINANCIAL CAPITAL BOND FUND,549300V6PSZE4CFW3430,LEI,bluebay financial capital,LU1163201939,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,Euronext,Bond/Fixed Income Funds,לא,USD,302.458,3.306,21628,216.264,0,0.03917,0.00117
163,2104,BlueBay Funds SICAV/,549300MVR2RDXFI8TV47,LEI,BLUEBAY-EM.MKT,LU1167331617,ISIN,"אג""ח קונצרני","חו""ל","גלובלי ללא ארה""ב",סחיר,Euronext,Bond/Fixed Income Funds,לא,USD,400.956,3.306,15263,202.321,0,0.03664,0.0011
163,2104,BNY MELLON EFFICIENT U.S. FALLEN ANGELS,213800YL6BXGT6FIQ433,LEI,BNY Mellon Efficient U.S. Fallen Angels Beta Fund,IE00BM94ZR83,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,Euronext,Bond/Fixed Income Funds,לא,USD,230.435,3.306,124.17,0.946,6e-05,0.00017,1e-05
163,2104,CIFC SEN SEC LO,5493001KJTIIGC8Y1R12,LEI,CIFC SEN.SEC.CO,XD1331105464,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,Euronext,Bond/Fixed Income Funds,לא,USD,46.654,3.306,177135.06,273.208,0,0.04948,0.00148
163,2104,CT Lux Japan Equities,5493000LMPLEZ8VQSU41,LEI,CTLUX-JAPAN E,LU2656573388,ISIN,מניות,"חו""ל",יפן,סחיר,Euronext,"NIKKEI 225 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה יפן",לא,JPY,7.474,2.233,1434491.23,2.394,2.64e-06,0.00043,1e-05
163,2104,CT Lux European Corporate Bond,549300MRKNETV49EZ274,LEI,CTLX European Corporate Bond NE EUR Cap,LU2591118380,ISIN,"אג""ח קונצרני","חו""ל",אירופה,סחיר,Euronext,Bond/Fixed Income Funds,לא,EUR,4332.173,3.881,1135.4,190.882,0.00023,0.03457,0.00103
163,2104,Enam India Opportunities Fund,635400O17BY3HL4ZVA86,LEI,ENAM INDIA OPP,IE000016ESL7,ISIN,מניות,"חו""ל",הודו,סחיר,Euronext,"CNX NIFTY - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה הודו",לא,USD,5.313,3.306,1249.99,0.22,1.55e-06,4e-05,0
163,2104,Franklin Templeton Investment,52DC3OQ566KTOB6P9G61,LEI,FRANK TEMP GL C,LU0727122698,ISIN,"אג""ח קונצרני","חו""ל",גלובלי,סחיר,Euronext,Bond/Fixed Income Funds,לא,USD,1278.221,3.306,2955,124.872,0.0001,0.02262,0.00068
163,2104,Franklin Emerging Market Corpo,UIWDVWT2QLK7RQOTD662,LEI,Franklin Emerging Market Corporate Debt Fund,LU2922701516,ISIN,"אג""ח קונצרני","חו""ל","גלובלי ללא ארה""ב",סחיר,Euronext,Bond/Fixed Income Funds,לא,USD,32.457,3.306,107388,115.229,0.00057,0.02087,0.00062
163,2104,GAM STAR CREDIT OPPORTUNITIES (EUR),549300Q7O671NUXGIL66,LEI,GAM Star Credit Opp Instl EUR,IE00B50JD354,ISIN,"אג""ח קונצרני","חו""ל",אירופה,סחיר,Euronext,Bond/Fixed Income Funds,לא,EUR,0.01,3.881,1729.31,0.001,0,0,0
163,2104,Heptagon ICAV,549300RXFCG13MFJ0X66,LEI,HEPTAGON US Small Cap Equity,IE00BH3ZJB48,ISIN,מניות,"חו""ל","ארה""ב",סחיר,Euronext,"מניות בחו""ל - מניות גיאוגרפי-ארה""ב חשופת מט""ח",לא,USD,5.939,3.306,17074,3.352,1e-05,0.00061,2e-05
163,2104,Ninety One Global Strategy Fun,213800UKABOFL2FFQV69,LEI,IGS-EMERG MKT CORP D,LU0611395327,ISIN,"אג""ח קונצרני","חו""ל","גלובלי ללא ארה""ב",סחיר,Euronext,Bond/Fixed Income Funds,לא,USD,1483.935,3.306,3735,183.235,4e-05,0.03319,0.00099
163,2104,Invesco Zodiac Funds - Invesco,54930018NLZFHH4SX952,LEI,nvesco Funds Inv Europ Senior Loan,LU0769026740,ISIN,"אג""ח ממשלתי","חו""ל",אירופה,סחיר,Euronext,Bond/Fixed Income Funds,לא,EUR,324.913,3.881,15336,193.37,0.00032,0.03502,0.00105
163,2104,Invesco US Senior Loan Fund,549300HQ8IBAX0TXDL49,LEI,Invesco US Senior Loan,LU0564079282,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,Euronext,Bond/Fixed Income Funds,לא,USD,343.358,3.306,19400,220.217,6e-05,0.03988,0.00119
163,2104,INVESCO-GL.,549300O1G4R8ZUCFAT61,LEI,Invesco Global Investment Grade Corporate Bond,LU1549404991,ISIN,"אג""ח קונצרני","חו""ל",גלובלי,סחיר,Euronext,Bond/Fixed Income Funds,לא,USD,10496.302,3.306,1307.53,453.723,0.00173,0.08218,0.00246
163,2104,Janus Henderson Horizon Pan Eu,213800PTNMP9V9T45J20,LEI,Janus Henderson Horizon Pan European Smaller Compa,LU1692455097,ISIN,מניות,"חו""ל",אירופה,סחיר,Euronext,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אירופה - מדד אחר",לא,EUR,2.209,3.881,8014,0.687,9.5e-07,0.00012,0
