Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 37
,168,12155.0,"סלע קפיטל נדל""ן בע""מ",513992529,ח.פ.,"סלע נדלן אג""ח ה",IL0012050873,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,S&P מעלות,מנפיק,ILS,6.96,2037-04-10,0.03,0.0303,החוב לא נחות,,1003633.88,1.0,107.6,,1079.91005,,,,0.002272,0.001041,3.8e-05,
,168,12155.0,"אמות השקעות בע""מ",520026683,ח.פ.,"אמות אג""ח ו",IL0011586091,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,Aa2.il,מידרוג Moodys,מנפיק,ILS,2.63,2029-10-03,0.0114,0.0288,החוב לא נחות,,6775498.78,1.0,111.73,879.92709,8450.19187,,,,0.003185,0.00815,0.0003,
,168,12155.0,"להב אל.אר רילאסטייט בע""מ",520034257,ח.פ.,"להב אג""ח ג",IL0011933418,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,A2.il,מידרוג Moodys,מנפיק,ILS,2.34,2028-07-10,0.0373,0.0315,החוב לא נחות,,654084.51,1.0,112.2,,733.88282,,,,0.001555,0.000707,2.6e-05,
,168,12155.0,"אלבר שירותי מימונית בע""מ",512025891,ח.פ.,"אלבר אג""ח יז",IL0011587321,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,שירותים,לא,ilA+,S&P מעלות,מנפיק,ILS,0.67,2027-01-20,0.0185,0.0477,החוב לא נחות,,699856.71,1.0,115.12,,805.67504,,,,0.002102,0.000777,2.8e-05,
,168,12155.0,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,"לאומי אג""ח 187",IL0012286592,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,כן,Aaa.il,מידרוג Moodys,מנפיק,ILS,5.78,2034-05-01,0.0459,0.0454,החוב לא נחות,,3535271.53,1.0,100.58,,3555.7761,,,,0.001892,0.00343,0.000126,
,168,12155.0,"ג'י סיטי בע""מ",520033234,ח.פ.,"ג'י סיטי אג""ח 15",IL0012607698,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,חסום,TASE,"נדל""ן מניב בחו""ל",לא,A2.il,מידרוג Moodys,מנפיק,ILS,2.07,2028-03-31,0.0133,0.031,החוב לא נחות,,50949.57,1.0,114.560646,,58.36816,,,,0.000176,5.6e-05,2e-06,
,168,12155.0,"חברת החשמל לישראל בע""מ",520000472,ח.פ.,"חשמל אג""ח 31",IL0060002859,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,Aaa.il,מידרוג Moodys,מנפיק,ILS,4.93,2031-09-20,0.0239,0.026,החוב לא נחות,,6022789.32,1.0,117.27,,7062.92504,,,,0.001548,0.006813,0.000251,
,168,12155.0,"אלרוב נדל""ן ומלונאות בע""מ",520038894,ח.פ.,"אלרוב נדלן אג""ח ז",IL0012074717,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ilAA-,S&P מעלות,מנפיק,ILS,3.74,2032-06-30,0.0347,0.0315,החוב לא נחות,,635925.15,1.0,106.96,,680.18554,,,,0.001717,0.000656,2.4e-05,
,168,12155.0,"מזרחי טפחות חברה להנפקות בע""מ",520032046,ח.פ.,"מזרחי טפחות הנפקות אג""ח 67",IL0011968075,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,Aaa.il,מידרוג Moodys,מנפיק,ILS,3.97,2033-06-12,0.0206,0.0252,החוב לא נחות,,7235550.08,1.0,106.36,,7695.73107,,,,0.004521,0.007423,0.000273,
,168,12155.0,"איירפורט סיטי בע""מ",511659401,ח.פ.,"איירפורט אג""ח יא",IL0011959991,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,S&P מעלות,מנפיק,ILS,7.29,2039-04-30,0.0264,0.0269,החוב לא נחות,,1924708.09,1.0,109.4,,2105.63065,,,,0.006415,0.002031,7.4e-05,
,168,12155.0,"חברה לנכסים ולבנין בע""מ",520025438,ח.פ.,"נכסים ובנין אג""ח י",IL0011936304,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilA,S&P מעלות,מנפיק,ILS,,2029-06-30,0.0362,0.0299,החוב לא נחות,,1725802.25,1.0,112.77,,1946.1872,,,,0.000951,0.001877,6.9e-05,
