Unnamed: 0,מספר קרן,מספר מסלול,מאפיין עיקרי,חודש הנפקת שכבה,חודש הבדיקה,"שווי הנכסים באפיק (באלפי ש""ח)",שיעור מסך נכסי ההשקעה,Unnamed: 8
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,146305.54538,0.005204,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,348542.06668,0.012399,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,186338.12992,0.006629,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,281177.53503,0.010003,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,218747.1716,0.007782,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,241633.33345,0.008596,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,215420.3049,0.007663,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,166035.86546,0.005906,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,161013.90642,0.005728,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,102601.15379,0.00365,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,215595.14741,0.007669,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,47479.03628,0.001689,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,419844.98355,0.014936,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,136777.73625,0.004865,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,335346.77142,0.01193,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,197671.96808,0.007032,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,144755.96214,0.005149,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,258636.87953,0.009201,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,188173.23526,0.006694,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,15366.72643,0.000546,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,302864.72727,0.010774,
,168,12155.0,החזקה באפיק השקעה מובטח תשואה,,,356235.51078,0.012673,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,5400.30917,0.002237,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,9648.7847,0.003997,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,12510.54685,0.005183,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,13289.8284,0.005506,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,7374.4095,0.003055,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,10489.69313,0.004345,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,8160.64734,0.003381,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,7020.04694,0.002908,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,5458.11839,0.002261,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,8036.53426,0.003329,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,6006.8329,0.002488,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,6951.58595,0.00288,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,8043.05698,0.003332,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,3827.6693,0.001585,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,6194.1836,0.002566,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,1771.26711,0.000733,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,11298.762,0.004681,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,13002.81447,0.005387,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,573.27569,0.000237,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,9014.44533,0.003734,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,5102.67109,0.002114,
,168,13303.0,החזקה באפיק השקעה מובטח תשואה,,,15662.86239,0.006489,
