תחילת מידע טבלה צד ימין,תחילת מידע,Unnamed: 2,Unnamed: 3,Unnamed: 4,סוף מידע טבלה צד שמאל
,"שם גיליון
(רלוונטי לגיליונות עם עמודה ""מאפיין עיקרי"")",שם עמודה,אפשרות בחירה,הערות והסברים,
,,"ישראל/חו""ל ",ישראל,,
,,,"חו""ל",,
,,"מדינה לפי חשיפה כלכלית; מדינת התאגדות קרן השקעה, מיקום משרד השותף הכללי, מדינת מיקום נדל""ן",ישראל,,
,,,אוסטריה,,
,,,אוסטרליה,,
,,,אזור תעלת פנמה,,
,,,אזרביג'אן,,
,,,איחוד האמירויות הערביות,,
,,,איטליה,,
,,,איי הבתולה הבריטיים,,
,,,איי הבתולה של ארצות הברית,,
,,,איי סיישל,,
,,,איי קיימן,,
,,,איי שלמה הבריטיים,,
,,,איסלנד,,
,,,אירלנד,,
,,,אנדורה,,
,,,אסטוניה,,
,,,ארגנטינה,,
,,,"ארה""ב",,
,,,אתיופיה,,
,,,בהמס,,
,,,בולגריה,,
,,,בוליביה,,
,,,בחריין,,
,,,בלגיה,,
,,,בליז,,
,,,ברזיל,,
,,,בריטניה,,
,,,ברמודה,,
,,,גאורגיה,,
,,,גיברלטר,,
,,,גמייקה,,
,,,גרמניה,,
,,,ג'רזי (Jersey),,
,,,גרנזי (Guernsey),,
,,,דנמרק,,
,,,דרום אפריקה,,
,,,דרום קוריאה,,
,,,הודו,,
,,,הולנד,,
,,,הונג קונג,,
,,,הונגריה,,
,,,הונדורס,,
,,,טייוואן,,
,,,יוון,,
,,,יפן,,
,,,ירדן,,
,,,לוכסמבורג,,
,,,לטביה,,
,,,ליטא,,
,,,ליכטנשטיין,,
,,,מאוריציוס,,
,,,מולדובה,,
,,,מונקו,,
,,,מלדיבים,,
,,,מלטה,,
,,,מלזיה,,
,,,מצרים,,
,,,מקסיקו,,
,,,מרוקו,,
,,,נורבגיה,,
,,,ניו זילנד,,
,,,סין,,
,,,סינגפור,,
,,,סלובניה,,
,,,סלובקיה,,
,,,ספרד,,
,,,סרביה,,
,,,ערב הסעודית,,
,,,פולין,,
,,,פורטוגל,,
,,,פינלנד,,
,,,פנמה,,
,,,צילה,,
,,,צכיה,,
,,,צרפת,,
,,,קנדה,,
,,,קפריסין,,
,,,רומניה,,
,,,רוסיה,,
,,,שוודיה,,
,,,שוויץ,,
,,,תורכיה,,
,,,אסיה,,
,,,אפריקה,,
,,,אמריקה הצפונית,,
,,,אמריקה הדרומית,,
,,,אירופה,,
,,,אוקיאניה,,
,,,"גלובלי ללא ארה""ב",,
,,,גלובלי,,
,,,Emerging Markets - Americas,שווקים מתעוררים לפי הגדרת MSCI,
,,,"Emerging Markets - Euope, Middle East & Africa",לפי הגדרת MSCI,
