Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,מאפיין עיקרי,מאפיין הלוואות מתואמות עבור זכויות מקרקעין,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,קונסורציום/ סינדיקציה,מספר קונסורציום/ סינדיקציה,תאריך העמדת הלוואה,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,"מח""מ",סוג הריבית,שיעור ריבית,סוג הצמדה,ריבית עוגן,שיעור תוספת/הפחתה לריבית העוגן,תשואה לפדיון,מועד פדיון,נחיתות חוזית,סוג בטוחה,שווי הבטוחות העומדות כנגד ההלוואה,שיעור הבטוחות מהחוב,מועד עדכון אחרון לשווי הבטוחות,זכות חזרה,מבנה לוח סילוקין,יעוד הלוואה,זכות פירעון מוקדם,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,שיעור ריבית בגין אי-ניצול מסגרת האשראי,ערך נקוב,שער הלוואה,שער חליפין,"שווי הוגן (באלפי ש""ח)",שווי הוגן (במטבע הפעילות),"עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),האם סווג כחוב בעייתי,השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 54
,168,12155.0,,,,25000073.0,תאגיד,"נדל""ן מניב - משרדים",ישראל,,"נדל""ן מניב בישראל",כן,לא,,2014-05-12,ilA-,S&P מעלות,מנפיק,ILS,2.54,קבועה,0.054,,,,0.035,2030-12-21,החוב לא נחות,,,,2025-06-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,585694.75,125.07,1.0,732.52842,732.52842,,,,,0.000618,2.6e-05,
,168,12155.0,,,,25000980.0,תאגיד,,ישראל,,אשראי חוץ בנקאי,לא,כן,,2024-12-08,NR,NR,NR,ILS,3.74,קבועה,0.051228,,,,0.0537,2029-11-20,החוב לא נחות,,,,2025-09-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,41132.51,102.24,1.0,42.05387,42.05387,,,,,3.5e-05,1e-06,
,168,12155.0,,,,25000979.0,תאגיד,תשתיות - שלב הקמה,ישראל,,שירותים,לא,כן,,2024-11-25,A1.il,מידרוג Moodys,מנפיק,ILS,2.09,משתנה,0.067,,,,0.0641,2028-01-01,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,1104007.77,99.79,1.0,1101.68936,1101.68936,,,,,0.00093,3.9e-05,
,168,12155.0,,,,25000978.0,תאגיד,פעילות שוטפת של התאגיד - אחר/לא מסווג,ישראל,,"נדל""ן מניב בישראל",לא,לא,,2024-11-26,A-,פנימי,מנפיק,ILS,3.5,משתנה,0.069,,,,0.0649,2030-11-26,החוב לא נחות,,,,,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,11745775.91,101.62,1.0,11936.05747,11936.05747,,,,,0.010078,0.000424,
,168,12155.0,,,,25000977.0,תאגיד,תשתיות - שלב הקמה,ישראל,,קלינטק,לא,כן,,2024-11-28,NR,NR,NR,ILS,7.9,קבועה,0.0502,,,,0.0513,2045-03-31,החוב לא נחות,,,,2024-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,2175480.93,101.08,1.0,2198.97613,2198.97613,,,,,0.001856,7.8e-05,
,168,12155.0,,,,25000976.0,תאגיד,תשתיות - שלב הקמה,ישראל,,שירותים,לא,כן,,2024-11-28,A1.il,מידרוג Moodys,מנפיק,ILS,3.3,משתנה,0.069,,,,0.0639,2029-05-31,החוב לא נחות,,,,2024-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,589188.49,100.49,1.0,592.07551,592.07551,,,,,0.000499,2.1e-05,
,168,12155.0,,,,25000974.0,תאגיד,תשתיות - שלב הקמה,ישראל,,שירותים,לא,כן,,2024-11-25,A1.il,מידרוג Moodys,מנפיק,ILS,9.33,משתנה,0.067,,,,0.0532,2047-12-31,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,605846.05,104.55,1.0,633.41204,633.41204,,,,,0.000534,2.2e-05,
,168,12155.0,,,,25000972.0,תאגיד,תשתיות - שלב הקמה,ישראל,,בנייה,לא,כן,,2024-11-18,A1.il,מידרוג Moodys,מנפיק,ILS,1.37,משתנה,0.066,,,,0.0623,2027-02-28,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,785426.73,100.08,1.0,786.05507,786.05507,,,,,0.000663,2.7e-05,
,168,12155.0,,,,25000971.0,תאגיד,,ישראל,,אשראי חוץ בנקאי,לא,כן,,2024-11-04,NR,NR,NR,ILS,3.4,קבועה,0.05176,,,,0.051,2029-10-20,החוב לא נחות,,,,2025-09-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,26530.44,103.84,1.0,27.54921,27.54921,,,,,2.3e-05,0.0,
,168,12155.0,,,,25000969.0,תאגיד,תשתיות - שלב הקמה,ישראל,,בנייה,לא,כן,,2024-10-15,A1.il,מידרוג Moodys,מנפיק,ILS,1.37,משתנה,0.066,,,,0.0588,2027-02-28,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,587141.39,100.53,1.0,590.25324,590.25324,,,,,0.000498,2e-05,
