Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 25
,168,12155.0,קרית אונו – סופרין וייס שמירה אימבר 9 קרית אונו,"נדל""ן לא מניב",ישראל,לא,2021-05-02,משרדים,שלבים מתקדמים,קריית אונו,0.0,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,11921.69889,11921.69889,,,,0.192333,0.000424,
,168,12155.0,"מתחם ה- 1000 גוש 3946 חלקה 228 ראשל""צ","נדל""ן לא מניב",ישראל,לא,2022-05-10,משרדים,שלבים מתקדמים,ראשון לציון,0.0,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,18992.24745,18992.24745,,,,0.306402,0.000675,
,168,12155.0,"ג'י סיטי-מיקדו סנטר ת""א גוש 6626 חלקה 22 צפון ת""א","נדל""ן מניב",ישראל,לא,2024-12-31,מסחר,בשימוש,"גוש 6626 חלקה 22 רח' אהרון בקר 8, תל ברוך צפון, ת""א_x000D_
",5e-05,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,7627.29,7627.29,,,,0.123051,0.000271,
,168,12155.0,"ג'י סיטי-כוכב הצפון ת""א גוש 7186 חלקה 28","נדל""ן מניב",ישראל,לא,2024-12-31,מסחר,בשימוש,"גוש 7186 חלקה 28 ח' מאיר יערי 19 ת""א_x000D_
",0.00011,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,3528.14,3528.14,,,,0.056919,0.000125,
,168,12155.0,"ג'י סיטי-צמרת ת""א גוש 6108 חלקה 72","נדל""ן מניב",ישראל,לא,2024-12-31,מסחר,בשימוש,"גוש 6108 חלקה 72 רח' אלוני ניסים 10 פינת רחוב קריאל גרדוש (דוש), ת""א_x000D_
",3e-05,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,11713.68,11713.68,,,,0.188977,0.000416,
,168,12155.0,ג'י סיטי-סביון חלקה 55+63 בגוש 6691 וחלק מ147 6722,"נדל""ן מניב",ישראל,לא,2024-12-31,מסחר,בשימוש,"חלקות 55 ו- 63 בגוש 6691 וחלק מחלקה 147 בגוש 6722  רח' השקמה 1 סביון_x000D_
",5e-05,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,8201.49,8201.49,,,,0.132315,0.000291,
,168,13303.0,ג'י סיטי-סביון חלקה 55+63 בגוש 6691 וחלק מ147 6722,"נדל""ן מניב",ישראל,לא,2024-12-31,מסחר,בשימוש,"חלקות 55 ו- 63 בגוש 6691 וחלק מחלקה 147 בגוש 6722  רח' השקמה 1 סביון_x000D_
",5e-05,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,1542.6,1542.6,,,,0.263963,0.000639,
,168,13303.0,"ג'י סיטי-צמרת ת""א גוש 6108 חלקה 72","נדל""ן מניב",ישראל,לא,2024-12-31,מסחר,בשימוש,"גוש 6108 חלקה 72 רח' אלוני ניסים 10 פינת רחוב קריאל גרדוש (דוש), ת""א_x000D_
",3e-05,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,2203.2,2203.2,,,,0.377002,0.000912,
,168,13303.0,"ג'י סיטי-מיקדו סנטר ת""א גוש 6626 חלקה 22 צפון ת""א","נדל""ן מניב",ישראל,לא,2024-12-31,מסחר,בשימוש,"גוש 6626 חלקה 22 רח' אהרון בקר 8, תל ברוך צפון, ת""א_x000D_
",5e-05,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,1434.6,1434.6,,,,0.245482,0.000594,
,168,13303.0,"ג'י סיטי-כוכב הצפון ת""א גוש 7186 חלקה 28","נדל""ן מניב",ישראל,לא,2024-12-31,מסחר,בשימוש,"גוש 7186 חלקה 28 ח' מאיר יערי 19 ת""א_x000D_
",0.00011,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,663.6,663.6,,,,0.113552,0.000274,
