Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 21
,168,12155.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,VGZ5 DEC25 EUROSTOXX משתנה,VGZ5 INDEX,טיקר,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,382.67,3.8807,554100.0,1389.7214699999988,0.3326177944836535,4.941180479949544e-05,
,168,12155.0,ASX Ltd,549300VSBVYUCBIQKT71,LEI,XPZ5 DEC25 ASX משתנה,XPZ5 INDEX,טיקר,"חו""ל",אוסטרליה,ASX,מניות לרבות מדדי מניות,לא,AUD,38.93,2.1849,887300.0,-112.7000700000003,-0.026973785417270333,-4.007071906091722e-06,
,168,12155.0,Osaka Exchange Inc,3538001249AILNPRUX57,LEI,TPZ5 DEC25 TOPIX משתנה,TPZ5 INDEX,טיקר,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,73.83,0.022332,314100.0,269.2619299999997,0.06444551028992297,9.573657896423952e-06,
,168,12155.0,Montreal Exchange Inc,549300DKBYNOI0B1NP44,LEI,PTZ5 TSX DEC25 משתנה,PTZ5 INDEX,טיקר,"חו""ל",קנדה,אחר,מניות לרבות מדדי מניות,לא,CAD,29.34,2.3745,177280.0,446.03373000000045,0.10675430921990264,1.5858812054440587e-05,
,168,12155.0,CHICAGO MERCANTILE EXCHANGE INC,SNZ2OJLFK8MNNCLQOF39,LEI,ESZ5 DEC25 S&P 500 משתנה,ESZ5 INDEX,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,108.64,3.306,673875.0,1266.7683299999983,0.3031900255857317,4.504018308657402e-05,
,168,12155.0,ICE FUTURES US INC,5493004R83R1LVX2IL36,LEI,Z Z5 DEC25 FTSE משתנה,Z Z5 INDEX,טיקר,"חו""ל",בריטניה,ICE,מניות לרבות מדדי מניות,לא,GBP,115.76,4.4409,940750.0,514.5842299999968,0.12316127753186985,1.8296137804979385e-05,
,168,12155.0,CHICAGO MERCANTILE EXCHANGE INC,SNZ2OJLFK8MNNCLQOF39,LEI,UXYZ5 DEC 25 US 10yr 6% משתנה,UXYZ5 INDEX,טיקר,"חו""ל","ארה""ב",CME,"ריבית ואג""ח",לא,USD,14.87,3.306,11507.8125,54.724899999999444,0.01309793072516777,1.945753976494213e-06,
,168,12155.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,RBEZ5 DEC25 MSCIEM משתנה,RBEZ5 INDEX,טיקר,"חו""ל",אסיה,EUREX,מניות לרבות מדדי מניות,לא,USD,394.68,3.306,135700.0,342.5113400000036,0.08197712200304573,1.2178054264135248e-05,
,168,12155.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,SMZ5 DEC25 SMI משתנה,SMZ5 INDEX,טיקר,"חו""ל",שוויץ,EUREX,מניות לרבות מדדי מניות,לא,CHF,24.92,4.1427,1210600.0,7.22739999999851,0.0017298155779738105,2.569715484123592e-07,
,168,13303.0,Montreal Exchange Inc,549300DKBYNOI0B1NP44,LEI,PTZ5 TSX DEC25 משתנה,PTZ5 INDEX,טיקר,"חו""ל",קנדה,אחר,מניות לרבות מדדי מניות,לא,CAD,8.99,2.3745,177280.0,136.74975999999978,0.10727968927856295,5.6654256587225286e-05,
