Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה,Unnamed: 18
,168,12155.0,התחייבות להשקעה,Genstar,,,GENSTAR CAPITAL PARTNERS XI L.P.,291231255.0,פנימי,USD,2023-04-26,4136.997,13676.912082,3602.490381,11909.8332,0.870798,2033-04-30,
,168,12155.0,התחייבות להשקעה,"TA ASSOCIATES XV GP, L.P.",,,TA Associates XV,291231258.0,פנימי,USD,2023-06-13,4654.121,15386.524026,3537.132059,11693.75859,0.76,2033-06-13,
,168,12155.0,התחייבות להשקעה,ICG Europe Fund IX GP LP SCSp,,,ICG Europe Fund IX Feeder SCSp,291231301.0,פנימי,EUR,2025-04-01,3435.0,13330.2045,3401.909609,13201.79062,0.990366,2035-03-31,
,168,12155.0,התחייבות להשקעה,LCN European Fund III GP S.a r.l.,,,LCN European Fund III SLP,291231096.0,פנימי,EUR,2020-11-11,2149.639,8342.104067,92.144468,357.58504,0.042865,2027-10-19,
,168,12155.0,התחייבות להשקעה,Cheyne Capital Management (UK) LLP,,,CHEYNE ESVC RAIF ESVC II INV,291231148.0,פנימי,EUR,2021-09-02,6120.0,23749.884,1512.518999,5869.63248,0.247143,2027-06-30,
,168,12155.0,התחייבות להשקעה,Vintage Co-Investment III G.P.,,,Vintage Growth III - Vintage Co-Invest III,291231070.0,פנימי,USD,2019-11-26,330.286,1091.925516,71.01147,234.76392,0.214999,2028-11-30,
,168,12155.0,התחייבות להשקעה,Mission Capital GP 6 Lux S.a.r.l.,,,"AXIOM ASIA 6, L.P.",291231092.0,פנימי,USD,2020-09-30,1764.942,5834.898252,511.832831,1692.11934,0.289999,2032-09-30,
,168,12155.0,התחייבות להשקעה,"BPEA Private Equity GP VIII, L.P.",,,"BPEA Private Equity Fund VIII, L.P.",291231170.0,פנימי,USD,2021-12-30,10880.0,35969.28,355.346119,1174.77427,0.03266,2031-12-31,
,168,12155.0,התחייבות להשקעה,FIMI 7 2020 Ltd.,,,פימי 7,291231107.0,פנימי,USD,2021-01-24,757.113,2503.015578,318.021479,1051.37901,0.420044,2030-04-30,
,168,12155.0,התחייבות להשקעה,תחנת כח שורק אנרגיה שותפות מוגבלת,,,תחנת כח שורק אנרגיה שותפות מוגבלת,291231299.0,פנימי,ILS,2025-02-01,7409.092,7409.092,7405.49382,7405.49382,0.999514,2054-12-31,
,168,12155.0,התחייבות להשקעה,Lexington Partners GP Holdings IX LLC,,,Lexington Capital Partners IX,291231074.0,פנימי,USD,2020-01-12,2353.257,7779.867642,492.45856,1628.068,0.209266,2028-10-24,
,168,12155.0,התחייבות להשקעה,"Stage One Capital (GP) IV, L.P",,,"Stage One Venture Capital Fund IV, L.P.",291231183.0,פנימי,USD,2022-02-28,2856.0,9441.936,1569.281839,5188.04576,0.549468,2031-12-31,
,168,12155.0,התחייבות להשקעה,Silverstein DF I GP LLC,,,SCP IRE SERIES III LP,291231174.0,פנימי,USD,2021-12-30,11421.0,37757.826,10880.207329,35969.96543,0.952649,2028-12-31,
,168,12155.0,התחייבות להשקעה,Klirmark Fund IV (G.P) L.P,,,"Klirmark Opportunity Fund IV, L.P._x000D_
",291231274.0,פנימי,ILS,2024-03-01,13275.0,13275.0,7035.75,7035.75,0.53,2031-03-30,
,168,12155.0,התחייבות להשקעה,"Clayton, Dubilier & Rice, LLC",,,"CLAYTON, DUBILIER AND RICE FUND XI, L.P.",291231111.0,פנימי,USD,2021-01-27,8840.0,29225.04,1346.239249,4450.66696,0.152289,2031-01-31,
,168,12155.0,התחייבות להשקעה,"TPG Growth GenPar V, L.P.",,,"TPG Growth VI, L.P.",291231282.0,פנימי,USD,2024-06-28,4466.0,14764.596,2792.321709,9231.41557,0.625239,2035-05-01,
,168,12155.0,התחייבות להשקעה,Signal Alpha III GP Limited,,,Signal Alpha III,291231259.0,פנימי,EUR,2023-06-13,8109.732,31471.436972,3463.504749,13440.82288,0.42708,2030-06-12,
,168,12155.0,התחייבות להשקעה,"New Era Capital Partners GP II, L.P.",,,"NEW ERA CAPITAL PARTNERS II, L.P.",291231173.0,פנימי,USD,2021-12-30,2720.0,8992.32,360.3033,1191.16271,0.132464,2028-12-31,
,168,12155.0,התחייבות להשקעה,CVC Credit EU DL II Coinvest (GP) S.a r.l.,,,CVC Credit EU DL II Co-Invest,291231138.0,פנימי,EUR,2021-05-31,6309.278,24484.415135,1187.084469,4606.7187,0.188149,2026-09-30,
,168,12155.0,התחייבות להשקעה,RedTree French Real Estate GP S.a.r.l,,,REDTREE FRENCH REAL ESTATE FUND SCS SICAV-RAIF,291231169.0,פנימי,EUR,2021-12-28,5710.5,22160.73735,654.649009,2540.49641,0.114639,2028-12-31,
,168,12155.0,התחייבות להשקעה,COGITO CAPITAL FUND II GENERAL PARTNER LTD,,,קוגיטו קפיטל 2,291231152.0,פנימי,ILS,2021-09-29,20085.0,20085.0,11100.2943,11100.2943,0.552665,2031-09-19,
,168,12155.0,התחייבות להשקעה,Hosen Private Equity III GP LTD.,,,דרך פנתיאון  Hosen III,291231078.0,פנימי,USD,2020-01-30,330.286,1091.925516,137.707918,455.26238,0.416935,2030-02-28,
,168,12155.0,התחייבות להשקעה,Klirmark Fund III (G.P) L.P,,,Klirmark Opportunity Fund III,291231063.0,פנימי,ILS,2019-06-30,3633.15,3633.15,582.88297,582.88297,0.160434,2027-05-31,
,168,12155.0,התחייבות להשקעה,"SILVER LAKE TECHNOLOGY ASSOCIATES VI, L.P.",,,"Silver Lake Partners VI, L.P.",291231084.0,פנימי,USD,2020-07-08,2279.055,7534.55583,63.2048,208.95507,0.027732,2030-06-30,
,168,12155.0,התחייבות להשקעה,Pantheon PGIF IV GP (Lux) S.a r.l,,,Pantheon Global Co-Investment IV Opportunities,291231049.0,פנימי,USD,2018-12-30,330.286,1091.925516,25.101751,82.98639,0.076,2028-12-31,
