Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 26
,168,12155.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,4363.78,1.0,1609.0,70.21328,0.969218,2e-06,
,168,12155.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,5506.19,3.306,8.5,1.54729,0.021358,0.0,
,168,12155.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,2294.24,3.306,9.0,0.68263,0.009422,0.0,
,168,13303.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,1304.82,1.0,1609.0,20.99454,0.969218,8e-06,
,168,13303.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,686.0,3.306,9.0,0.20411,0.009422,0.0,
,168,13303.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,1646.41,3.306,8.5,0.46266,0.021358,0.0,
,168,13349.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,44.09,1.0,1609.0,0.70937,0.969217,2e-06,
,168,13349.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,23.18,3.306,9.0,0.0069,0.009427,0.0,
,168,13349.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,55.63,3.306,8.5,0.01563,0.021355,0.0,
,168,2009.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,53783.72,1.0,1609.0,865.38006,0.969218,7e-06,
,168,2009.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,67863.85,3.306,8.5,19.07042,0.021358,0.0,
,168,2009.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,28276.61,3.306,9.0,8.41342,0.009422,0.0,
,168,2012.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,1566.74,1.0,1609.0,25.20888,0.969218,3e-06,
,168,2012.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,823.71,3.306,9.0,0.24509,0.009423,0.0,
,168,2012.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,1976.9,3.306,8.5,0.55553,0.021358,0.0,
,168,2013.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,2579.35,1.0,1609.0,41.50166,0.969218,4e-06,
,168,2013.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,1356.08,3.306,9.0,0.40349,0.009422,0.0,
,168,2013.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,3254.6,3.306,8.5,0.91457,0.021358,0.0,
,168,2014.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,4777.48,1.0,1609.0,76.86966,0.969218,5e-06,
,168,2014.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,6028.19,3.306,8.5,1.69398,0.021358,0.0,
,168,2014.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,2511.74,3.306,9.0,0.74734,0.009422,0.0,
,168,2015.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,8312.07,1.0,1609.0,133.74118,0.969218,7e-06,
,168,2015.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,10488.1,3.306,8.5,2.94726,0.021358,0.0,
,168,2015.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,4370.04,3.306,9.0,1.30026,0.009422,0.0,
,168,2016.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,8466.02,1.0,1609.0,136.2183,0.969218,7e-06,
,168,2016.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,10682.36,3.306,8.5,3.00185,0.021358,0.0,
,168,2016.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,4450.98,3.306,9.0,1.32435,0.009422,0.0,
,168,2063.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,6207.54,1.0,1609.0,99.87925,0.969218,1e-05,
,168,2063.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,3263.59,3.306,9.0,0.97105,0.009422,0.0,
,168,2063.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,7832.62,3.306,8.5,2.20104,0.021358,0.0,
