Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,נכס בסיס,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (בש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 29
,168,12155.0,"בנק מזרחי טפחות בע""מ",520000522.0,ח.פ.,CEL IT C001 24/06/2026,CEL IT 001,טיקר,מניה,ישראל,ישראל,תקשורת ומדיה,מניות לרבות מדדי מניות,2026-06-24,לא,2025-06-25,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,0.0001,1.0,205.04,3298.0,1.0,676.22158,0.047388,2.4e-05,
,168,12155.0,בנק הפועלים בע''מ,520000118.0,ח.פ.,PTNR IT C001 13.07.2026,PTNR IT 001,טיקר,מניה,ישראל,ישראל,תקשורת ומדיה,מניות לרבות מדדי מניות,2026-07-13,כן,2025-07-10,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,0.0001,1.0,576.84,3170.0,1.0,1828.57832,0.128142,6.5e-05,
,168,12155.0,בנק הפועלים בע''מ,520000118.0,ח.פ.,BEZQ IT C001 09.07.2026,BEZQ IT 001,טיקר,מניה,ישראל,ישראל,תקשורת ומדיה,מניות לרבות מדדי מניות,2026-07-09,כן,2025-07-09,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,0.0001,1.0,10750.17,634.7,1.0,6823.13521,0.478149,0.000242,
,168,12155.0,בנק הפועלים בע''מ,520000118.0,ח.פ.,PHOE IT C001 28.07.2026,PHOE IT 001,טיקר,מניה,ישראל,ישראל,ביטוח,מניות לרבות מדדי מניות,2026-07-28,כן,2025-06-10,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,0.0001,1.0,166.5,12400.0,1.0,2064.55774,0.144679,7.3e-05,
,168,12155.0,בנק הפועלים בע''מ,520000118.0,ח.פ.,PHOE IT C001 04.08.2026,PHOE IT 001,טיקר,מניה,ישראל,ישראל,ביטוח,מניות לרבות מדדי מניות,2026-08-04,כן,2025-06-10,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,0.0001,1.0,232.05,12400.0,1.0,2877.37574,0.201639,0.000102,
,168,13303.0,בנק הפועלים בע''מ,520000118.0,ח.פ.,PHOE IT C001 04.08.2026,PHOE IT 001,טיקר,מניה,ישראל,ישראל,ביטוח,מניות לרבות מדדי מניות,2026-08-04,כן,2025-06-10,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,0.0001,1.0,69.38,12400.0,1.0,860.36689,0.201639,0.000356,
,168,13303.0,"בנק מזרחי טפחות בע""מ",520000522.0,ח.פ.,CEL IT C001 24/06/2026,CEL IT 001,טיקר,מניה,ישראל,ישראל,תקשורת ומדיה,מניות לרבות מדדי מניות,2026-06-24,לא,2025-06-25,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,0.0001,1.0,61.31,3298.0,1.0,202.19767,0.047388,8.3e-05,
,168,13303.0,בנק הפועלים בע''מ,520000118.0,ח.פ.,PHOE IT C001 28.07.2026,PHOE IT 001,טיקר,מניה,ישראל,ישראל,ביטוח,מניות לרבות מדדי מניות,2026-07-28,כן,2025-06-10,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,0.0001,1.0,49.78,12400.0,1.0,617.3254,0.144679,0.000255,
,168,13303.0,בנק הפועלים בע''מ,520000118.0,ח.פ.,PTNR IT C001 13.07.2026,PTNR IT 001,טיקר,מניה,ישראל,ישראל,תקשורת ומדיה,מניות לרבות מדדי מניות,2026-07-13,כן,2025-07-10,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,0.0001,1.0,172.48,3170.0,1.0,546.76496,0.128142,0.000226,
,168,13303.0,בנק הפועלים בע''מ,520000118.0,ח.פ.,BEZQ IT C001 09.07.2026,BEZQ IT 001,טיקר,מניה,ישראל,ישראל,תקשורת ומדיה,מניות לרבות מדדי מניות,2026-07-09,כן,2025-07-09,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,0.0001,1.0,3214.42,634.7,1.0,2040.19222,0.478149,0.000845,
