Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 19
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8867 4.8% 2033,8288670.0,2018-10-02,6.7642,צמוד למדד המחירים לצרכן,2033-10-02,0.048,0.0486,68284444.42,121.225972,98079.56133,82778.48166,עלות מופחתת,0.007241,0.002944,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8838 4.80% 2031,8288383.0,2016-05-01,4.8705,צמוד למדד המחירים לצרכן,2031-05-01,0.048,0.0486,117648408.23,123.457557,166885.42518,145245.85056,עלות מופחתת,0.012705,0.005167,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8811 4.80% 2029,8288110.0,2014-02-02,3.1079,צמוד למדד המחירים לצרכן,2029-02-02,0.048,0.0486,36211499.49,119.320266,47127.25465,43207.65737,עלות מופחתת,0.003779,0.001537,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8842 4.80% 2031,8288425.0,2016-09-01,5.2064,צמוד למדד המחירים לצרכן,2031-09-01,0.048,0.0486,74293476.55,119.811152,103254.69544,89011.87048,עלות מופחתת,0.007786,0.003166,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8813 4.80% 2029,8288136.0,2014-04-01,3.1907,צמוד למדד המחירים לצרכן,2029-04-01,0.048,0.0486,81672394.13,122.185777,109163.01361,99792.04908,עלות מופחתת,0.008729,0.00355,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8794  4.8% 2027,8287948.0,2012-09-02,1.8538,צמוד למדד המחירים לצרכן,2027-09-02,0.048,0.0486,41577577.4,121.695852,53221.82246,50598.18694,עלות מופחתת,0.004426,0.0018,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8790 4.8% 2027,8287906.0,2012-05-01,1.5145,צמוד למדד המחירים לצרכן,2027-05-01,0.048,0.0486,31844110.85,124.480757,41299.2259,39639.7903,עלות מופחתת,0.003467,0.00141,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8896 4.8% 2036,8288960.0,2021-04-01,8.1802,צמוד למדד המחירים לצרכן,2036-04-01,0.048,0.0486,57195801.83,121.342068,87891.73937,69402.56897,עלות מופחתת,0.006071,0.002469,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8795 4.8% 2027,8287955.0,2012-10-02,1.9371,צמוד למדד המחירים לצרכן,2027-10-02,0.048,0.0486,45853356.72,122.834754,57991.14605,56323.85779,עלות מופחתת,0.004927,0.002003,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8826 4.80% 2030,8288268.0,2015-05-01,4.0907,צמוד למדד המחירים לצרכן,2030-05-01,0.048,0.0486,98318713.22,122.582844,135349.62192,120521.87483,עלות מופחתת,0.010543,0.004287,
