Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 29
,168,12155.0,"ארלדן החזקות (1982) בע""מ",520033580.0,ח.פ.,טלסיס כתב אופציה 24.05.2026,77179297.0,פנימי,ישראל,ישראל,לא סחיר,IL0003540197,אלקטרוניקה ואופטיקה,2026-05-24,לא,2025-08-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,231.68604,0.01,11389.55,1290.95,1.0,147.03335,0.446723,5e-06,
,168,12155.0,"לידר ושות' פיננסיים בע""מ",520037664.0,ח.פ.,פז אנרגיה אופציה 31.01.2026,77179281.0,פנימי,ישראל,ישראל,לא סחיר,IL0011000077,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,658.81238,0.01,740.98,5612.81,1.0,41.58954,0.126359,1e-06,
,168,12155.0,"טופ גאם תעשיות בע""מ",513561399.0,ח.פ.,טופ גאם כתב אופציה 01.02.2027,77179289.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2027-02-01,לא,2025-07-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1025.0,0.01,65549.84,122.036,1.0,79.9944,0.243042,2e-06,
,168,12155.0,"דב לוסטרניק ובניו בע""מ",513064907.0,ח.פ.,טופ גאם כתב אופציה 04.02.2026,77179291.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2026-02-04,לא,2025-08-07,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1002.0,0.01,133721.67,45.258,1.0,60.51975,0.183874,2e-06,
,168,13303.0,"ארלדן החזקות (1982) בע""מ",520033580.0,ח.פ.,טלסיס כתב אופציה 24.05.2026,77179297.0,פנימי,ישראל,ישראל,לא סחיר,IL0003540197,אלקטרוניקה ואופטיקה,2026-05-24,לא,2025-08-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,231.68604,0.01,3405.6,1290.95,1.0,43.96458,0.446723,1.8e-05,
,168,13303.0,"דב לוסטרניק ובניו בע""מ",513064907.0,ח.פ.,טופ גאם כתב אופציה 04.02.2026,77179291.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2026-02-04,לא,2025-08-07,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1002.0,0.01,39984.25,45.258,1.0,18.09607,0.183874,7e-06,
,168,13303.0,"לידר ושות' פיננסיים בע""מ",520037664.0,ח.פ.,פז אנרגיה אופציה 31.01.2026,77179281.0,פנימי,ישראל,ישראל,לא סחיר,IL0011000077,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,658.81238,0.01,221.56,5612.81,1.0,12.43573,0.126359,5e-06,
,168,13303.0,"טופ גאם תעשיות בע""מ",513561399.0,ח.פ.,טופ גאם כתב אופציה 01.02.2027,77179289.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2027-02-01,לא,2025-07-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1025.0,0.01,19600.12,122.036,1.0,23.9192,0.243042,9e-06,
,168,13349.0,"לידר ושות' פיננסיים בע""מ",520037664.0,ח.פ.,פז אנרגיה אופציה 31.01.2026,77179281.0,פנימי,ישראל,ישראל,לא סחיר,IL0011000077,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,658.81238,0.01,7.49,5612.81,1.0,0.42018,0.126359,1e-06,
,168,13349.0,"דב לוסטרניק ובניו בע""מ",513064907.0,ח.פ.,טופ גאם כתב אופציה 04.02.2026,77179291.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2026-02-04,לא,2025-08-07,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1002.0,0.01,1350.99,45.258,1.0,0.61143,0.183873,1e-06,
