Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,נכס בסיס,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 31
,168,12155.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 4-רמ,IL0012219288,ISIN,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2025-05-21,Aaa.il,מידרוג Moodys,מנפיק,ILS,3.34,0.067,0.0655,חברת ציטוט,אי-תלות,2025-09-30,13929453.91,1.0,99.38,13843.0913,0.092114,0.000492,
,168,12155.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי 3,IL0012150293,ISIN,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2024-12-22,Aaa.il,מידרוג Moodys,מנפיק,ILS,3.25,0.0369,0.037,חברת ציטוט,אי-תלות,2025-09-30,16074545.92,1.0,103.39,16619.47303,0.110588,0.000591,
,168,12155.0,בנק הפועלים בע''מ,520000118.0,ח.פ.,פועלים 1,IL0012117474,ISIN,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2024-09-23,Aaa.il,מידרוג Moodys,מנפיק,ILS,1.85,0.0675,0.0582,חברת ציטוט,אי-תלות,2025-09-30,13196163.22,1.0,101.09,13340.0014,0.088766,0.000474,
,168,12155.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי  8,25001069,פנימי,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2025-09-14,Aaa.il,מידרוג Moodys,מנפיק,ILS,3.64,0.04179,0.0434,חברת ציטוט,אי-תלות,2025-09-30,54251375.91,1.0,100.73,54647.41095,0.363632,0.001944,
,168,12155.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי סדרה ו',25001041,פנימי,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2025-06-30,A-,פנימי,מנפיק,ILS,3.0,0.0665,0.0661,חברת ציטוט,אי-תלות,2025-09-30,52255109.39,1.0,99.19,51831.843,0.344897,0.001843,
,168,13303.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי 3,IL0012150293,ISIN,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2024-12-22,Aaa.il,מידרוג Moodys,מנפיק,ILS,3.25,0.0369,0.037,חברת ציטוט,אי-תלות,2025-09-30,478294.49,1.0,103.39,494.50867,0.110588,0.000204,
,168,13303.0,בנק הפועלים בע''מ,520000118.0,ח.פ.,פועלים 1,IL0012117474,ISIN,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2024-09-23,Aaa.il,מידרוג Moodys,מנפיק,ILS,1.85,0.0675,0.0582,חברת ציטוט,אי-תלות,2025-09-30,392648.86,1.0,101.09,396.92873,0.088766,0.000164,
,168,13303.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 4-רמ,IL0012219288,ISIN,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2025-05-21,Aaa.il,מידרוג Moodys,מנפיק,ILS,3.34,0.067,0.0655,חברת ציטוט,אי-תלות,2025-09-30,414467.76,1.0,99.38,411.89806,0.092114,0.00017,
,168,13303.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי  8,25001069,פנימי,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2025-09-14,Aaa.il,מידרוג Moodys,מנפיק,ILS,3.64,0.04179,0.0434,חברת ציטוט,אי-תלות,2025-09-30,1614237.45,1.0,100.73,1626.02138,0.363632,0.000673,
,168,13303.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי סדרה ו',25001041,פנימי,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2025-06-30,A-,פנימי,מנפיק,ILS,3.0,0.0665,0.0661,חברת ציטוט,אי-תלות,2025-09-30,1554838.99,1.0,99.19,1542.24479,0.344897,0.000638,
