Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 25
,168,12155.0,"אקונרג'י אנרגיה מתחדשת בע""מ",516339777,ח.פ.,אקונרג'י,IL0011783342,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אנרגיה מתחדשת,כן,ILS,12446.16,1.0,3519.0,,437.98029,0.00022,0.000155,1.5e-05,
,168,12155.0,"משק אנרגיה-אנרגיות מתחדשות בע""מ",516167343,ח.פ.,משק אנרגיה,IL0011669749,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אנרגיה,כן,ILS,1072912.95,1.0,549.0,,5890.2921,0.001509,0.002088,0.000209,
,168,12155.0,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,לאומי,IL0006046119,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנקים,כן,ILS,2108968.57,1.0,6529.0,,137694.5574,0.001415,0.048822,0.004897,
,168,12155.0,"טופ גאם תעשיות בע""מ",513561399,ח.פ.,טופ גאם,IL0011791428,ISIN,מניות,ישראל,ישראל,סחיר,TASE,פודטק,לא,ILS,135791.16,1.0,913.3,,1240.18066,0.001102,0.000439,4.4e-05,
,168,12155.0,"טבע תעשיות פרמצבטיות בע""מ",520013954,ח.פ.,טבע,IL0006290147,ISIN,מניות,ישראל,ישראל,סחיר,TASE,פארמה,כן,ILS,473141.66,1.0,6440.0,,30470.32228,0.000412,0.010803,0.001083,
,168,12155.0,"ישראכרט בע""מ",510706153,ח.פ.,ישראכרט,IL0011574030,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותים פיננסיים,לא,ILS,246492.79,1.0,1338.0,,3298.07358,0.000757,0.001169,0.000117,
,168,12155.0,"קרסו נדל""ן בע""מ",510488190,ח.פ.,קרסו נדלן,IL0011879629,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,לא,ILS,68488.88,1.0,3461.0,,2370.40029,0.001182,0.00084,8.4e-05,
,168,12155.0,"חלל-תקשורת בע""מ",511396046,ח.פ.,חלל תקשורת,IL0010923451,ISIN,מניות,ישראל,ישראל,סחיר,TASE,תקשורת ומדיה,לא,ILS,26031.05,1.0,458.7,,119.40442,0.000725,4.2e-05,4e-06,
,168,12155.0,"קבוצת אקרו בע""מ",511996803,ח.פ.,אקרו,IL0011849028,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,לא,ILS,81714.98,1.0,4656.0,,3804.64948,0.001295,0.001349,0.000135,
,168,12155.0,בנק הפועלים בע''מ,520000118,ח.פ.,פועלים,IL0006625771,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנקים,כן,ILS,1929447.04,1.0,6732.0,,129890.37459,0.001465,0.046055,0.00462,
,168,12155.0,"אמות השקעות בע""מ",520026683,ח.פ.,אמות,IL0010972789,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,169600.95,1.0,2476.0,,4199.31961,0.000343,0.001488,0.000149,
,168,12155.0,"איסתא בע""מ",520042763,ח.פ.,איסתא,IL0010810740,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מלונאות ותיירות,כן,ILS,31873.08,1.0,10790.0,,3439.10587,0.001807,0.001219,0.000121,
,168,12155.0,"שיכון ובינוי בע""מ",520036104,ח.פ.,שיכון ובינוי,IL0010819428,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,כן,ILS,879585.86,1.0,1510.0,,13281.74655,0.001547,0.004708,0.000472,
,168,12155.0,"אפריקה ישראל מגורים בע""מ",520034760,ח.פ.,"אפריקה ישראל מגורים בע""מ",IL0010979487,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,כן,ILS,20920.97,1.0,26010.0,,5441.54309,0.001651,0.001928,0.000192,
,168,12155.0,"עשות - אשקלון תעשיות בע""מ",520037581,ח.פ.,עשות,IL0003120172,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מתכת ומוצרי בניה,לא,ILS,24411.68,1.0,7230.0,,1764.96431,0.001017,0.000625,6.2e-05,
,168,12155.0,"או.פי.סי אנרגיה בע""מ",514401702,ח.פ.,או פי סי אנרגיה,IL0011415713,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אנרגיה,כן,ILS,405204.21,1.0,5239.0,,21228.64863,0.001368,0.007526,0.000754,
,168,12155.0,"אלומי קפיטל בע""מ",520039868,ח.פ.,אלומיי,IL0010826357,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אנרגיה מתחדשת,לא,ILS,2662.03,1.0,6022.0,,160.30753,0.000193,5.6e-05,5e-06,
,168,12155.0,"נאייקס בע""מ",513639013,ח.פ.,נאייקס,IL0011751166,ISIN,מניות,ישראל,ישראל,סחיר,TASE,תוכנה ואינטרנט,לא,ILS,14049.11,1.0,15830.0,,2223.97467,0.000383,0.000788,7.9e-05,
,168,12155.0,"הכשרת הישוב מקבוצת נמרודי בע""מ",520020116,ח.פ.,הכשרת הישוב,IL0006120104,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",כן,ILS,105725.91,1.0,3680.0,,3890.71358,0.002613,0.001379,0.000138,
,168,12155.0,ישראמקו נגב 2 שותפות מוגבלת,550010003,מספר שותפות,ישראמקו יהש,IL0002320179,ISIN,יחידות השתתפות,ישראל,ישראל,סחיר,TASE,חיפושי נפט וגז,לא,ILS,3103388.35,1.0,246.2,,7640.54211,0.001193,0.002709,0.000271,
,168,12155.0,"הכשרת הישוב התחדשות עירונית ישראל בע""מ",514423474,ח.פ.,הכשרה התחדשות,IL0011214744,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,כן,ILS,17046.16,1.0,690.0,,117.61851,0.000195,4.1e-05,4e-06,
,168,12155.0,"אלקטרה מוצרי צריכה (1970) בע""מ",520039967,ח.פ.,אלקטרה צריכה,IL0050101299,ISIN,מניות,ישראל,ישראל,סחיר,TASE,רשתות שיווק,כן,ILS,44570.87,1.0,11550.0,,5147.93611,0.001919,0.001824,0.000182,
,168,12155.0,"וילי פוד השקעות בע""מ",520038225,ח.פ.,וויליפוד,IL0003710139,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מסחר,כן,ILS,49611.72,1.0,3853.0,,1911.53961,0.003727,0.000677,6.7e-05,
,168,12155.0,"אספן גרופ בע""מ",520037540,ח.פ.,אספן גרופ,IL0003130155,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",כן,ILS,146211.92,1.0,726.7,,1062.522,0.002274,0.000376,3.7e-05,
,168,12155.0,"פז חברת הנפט בע""מ",510216054,ח.פ.,פז אנרגיה,IL0011000077,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אנרגיה,כן,ILS,25139.6,1.0,67880.0,,17064.76165,0.002343,0.00605,0.000606,
,168,12155.0,"נייס בע""מ",520036872,ח.פ.,נייס,IL0002730112,ISIN,מניות,ישראל,ישראל,סחיר,TASE,תוכנה ואינטרנט,לא,ILS,24679.51,1.0,48800.0,,12043.60307,0.000399,0.004269,0.000427,
,168,12155.0,"פתאל החזקות (1998) בע""מ",512607888,ח.פ.,פתאל החזקות,IL0011434292,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מלונאות ותיירות,לא,ILS,16477.37,1.0,55350.0,,9120.22317,0.000999,0.003233,0.000324,
,168,12155.0,אורמת טכנולוגיות אינק,2250,מספר מנפיק,אורמת טכנו,US6866881021,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,אנרגיה מתחדשת,לא,ILS,38395.84,1.0,31800.0,,12209.87833,0.000676,0.004328,0.000434,
,168,12155.0,"סולאיר אנרגיות מתחדשות בע""מ",516046307,ח.פ.,סולאיר,IL0011722878,ISIN,מניות,ישראל,ישראל,חסום,TASE,אנרגיה מתחדשת,לא,ILS,712.44,1.0,4567.441516,,32.54038,4.3e-05,1.1e-05,1e-06,
