תחילת מידע טבלה צד ימין,תחילת מידע,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,סוף מידע טבלה צד שמאל
,,,ידווח בקבצי נכסי הנוסטרו בלבד,,,
,,שווי הוגן,עלות מופחתת,השיטה שיושמה בדוח הכספי,שיעור מסך נכסי השקעה,
,מזומנים ושווי מזומנים,27238342.509079956,,,0.0914631818329882,
,איגרות חוב ממשלתיות,11132172.38500999,,,0.037380538360839134,
,ניירות ערך מסחריים,0,,,0,
,איגרות חוב,11482222.771620005,,,0.03855596679047089,
,"מניות, מניות בכורה ויחידות השתתפות",72463598.74696006,,,0.24332432512207852,
,קרנות סל,34275161.89381999,,,0.11509200178404891,
,קרנות נאמנות,6369611.489350005,,,0.021388413544682627,
,כתבי אופציה,1890.7260999999996,,,6.348838040458204e-06,
,אופציות,110765.48593999996,,,0.0003719376014885023,
,חוזים עתידיים,235478.76063000032,,,0.0007907102531708311,
,מוצרים מובנים,612932.1263600003,,,0.002058154695200593,
,לא סחיר איגרות חוב ממשלתיות,0,,,0,
,לא סחיר איגרות חוב מיועדות,60789641.165519886,,,0.2041245351706187,
,אפיק השקעה מובטח תשואה,24792438.87164002,,,0.08325012228053702,
,לא סחיר ניירות ערך מסחריים,0,,,0,
,לא סחיר איגרות חוב,807103.2501700005,,,0.002710158714822181,
,"לא סחיר מניות, מניות בכורה ויחידות השתתפות",2040150.033420001,,,0.006850586206229967,
,קרנות השקעה,25878397.396649916,,,0.08689664453140282,
,לא סחיר כתבי אופציה,8590.288160000006,,,2.8845187173703138e-05,
,לא סחיר אופציות,372435.3826199999,,,0.0012505946391655892,
,לא סחיר נגזרים אחרים,2234478.6201899988,,,0.00750311896813231,
,הלוואות,14126148.339380028,,,0.047433960922320495,
,לא סחיר מוצרים מובנים,1397222.2398300003,,,0.004691709553915252,
,פיקדונות מעל 3 חודשים,418994.32102000003,,,0.0014069341318278376,
,זכויות מקרקעין,951374.5987399998,,,0.0031946051007632316,
,השקעה בחברות מוחזקות,0,,,0,
,נכסים אחרים,67484.70211000013,,,0.0002266057700821705,
,סך הכל נכסים,297806636.1043199,0,0,0.9999999999999993,
,מסגרות אשראי,2353972.8336440725,,,,
,יתרות התחייבויות להשקעה,9141837.674850004,,,,
,סוף מידע טבלה,,,,,
