תחילת מידע טבלה צד ימין,תחילת מידע,Unnamed: 2,Unnamed: 3,Unnamed: 4,סוף מידע טבלה צד שמאל
,קובץ דיווח עבור רשימת נכסים ברמת הנכס הבודד (חוזר גופים מוסדיים 2015-9-14),,,,
,,,,,
,יש לבחור תחום:,,,נכסי עמיתים - קרנות פנסיה,
,,,,,
,האם מדובר בקובץ לממומנה או לציבור:,,,לציבור,
,,,,,
,יש לבחור את רבעון הדיווח:,,,03,
,,,,,
,יש לבחור את שנת הדיווח:,,,2025,
,,,,,
,יש לבחור את הגוף המוסדי:,,,"מנורה מבטחים פנסיה וגמל בע""מ",
,,,,,
,ח.פ. הגוף המוסדי:,,,512245812,
,,,,,
,שם קובץ לשמירה,,,512245812_pn_p_0325.xlsx,
,,,,,
,פרטי האחראי על הדיווח בגוף המוסדי,שם:,,0,
,,,,,
,,מספר טלפון:,,0,
,,,,,
,,כתובת מייל:,,0,
,,,,,
,הוראות למילוי הדיווח:,,,"יש לדווח לפי ההנחיות בחלק ג' לנספח 5.4.3.2 שבפרק 3 שבחלק 4 לשער 5 בחוזר המאוחד - ""רשימת נכסים ברמת הנכס הבודד"".",
,סוף מידע,,,,
