Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,תאריך פקיעת פיקדון,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,שווי מטבעי,שער חליפין,שער פיקדון,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 23
,168,2009.0,בנק הפועלים בע''מ,12-600,סימול בנק,צמוד למדד המחירים לצרכן,2035-03-13,ישראל,ישראל,כן,ilAAA,S&P מעלות,ILS,7.8,,0.0226,107781.025,1.0,185.35,107781.025,0.785907,0.000987,
,168,2009.0,"בנק לאומי לישראל בע""מ",10-800,סימול בנק,צמוד למדד המחירים לצרכן,2034-12-09,ישראל,ישראל,כן,ilAAA,S&P מעלות,ILS,4.19,,0.0221,11430.66452,1.0,171.46,11430.66452,0.083349,0.000104,
,168,2009.0,"בנק לאומי לישראל בע""מ",10-800,סימול בנק,צמוד למדד המחירים לצרכן,2026-10-15,ישראל,ישראל,כן,ilAAA,S&P מעלות,ILS,0.53,,0.0232,17930.4,1.0,149.42,17930.4,0.130743,0.000164,
,168,2012.0,"הבנק הבינלאומי הראשון לישראל בע""מ",31-46,סימול בנק,צמוד למדד המחירים לצרכן,2025-12-14,ישראל,ישראל,לא,ilAAA,S&P מעלות,ILS,0.21,,0.0303,94.0459,1.0,128.53,94.0459,1.0,1.2e-05,
,168,2013.0,"הבנק הבינלאומי הראשון לישראל בע""מ",31-46,סימול בנק,צמוד למדד המחירים לצרכן,2025-12-14,ישראל,ישראל,לא,ilAAA,S&P מעלות,ILS,0.21,,0.0303,69.0082,1.0,128.53,69.0082,1.0,6e-06,
,168,2014.0,"הבנק הבינלאומי הראשון לישראל בע""מ",31-46,סימול בנק,צמוד למדד המחירים לצרכן,2025-12-14,ישראל,ישראל,לא,ilAAA,S&P מעלות,ILS,0.21,,0.0303,102.93936,1.0,128.53,102.93936,1.0,7e-06,
,168,2015.0,"הבנק הבינלאומי הראשון לישראל בע""מ",31-46,סימול בנק,צמוד למדד המחירים לצרכן,2025-12-14,ישראל,ישראל,לא,ilAAA,S&P מעלות,ILS,0.21,,0.0303,139.07567,1.0,128.53,139.07567,1.0,7e-06,
,168,2016.0,"הבנק הבינלאומי הראשון לישראל בע""מ",31-46,סימול בנק,צמוד למדד המחירים לצרכן,2025-12-14,ישראל,ישראל,לא,ilAAA,S&P מעלות,ILS,0.21,,0.0303,132.59799,1.0,128.53,132.59799,1.0,7e-06,
,168,2183.0,"הבנק הבינלאומי הראשון לישראל בע""מ",31-46,סימול בנק,צמוד למדד המחירים לצרכן,2025-12-14,ישראל,ישראל,לא,ilAAA,S&P מעלות,ILS,0.21,,0.0303,67.33182,1.0,128.53,67.33182,1.0,4e-06,
,168,2184.0,"הבנק הבינלאומי הראשון לישראל בע""מ",31-46,סימול בנק,צמוד למדד המחירים לצרכן,2025-12-14,ישראל,ישראל,לא,ilAAA,S&P מעלות,ILS,0.21,,0.0303,13.76603,1.0,128.53,13.76603,1.0,1e-06,
,168,2212.0,בנק הפועלים בע''מ,12-600,סימול בנק,צמוד למדד המחירים לצרכן,2035-01-14,ישראל,ישראל,כן,ilAAA,S&P מעלות,ILS,4.59,,0.0249,42921.7062,1.0,106.64,42921.7062,0.153966,0.008578,
,168,2212.0,בנק הפועלים בע''מ,12-600,סימול בנק,צמוד למדד המחירים לצרכן,2030-07-13,ישראל,ישראל,כן,ilAAA,S&P מעלות,ILS,4.66,,0.0227,57700.0,1.0,115.4,57700.0,0.206978,0.011532,
,168,2212.0,"בנק לאומי לישראל בע""מ",10-800,סימול בנק,צמוד למדד המחירים לצרכן,2031-03-28,ישראל,ישראל,כן,ilAAA,S&P מעלות,ILS,5.24,,0.0226,59415.0,1.0,118.83,59415.0,0.21313,0.011874,
,168,2212.0,"בנק מזרחי טפחות בע""מ",20-61,סימול בנק,צמוד למדד המחירים לצרכן,2031-09-28,ישראל,ישראל,לא,ilAAA,S&P מעלות,ILS,5.75,,0.0226,58085.0,1.0,116.17,58085.0,0.208359,0.011609,
,168,2212.0,"הבנק הבינלאומי הראשון לישראל בע""מ",31-46,סימול בנק,צמוד למדד המחירים לצרכן,2025-12-14,ישראל,ישראל,לא,ilAAA,S&P מעלות,ILS,0.21,,0.0303,3096.7004,1.0,128.53,3096.7004,0.011108,0.000618,
,168,2212.0,"בנק לאומי לישראל בע""מ",10-800,סימול בנק,צמוד למדד המחירים לצרכן,2031-09-01,ישראל,ישראל,כן,ilAAA,S&P מעלות,ILS,5.69,,0.0228,57555.0,1.0,115.11,57555.0,0.206458,0.011503,
,168,8561.0,"הבנק הבינלאומי הראשון לישראל בע""מ",31-46,סימול בנק,צמוד למדד המחירים לצרכן,2025-12-14,ישראל,ישראל,לא,ilAAA,S&P מעלות,ILS,0.21,,0.0303,412.89339,1.0,128.53,412.89339,1.0,0.001116,
