Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 27
,168,12155.0,"PONTIFAX 6 GP, LIMITED PARTNERSHIP",,,PONTIFAX (ISRAEL) VI LIMITED PARTNE,291231098.0,פנימי,פרייבט אקוויטי,,ישראל,,,"ארה""ב",לא,2020-11-15,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,946.44199,3128.93723,0.00234,0.001578,0.000111,
,168,12155.0,S.H. SKY 4 Management L.P.,,,SKY IV,291231166.0,פנימי,קרן השקעה אחרת,,ישראל,,,ישראל,לא,2021-12-09,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,2707.25147,8950.17338,0.007735,0.004515,0.000318,
,168,12155.0,Kedma Capital G.P G.P LTD,,,KEDMA CAPITAL PARTNERS IV LIMITED PARTNERSHIP,291231264.0,פנימי,קרן השקעה אחרת,,ישראל,,,ישראל,לא,2023-10-24,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,989.40928,3270.98708,0.006823,0.00165,0.000116,
,168,12155.0,"STAGE ONE SPV GP, LIMITED PARTNERSHIP",,,Stage One S.P.V R.S Limited Partnership,291231131.0,פנימי,קרן השקעה אחרת,,ישראל,,,ישראל,לא,2021-03-24,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,351.97057,1163.61471,0.038741,0.000587,4.1e-05,
,168,12155.0,"STAGE ONE SPV GP, LIMITED PARTNERSHIP",,,"Stage One SPV CBBC , Limited Partnership",291231193.0,פנימי,קרן השקעה אחרת,,ישראל,,,ישראל,לא,2022-04-26,USD,דיווח מנהל הקרן,אי-תלות,2024-12-31,3.306,144.84897,478.87071,0.009297,0.000241,1.7e-05,
,168,12155.0,State of Mind Ventures 3 GP GP LTD,,,State of Mind Ventures 3 L.P,291231149.0,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2021-09-12,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,2561.29764,8467.65,0.03155,0.004272,0.000301,
,168,12155.0,Klirmark Fund IV (G.P) L.P,,,Klirmark Opportunity Fund IV,291231254.0,פנימי,קרן חוב,,ישראל,,,ישראל,לא,2023-03-30,ILS,דיווח מנהל הקרן,אי-תלות,2025-06-30,1.0,7677.77959,7677.77959,0.002193,0.003873,0.000273,
,168,12155.0,ION Crossover Partners GP II LP,,,ION Crossover Partners II,291231133.0,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2021-05-10,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,4495.53928,14862.25289,0.00999,0.007498,0.000528,
,168,12155.0,נוי אי. איי תשתיות ואנרגיה ג'י.פי,,,נוי 4 להשקעה בתשתיות ואנרגיה,291231120.0,פנימי,קרן אנרגיה ותשתיות,,ישראל,,,ישראל,לא,2021-03-02,ILS,דיווח מנהל הקרן,אי-תלות,2025-06-30,1.0,26477.3986,26477.3986,0.013238,0.013359,0.000941,
,168,12155.0,"Pitango G.E. Fund II, L.P.",,,Pitango Growth II,291231137.0,פנימי,פרייבט אקוויטי,,ישראל,,,ישראל,לא,2021-05-27,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,5810.01674,19207.91535,0.0166,0.009691,0.000683,
