Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך ,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 24
,168,12155.0,India Acorn ICAV - Ashoka Indi,213800M3HXZ3RG189568,LEI,AIOFDUS ID India Acorn ICAV - Ashoka Indi,IE00BH3N4915,ISIN,מניות,"חו""ל",הודו,סחיר,EURONEXT,Equity Funds,לא,USD,5023.09,3.306,26009.0,4319.13969,0.000606,0.011985,0.000153,
,168,12155.0,DWS Invest Asian Bonds,549300GOIVMDKMRG5X45,LEI,DWSAFC5 LX DWS Invest Asian Bonds,LU1949850538,ISIN,"אג""ח קונצרני","חו""ל",הודו,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,26550.62,3.306,12840.0,11270.48241,0.003829,0.031275,0.0004,
,168,12155.0,Robeco Capital Growth Funds -,21380033AH4QAGYE2R38,LEI,RGCEHBI LX Robeco Capital Growth Funds,LU0226955762,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,EUR,14512.92,3.8807,29165.0,16425.81678,0.009543,0.045581,0.000584,
,168,12155.0,PGIM Broad Market US High Yiel,549300RZ4TE1T5F3DY45,LEI,PGUHBIU ID PGIM Broad Market US High Yiel,IE00BD1DGZ57,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,EURONEXT,Bond/Fixed Income Funds,לא,USD,37338.85,3.306,16463.3,20322.66451,0.003897,0.056395,0.000722,
,168,12155.0,Moneda - Moneda Latin American,549300Q46JVJZTGJRL07,LEI,MOLACDD KY Moneda - Moneda Latin Americ,KYG620101306,ISIN,"אג""ח קונצרני","חו""ל",ברזיל,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,3875.91,3.306,161384.1,20679.3875,0.005925,0.057384,0.000735,
,168,12155.0,CIFC Senior Secured Corporate,549300NEMRCSGL23FU27,LEI,CIFCLF5 KY CIFC Senior secured Corporate,KYG2139S1194,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,3092.22,3.306,177116.532,18106.42374,0.00763,0.050244,0.000644,
,168,12155.0,PIMCO GIS US High Yield Bond F,H77EL1W1M92QDZ004K92,LEI,PIMHYBA ID PIMCO GIS US High Yield Bond F,IE0002460974,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,EURONEXT,Bond/Fixed Income Funds,לא,USD,169525.46,3.306,4668.0,26161.8606,0.004625,0.072598,0.00093,
,168,12155.0,Artemis Funds Lux - US Smaller,5493005ZAZWM54373247,LEI,ARUSIAU LX Artemis Funds Lux - US Smaller,LU1805264717,ISIN,מניות,"חו""ל",לוכסמבורג,סחיר,אחר,Equity Funds,לא,USD,506978.51,3.306,201.88,3383.65201,0.003263,0.009389,0.00012,
,168,12155.0,SPARX JAPAN FUND,635400BTSWMY84SXPB33,LEI,SPAJJID ID SPARX Japan Fund,IE00BD6HM324,ISIN,מניות,"חו""ל",יפן,סחיר,EURONEXT,Equity Funds,לא,JPY,9780.88,0.022332,2189400.0,4782.23148,1.1e-05,0.01327,0.00017,
,168,12155.0,BlackRock inc,529900VBK42Y5HHRMD23,LEI,BlackRock Strategic Funds - Em,LU1946828917,ISIN,מניות,"חו""ל",סין,סחיר,EURONEXT,Equity Funds,לא,USD,8000.78,3.306,17549.0,4641.81355,0.001344,0.01288,0.000165,
