Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 24
,168,12155.0,"אי.בי.אי. ניהול קרנות נאמנות (1978) בע""מ",510791031,ח.פ.,איביאי סל תא 125,IL0011488082,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,124326.81,1.0,3172.0,,3943.64626,0.001724,0.003967,0.00014,
,168,12155.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם ETF תלבונד ש 50,IL0011507626,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",לא,ILS,206872.23,1.0,4241.12,,8773.69946,0.008928,0.008827,0.000312,
,168,12155.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל‏ תלבונד שקל 50,IL0011501686,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",לא,ILS,2344006.15,1.0,339.54,,7958.83847,0.012174,0.008007,0.000283,
,168,12155.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם ETF תלבונד 60,IL0011462327,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,323921.51,1.0,3901.51,,12637.8301,0.014313,0.012715,0.000449,
,168,12155.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תא 35,IL0011437006,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"35 מניות בארץ - מניות כללי-ת""א",לא,ILS,467313.59,1.0,3151.0,,14725.05115,0.007024,0.014814,0.000522,
,168,12155.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תלבונד 60,IL0011451015,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,2384511.23,1.0,392.09,,9349.43007,0.006307,0.009406,0.000332,
,168,12155.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל סל תלבונד 20,IL0011504409,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"20 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,720900.43,1.0,401.77,,2896.36165,0.007743,0.002914,0.000103,
,168,12155.0,"ילין לפידות-ניהול קרנות נאמנות בע""מ",513846808,ח.פ.,"י.ל סל ת""א בנקים",IL0012065491,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"מניות בארץ - מניות לפי ענפים-ת""א בנקים",לא,ILS,35690.58,1.0,9617.0,,3432.36274,0.002165,0.003453,0.000122,
,168,12155.0,"אי.בי.אי. ניהול קרנות נאמנות (1978) בע""מ",510791031,ח.פ.,איביאי סל תא 35,IL0012259946,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"35 מניות בארץ - מניות כללי-ת""א",לא,ILS,13109.97,1.0,5208.0,,682.76713,0.012519,0.000686,2.4e-05,
,168,12155.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם ETF תא 35,IL0011465700,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"35 מניות בארץ - מניות כללי-ת""א",לא,ILS,50875.08,1.0,31380.0,,15964.60045,0.005791,0.016062,0.000567,
,168,12155.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם ETF תא 125,IL0011463564,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,73980.23,1.0,31750.0,,23488.72312,0.00266,0.023633,0.000835,
,168,12155.0,"אי.בי.אי. ניהול קרנות נאמנות (1978) בע""מ",510791031,ח.פ.,איביאי סל אינדקס בנקים יש,IL0011487746,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"מניות בארץ - מניות לפי ענפים-ת""א בנקים",לא,ILS,1262393.3,1.0,6734.0,,85009.56485,0.005819,0.085532,0.003023,
,168,12155.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם ETF תלבונד 20,IL0011459604,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"20 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,72359.03,1.0,3977.99,,2878.4349,0.00284,0.002896,0.000102,
,168,12155.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל תלבונד 60‎,IL0011499964,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,1072370.92,1.0,499.28,,5354.13353,0.006656,0.005387,0.00019,
,168,12155.0,"אי.בי.אי. ניהול קרנות נאמנות (1978) בע""מ",510791031,ח.פ.,איביאי סל תא-ביטוח,IL0012157710,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,מניות בארץ - מניות לפי ענפים-מדד אחר,לא,ILS,126353.87,1.0,9609.0,,12141.34338,0.006939,0.012216,0.000431,
,168,12155.0,"אי.בי.אי. ניהול קרנות נאמנות (1978) בע""מ",510791031,ח.פ.,איביאי סל תלבונד 60,IL0011480063,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,2535425.74,1.0,392.58,,9953.57437,0.009158,0.010014,0.000354,
,168,12155.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל סל תלבונד ש 50,IL0011507139,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",לא,ILS,1544900.81,1.0,422.22,,6522.88019,0.011262,0.006563,0.000232,
,168,12155.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל‏ תא 90,IL0011502593,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"90 מניות בארץ - מניות כללי-ת""א",לא,ILS,277574.81,1.0,4757.0,,13204.23352,0.004957,0.013285,0.000469,
,168,12155.0,"מור ניהול קרנות נאמנות (2013) בע""מ",514884485,ח.פ.,מור סל אי.בנקים מש,IL0011877649,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"מניות בארץ - מניות לפי ענפים-ת""א בנקים",לא,ILS,305334.85,1.0,10670.0,,32579.22831,0.009447,0.032779,0.001159,
,168,12155.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תא 125,IL0011437188,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,763310.81,1.0,3198.0,,24410.67967,0.00399,0.02456,0.000868,
,168,12155.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל סל תלבונד שקלי,IL0011505232,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- לא צמודות",לא,ILS,244319.49,1.0,419.81,,1025.67767,0.001187,0.001031,3.6e-05,
,168,12155.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תלבונד שקלי,IL0011451841,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- לא צמודות",לא,ILS,901540.68,1.0,421.35,,3798.64165,0.003527,0.003822,0.000135,
,168,12155.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל תלבונד שקלי,IL0011500027,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- לא צמודות",לא,ILS,224068.92,1.0,487.71,,1092.80655,0.001531,0.001099,3.8e-05,
,168,12155.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם Bullet ETF צמוד 2025,IL0011582868,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - מדינה-אג""ח מדינה צמוד מדד-צמודות מדד - ממשלתיות",לא,ILS,18356.82,1.0,1236.5,,226.98212,0.000875,0.000228,8e-06,
