עמודה1,עמודה2
סוג קובץ,ריק במקור
נכסי מבוטחים - חברת ביטוח,in
נכסי עמיתים - קופות גמל,gm
נכסי עמיתים - קרנות פנסיה,pn
נכסי אפיק השקעה מובטח תשואה,ca
נכסי נוסטרו - חברת ביטוח,ni
נכסי נוסטרו - חברה מנהלת,nf
ריק במקור,ריק במקור
יעוד הקובץ,ריק במקור
לממונה,ריק במקור
לציבור,p
ריק במקור,ריק במקור
ריק במקור,ריק במקור
רבעון,ריק במקור
01,ריק במקור
02,ריק במקור
03,ריק במקור
04,ריק במקור
ריק במקור,ריק במקור
שנה,ריק במקור
2022,22
2023,23
2024,24
2025,25
2026,26
2027,27
2028,28
2029,29
2030,30
2031,31
ריק במקור,ריק במקור
ריק במקור,ריק במקור
שם גוף מוסדי,ח.פ.
"אי. אם. איי - עזר חברה לביטוח משכנתאות בע""מ",512310509
"איי. די. איי. חברה לביטוח בע""מ",513910703
"איי.אי.ג'י חברה לביטוח בע""מ",512304882
"איילון חברה לביטוח בע""מ",520030677
"אינפיניטי השתלמות, גמל ופנסיה בע""מ",513621110
"אלטשולר שחם גמל ופנסיה בע""מ",513173393
"אנליסט קופות גמל בע""מ",511880460
ארם גמולים - חברה לניהול קופות גמל בע''מ,510773922
"אשרא - החברה הישראלית לביטוח יצוא בע""מ",520021916
"ב.ס.ס.ח. - החברה הישראלית לביטוח אשראי בע""מ",520044025
"ביטוח חקלאי אגודה מרכזית בע""מ",570003152
"גילעד גימלאות לעובדים דתיים בע""מ",520023094
"גל - ניהול קופות גמל לעובדי הוראה בע""מ",512711409
"דיויד שילד חברה לביטוח בע""מ",515859379
"החברה המנהלת של מינהל קרן ההשתלמות לפקידים עובדי המנהל והשירותים בע""מ",520030990
"החברה המנהלת של קרן הגמלאות של חברי ""דן"" בע""מ",520028812
"החברה המנהלת של קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",520034968
"החברה המנהלת של רום קרן ההשתלמות לעובדי הרשויות המקומיות בע""מ",520031824
"החברה לניהול קופות התגמולים והפיצויים של עובדי בנק לאומי בע""מ",520005497
"החברה לניהול קופת התגמולים והפנסיה של עובדי הסוכנות היהודית לארץ ישראל בע""מ",520022518
"החברה לניהול קרן ההשתלמות להנדסאים וטכנאים בע""מ",520028556
"החברה לניהול קרן ההשתלמות לעובדי המדינה בע""מ",520032269
"החברה לניהול קרן השתלמות לאקדמאים במדעי החברה והרוח בע""מ",520027954
"החברה לניהול קרן השתלמות לביוכימאים  ומקרוביולוגים בע""מ",520029620
"החברה לניהול קרן השתלמות למשפטנים בע""מ",520028861
"החברה לניהול קרן השתלמות לשופטים בע""מ",520030743
"הכשרה חברה לביטוח בע""מ",520042177
"הלמן-אלדובי חח""י גמל בע""מ",515447035
"הנדסאים וטכנאים - חברה לניהול קופות גמל בע""מ",520042607
"הפניקס אקסלנס פנסיה וגמל בע""מ",513026484
"הפניקס חברה לביטוח בע""מ",520023185
"הראל חברה לביטוח בע""מ",520004078
"הראל פנסיה וגמל בע""מ",512267592
"ווישור חברה לביטוח בע""מ",515764868
"חברה לניהול קופות גמל של העובדים בעיריית תל - אביב יפו בע""מ",513452003
"חברת ב'ת למ'ד דל'ת בע""מ",510142789
"חברת הגמל לעובדי האוניברסיטה העברית בע""מ",510960586
"יהב - פ.ר.ח. - חברה לניהול קופות גמל בע""מ",510930670
"יהב אחים ואחיות - חברה לניהול קופות גמל בע""מ",510927536
"יהב רופאים - חברה לניהול קופות גמל בע""מ",510930654
"יוזמה קרן פנסיה לעצמאים בע""מ",520032566
"ילין לפידות ניהול קופות גמל בע""מ",513611509
"כלל חברה לביטוח אשראי בע""מ",510888985
"כלל חברה לביטוח בע""מ",520024647
"כלל פנסיה וגמל בע""מ",512244146
"לאומי קמ""פ בע""מ",510694821
"ליברה חברה לביטוח בע""מ",515761625
"לעתיד חברה לניהול קרנות פנסיה בע""מ",511423048
"מבטחים מוסד לביטוח סוציאלי של העובדים בע""מ",520019688
"מגדל חברה לביטוח בע""מ",520004896
"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",512237744
"מור גמל ופנסיה בע""מ",514956465
"מחוג - מינהל גמל לעובדי חברת חשמל לישראל בע""מ",512362914
"מחר - חברה לניהול קופות גמל בע""מ",520042615
"מיטב דש גמל ופנסיה בע""מ",512065202
"מנורה מבטחים ביטוח בע""מ",520042540
"מנורה מבטחים והסתדרות המהנדסים ניהול קופות גמל בע""מ",520027715
"מנורה מבטחים פנסיה וגמל בע""מ",512245812
"נתיב קרן הפנסיה של פועלי ועובדי מפעלי משק ההסתדרות בע""מ",520022351
"סלייס גמל בע""מ",514767490
"עגור חברה לניהול קופות גמל וקרנות השתלמות בע""מ",520024985
"עו""ס - חברה לניהול קופות גמל בע""מ",520042573
"עוצ""מ - אגודה שיתופית לניהול קופות גמל בע""מ",570009449
"עוצ""מ חברה לניהול קופות גמל והשתלמות בע""מ",520031659
"עמ""י - חברה לניהול קופות גמל ענפיות בע""מ",520042581
"ענבל חברה לביטוח בע""מ",520031030
"ק.ל.ע. - חברה לניהול קרן השתלמות לעובדים סוציאליים בע""מ",520030941
"קו הבריאות חברה לניהול קופות גמל בע""מ",512008335
"קופת הפנסיה לעובדי הדסה בע""מ",520022963
"קופת תגמולים של עובדי אל על נתיבי אוויר לישראל בע""מ אגודה שיתופית",570011767
"קופת תגמולים של עובדי התעשיה האוירית לישראל בע""מ",570014928
"קופת""ג של עובדי עירית חיפה",570005959
"קרן ביטוח הדדי לחברי הסתדרות עובדי המדינה בישראל בע""מ",510800402
"קרן ביטוח ופנסיה לפועלים חקלאים ובלתי מקצועיים בישראל אגודה שיתופית בע""מ",570007476
"קרן הביטוח והפנסיה של פועלי בנין ועבודות ציבוריות אגודה שיתופית בע""מ",570005850
"קרן הגמלאות המרכזית של עובדי ההסתדרות בע""מ",520020504
"קרן הגמלאות של חברי אגד בע""מ",520020447
"קרן החסכון לצבא הקבע - חברה לניהול קופות גמל בע""מ",511033060
"קרן לביטוח נזקי טבע בחקלאות בע""מ",520027848
"קרן מקפת מרכז לפנסיה ותגמולים אגודה שיתופית בע""מ",570009852
"קרנות השתלמות למורים ולגננות - חברה מנהלת בע""מ",520027251
"קרנות השתלמות למורים תיכוניים, מורי סמינרים ומפקחים - חברה מנהלת בע""מ",520028390
"רעות חברה לניהול קופות גמל בע""מ",510806870
"ש. שלמה חברה לביטוח בע""מ",513879189
"שומרה חברה לביטוח בע""מ",510015951
"שיבולת - חברה לניהול קופות גמל בע""מ",520030693
"תגמולים של עובדים בעירית ת""א-יפו א.ש. בע""מ",570002618
