"שם גיליון
(רלוונטי לגיליונות עם עמודה ""מאפיין עיקרי"")",שם עמודה,אפשרות בחירה,הערות והסברים,Unnamed: 4
ריק במקור,"ישראל/חו""ל ",ישראל,,
ריק במקור,ריק במקור,"חו""ל",,
ריק במקור,"מדינה לפי חשיפה כלכלית; מדינת התאגדות קרן השקעה, מיקום משרד השותף הכללי, מדינת מיקום נדל""ן",ישראל,,
ריק במקור,ריק במקור,אוסטריה,,
ריק במקור,ריק במקור,אוסטרליה,,
ריק במקור,ריק במקור,אזור תעלת פנמה,,
ריק במקור,ריק במקור,אזרביג'אן,,
ריק במקור,ריק במקור,איחוד האמירויות הערביות,,
ריק במקור,ריק במקור,איטליה,,
ריק במקור,ריק במקור,איי הבתולה הבריטיים,,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,איי הבתולה של ארצות הברית,,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,איי סיישל,,
ריק במקור,ריק במקור,איי קיימן,,
ריק במקור,ריק במקור,איי שלמה הבריטיים,,
ריק במקור,ריק במקור,איסלנד,,
ריק במקור,ריק במקור,אירלנד,,
ריק במקור,ריק במקור,אנדורה,,
ריק במקור,ריק במקור,אסטוניה,,
ריק במקור,ריק במקור,ארגנטינה,,
ריק במקור,ריק במקור,"ארה""ב",,
ריק במקור,ריק במקור,אתיופיה,,
ריק במקור,ריק במקור,בהמס,,
ריק במקור,ריק במקור,בולגריה,,
ריק במקור,ריק במקור,בוליביה,,
ריק במקור,ריק במקור,בחריין,,
ריק במקור,ריק במקור,בלגיה,,
ריק במקור,ריק במקור,בליז,,
ריק במקור,ריק במקור,ברזיל,,
ריק במקור,ריק במקור,בריטניה,,
ריק במקור,ריק במקור,ברמודה,,
ריק במקור,ריק במקור,גאורגיה,,
ריק במקור,ריק במקור,גיברלטר,,
ריק במקור,ריק במקור,גמייקה,,
ריק במקור,ריק במקור,גרמניה,,
ריק במקור,ריק במקור,ג'רזי (Jersey),,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,גרנזי (Guernsey),,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,דנמרק,,
ריק במקור,ריק במקור,דרום אפריקה,,
ריק במקור,ריק במקור,דרום קוריאה,,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,הודו,,
ריק במקור,ריק במקור,הולנד,,
ריק במקור,ריק במקור,הונג קונג,,
ריק במקור,ריק במקור,הונגריה,,
ריק במקור,ריק במקור,הונדורס,,
ריק במקור,ריק במקור,טייוואן,,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,יוון,,
ריק במקור,ריק במקור,יפן,,
ריק במקור,ריק במקור,ירדן,,
ריק במקור,ריק במקור,לוכסמבורג,,
ריק במקור,ריק במקור,לטביה,,
ריק במקור,ריק במקור,ליטא,,
ריק במקור,ריק במקור,ליכטנשטיין,,
ריק במקור,ריק במקור,מאוריציוס,,
ריק במקור,ריק במקור,מולדובה,,
ריק במקור,ריק במקור,מונקו,,
ריק במקור,ריק במקור,מלדיבים,,
ריק במקור,ריק במקור,מלטה,,
ריק במקור,ריק במקור,מלזיה,,
ריק במקור,ריק במקור,מצרים,,
ריק במקור,ריק במקור,מקסיקו,,
ריק במקור,ריק במקור,מרוקו,,
ריק במקור,ריק במקור,נורבגיה,,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,ניו זילנד,,
ריק במקור,ריק במקור,סין,,
ריק במקור,ריק במקור,סינגפור,,
ריק במקור,ריק במקור,סלובניה,,
ריק במקור,ריק במקור,סלובקיה,,
ריק במקור,ריק במקור,ספרד,,
ריק במקור,ריק במקור,סרביה,,
ריק במקור,ריק במקור,ערב הסעודית,,
ריק במקור,ריק במקור,פולין,,
ריק במקור,ריק במקור,פורטוגל,,
ריק במקור,ריק במקור,פינלנד,,
ריק במקור,ריק במקור,פנמה,,
ריק במקור,ריק במקור,צילה,,
ריק במקור,ריק במקור,צכיה,,
ריק במקור,ריק במקור,צרפת,,
ריק במקור,ריק במקור,קנדה,,
ריק במקור,ריק במקור,קפריסין,,
ריק במקור,ריק במקור,רומניה,,
ריק במקור,ריק במקור,רוסיה,,
ריק במקור,ריק במקור,שוודיה,,
ריק במקור,ריק במקור,שוויץ,,
ריק במקור,ריק במקור,תורכיה,,
ריק במקור,ריק במקור,אסיה,,
ריק במקור,ריק במקור,אפריקה,,
ריק במקור,ריק במקור,אמריקה הצפונית,,
ריק במקור,ריק במקור,אמריקה הדרומית,,
ריק במקור,ריק במקור,אירופה,,
ריק במקור,ריק במקור,אוקיאניה,,
ריק במקור,ריק במקור,"גלובלי ללא ארה""ב",,
ריק במקור,ריק במקור,גלובלי,,
ריק במקור,ריק במקור,Emerging Markets - Americas,שווקים מתעוררים לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"Emerging Markets - Euope, Middle East & Africa",לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Emerging Markets - Asia,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Developed Markets - Americas,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Developed Markets - Europe,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Developed Markets - Pacific,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Frontier Markets - Euope,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Frontier Markets - Africa,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Frontier Markets - Middle East,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Frontier Markets - Asia,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
ריק במקור,סוג מספר מזהה מנפיק,ח.פ.,,
ריק במקור,ריק במקור,מספר מנפיק,,
ריק במקור,ריק במקור,מספר שותפות,,
ריק במקור,ריק במקור,"מספר תאגיד או שותפות בחו""ל",,
