מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,12145,נדלן  אורשר אשדוד,"נדל""ן מניב",ישראל,לא,2024-07-31 00:00:00,לוגיסטיקה ותעשייה,בשימוש,"קיבוץ ניר גלים, נתיב 2",0.01518,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2024-12-31 00:00:00,שקל,4203.293,4203.293,ריק במקור,ריק במקור,שווי הוגן,0.06241486025265312,0.0003165433949095981
162,12145,"נדלן אחד העם 56 ת""א ","נדל""ן מניב",ישראל,לא,2019-05-13 00:00:00,מגורים (כולל דיור מוגן),בשימוש,"תל אביב, אחד העם 56",0.00247,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2024-12-31 00:00:00,שקל,864.889,864.889,ריק במקור,ריק במקור,שווי הוגן,0.012842770196856824,6.513343235410128e-05
162,12145,נדלן אלביט נתניה - עלות,"נדל""ן מניב",ישראל,לא,2019-09-10 00:00:00,משרדים,בשימוש,"נתניה, הגביש 5",0.01282,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2024-12-31 00:00:00,שקל,5443.167,5443.167,ריק במקור,ריק במקור,שווי הוגן,0.08082579721110406,0.00040991635873109314
162,12145,נדלן באר טוביה (מרלוג),"נדל""ן מניב",ישראל,לא,2023-12-21 00:00:00,לוגיסטיקה ותעשייה,בשימוש,א.תעשיה באר טוביה,0.0139,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2025-06-30 00:00:00,שקל,5084.506,5084.506,ריק במקור,ריק במקור,שווי הוגן,0.0755000261565816,0.00038290616206822155
162,12145,נדלן ויוה חדרה,"נדל""ן מניב",ישראל,לא,2019-03-14 00:00:00,מסחר,בשימוש,"חדרה, צומת תרנ""א-יצחק רבין, אחד העם",0.01136,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2025-06-30 00:00:00,שקל,1287.134,1287.134,ריק במקור,ריק במקור,שווי הוגן,0.019112702525481435,9.693204020361432e-05
162,12145,"נדלן מגדל WE ת""א","נדל""ן מניב",ישראל,לא,2023-05-31 00:00:00,משרדים,בשימוש,דרך מנחם בגין תל אביב ,0.0135,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2025-06-30 00:00:00,שקל,4326.621,4326.621,ריק במקור,ריק במקור,שווי הוגן,0.06424616249240639,0.00032583103291328023
162,12145,נדלן מגדל צפירה,"נדל""ן מניב",ישראל,לא,2022-01-06 00:00:00,קרקע/זכויות מקרקעין,בשימוש,"פינת הרחובות הצפירה, יד חרוצים ואליאשברג, תל אביב",0.00041,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2024-12-31 00:00:00,שקל,2237.123,2237.123,ריק במקור,ריק במקור,שווי הוגן,0.03321912591223027,0.00016847421991527712
162,12145,נדלן מנועי בית שמש ,"נדל""ן מניב",ישראל,לא,2023-02-20 00:00:00,לוגיסטיקה ותעשייה,בשימוש,"אזור תעשיה מערבי ""ברוש"", בית שמש",0.00439,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2024-12-31 00:00:00,שקל,6644.2,6644.2,ריק במקור,ריק במקור,שווי הוגן,0.09865998265899567,0.0005003642678391327
162,12145,נדלן מתחם האלף,"נדל""ן מניב",ישראל,לא,2019-05-12 00:00:00,משרדים,בשימוש,ראשון לציון,0.00662,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2024-12-31 00:00:00,שקל,5489.967,5489.967,ריק במקור,ריק במקור,שווי הוגן,0.08152073222035136,0.000413440793235604
162,12145,נדלן נדלן אלביט מודיעין,"נדל""ן מניב",ישראל,לא,2022-01-11 00:00:00,משרדים,בשימוש,"אזור התעסוקה הפארק הטכנולוגי, מודיעין ",0.01328,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2025-06-30 00:00:00,שקל,1104.318,1104.318,ריק במקור,ריק במקור,שווי הוגן,0.01639806067397381,8.316445434086503e-05
