מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,2102,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,S&P500 EMINI FUT Dec25,ESZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,5801.882,3.306,673875,82280.231,0.6918745158079722,0.0012058837621338285
162,2102,ICE Futures US Indices,5493004R83R1LVX2IL36,LEI,MSCI EmgMk Dec25,MESZ5,טיקר,"חו""ל",גלובלי,ICE,מניות לרבות מדדי מניות,לא,USD,2707.577,3.306,135970,2533.912,0.021307051727893305,3.7136542986565675e-05
162,2102,Osaka Exchange,3538001249AILNPRUX57,LEI,NIKKEI 225  (OSE) Dec25,NKZ5,טיקר,"חו""ל",יפן,JPX,מניות לרבות מדדי מניות,לא,JPY,152.634,0.022332,4499000,4971.316,0.04180259107960484,7.285868267477392e-05
162,2102,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,NASDAQ 100 E MINI Dec25,NQZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,202.913,3.306,2490175,5534.205,0.04653578822301871,8.110827916635096e-05
162,2102,TMX GROUP LTD,549300N65GFVKSHGJW59,LEI,S&P/TSX 60 IX FUT Dec25,PTZ5,טיקר,"חו""ל",קנדה,אחר,מניות לרבות מדדי מניות,לא,CAD,308.859,2.3745,177280,6082.151,0.05114333330196866,8.913887382919509e-05
162,2102,EUREX CLEARING AG,529900LN3S50JPU47S06,LEI,STOXX EUROPE 600 Dec25,SXOZ5,טיקר,"חו""ל",אירופה,EUREX,מניות לרבות מדדי מניות,לא,EUR,949.758,3.8807,55950,744.274,0.006258419636406499,1.0907941315556019e-05
162,2102,Osaka Exchange,3538001249AILNPRUX57,LEI,TOPIX INDX FUTR   Dec25,TPZ5,טיקר,"חו""ל",יפן,JPX,מניות לרבות מדדי מניות,לא,JPY,173.203,0.022332,314100,1025.903,0.008626569623886278,1.5035443559029156e-05
162,2102,EUREX CLEARING AG,529900LN3S50JPU47S06,LEI,EURO BUXL 30Y BND DEC25,UBZ5,טיקר,"חו""ל",אירופה,FWB,"ריבית ואג""ח",לא,EUR,35.76,3.8807,11448,258.435,0.0021731172642531025,3.7875752933539526e-06
162,2102,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,US 10YR ULTRA FUT DEC25,UXYZ5,טיקר,"חו""ל","ארה""ב",CME,"ריבית ואג""ח",לא,USD,3622.682,3.306,11507.813,15493.206,0.13027861333499624,0.0002270655455354082
162,2112,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,S&P500 EMINI FUT Dec25,ESZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,178,3.306,673875,2734.98,0.956427167626015,0.0010713305758011475
162,2112,EUREX CLEARING AG,529900LN3S50JPU47S06,LEI,STOXX EUROPE 600 Dec25,SXOZ5,טיקר,"חו""ל",אירופה,EUREX,מניות לרבות מדדי מניות,לא,EUR,159,3.8807,55950,124.6,0.04357283237398499,4.88075926496073e-05
162,2142,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,S&P500 EMINI FUT Dec25,ESZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,1736.078,3.306,673875,24620.446,0.7975054920636361,0.002158204447429265
162,2142,ICE Futures US Indices,5493004R83R1LVX2IL36,LEI,MSCI EmgMk Dec25,MESZ5,טיקר,"חו""ל",גלובלי,ICE,מניות לרבות מדדי מניות,לא,USD,810.18,3.306,135970,758.214,0.02456006804911405,6.646430478567012e-05
162,2142,Osaka Exchange,3538001249AILNPRUX57,LEI,NIKKEI 225  (OSE) Dec25,NKZ5,טיקר,"חו""ל",יפן,JPX,מניות לרבות מדדי מניות,לא,JPY,45.672,0.022332,4499000,1487.551,0.04818475230809198,0.00013039727972344005
162,2142,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,NASDAQ 100 E MINI Dec25,NQZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,60.717,3.306,2490175,1655.982,0.05364056929588214,0.00014516177803045524
162,2142,TMX GROUP LTD,549300N65GFVKSHGJW59,LEI,S&P/TSX 60 IX FUT Dec25,PTZ5,טיקר,"חו""ל",קנדה,אחר,מניות לרבות מדדי מניות,לא,CAD,92.419,2.3745,177280,1819.942,0.05895156165072225,0.00015953435280836552
162,2142,EUREX CLEARING AG,529900LN3S50JPU47S06,LEI,STOXX EUROPE 600 Dec25,SXOZ5,טיקר,"חו""ל",אירופה,EUREX,מניות לרבות מדדי מניות,לא,EUR,284.193,3.8807,55950,222.707,0.00721392519132335,1.9522279891827685e-05
162,2142,Osaka Exchange,3538001249AILNPRUX57,LEI,TOPIX INDX FUTR   Dec25,TPZ5,טיקר,"חו""ל",יפן,JPX,מניות לרבות מדדי מניות,לא,JPY,51.827,0.022332,314100,306.978,0.009943631441230224,2.6909394121574443e-05
162,2144,EUREX CLEARING AG,529900LN3S50JPU47S06,LEI,EURO BUXL 30Y BND DEC25,UBZ5,טיקר,"חו""ל",אירופה,FWB,"ריבית ואג""ח",לא,EUR,0.945,3.8807,11448,6.83,0.07856444470006327,2.106387604685216e-05
162,2144,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,US 10YR ULTRA FUT DEC25,UXYZ5,טיקר,"חו""ל","ארה""ב",CME,"ריבית ואג""ח",לא,USD,19.099,3.306,11507.813,80.105,0.9214355552999367,0.00024704565018054064
162,2207,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,S&P500 EMINI FUT Dec25,ESZ5,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,13.664,3.306,673875,193.78,0.7975043521563238,6.524123452313578e-05
