מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,2102,ערד בקרן פנסיה מקיפה חדשה,ערד 8802,2704,2013-05-01 00:00:00,2.42,צמוד למדד המחירים לצרכן,2028-05-01 00:00:00,0.048,0.0572,45737264.665,122.898,60116.301,56210.346,עלות מופחתת,0.005414844286559746,0.0008238083763440601
162,2102,ערד בקרן פנסיה מקיפה חדשה,ערד 8807,3236000,2013-10-01 00:00:00,2.77,צמוד למדד המחירים לצרכן,2028-10-01 00:00:00,0.048,0.0575,118990362.751,121.218,152466.684,144237.212,עלות מופחתת,0.013894631484878368,0.0021139137522141207
162,2102,ערד בקרן פנסיה מקיפה חדשה,ערד 8808,3275000,2013-11-01 00:00:00,2.85,צמוד למדד המחירים לצרכן,2028-11-01 00:00:00,0.048,0.0558,82567451.239,120.739,107972.893,99691.469,עלות מופחתת,0.009603459500736716,0.001461059627924087
162,2102,ערד בקרן פנסיה מקיפה חדשה,ערד 8809,3322000,2013-12-01 00:00:00,2.93,צמוד למדד המחירים לצרכן,2028-12-01 00:00:00,0.048,0.0542,80084586.882,119.916,104261.221,96034.602,עלות מופחתת,0.009251186889184762,0.001407465265317314
162,2102,ערד בקרן פנסיה מקיפה חדשה,ערד 8786_1/2027,71116487,2012-01-01 00:00:00,1.22,צמוד למדד המחירים לצרכן,2027-01-01 00:00:00,0.048,0.0587,39252854.026,123.97,50292.644,48661.91,עלות מופחתת,0.004687689795337403,0.00071317990227103
162,2102,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8788 4.8% 2027,71116727,2012-03-01 00:00:00,1.38,צמוד למדד המחירים לצרכן,2027-03-01 00:00:00,0.048,0.0515,54855891.879,122.99,70048.066,67467.344,עלות מופחתת,0.006499251262174421,0.0009887888453290461
162,2102,ערד בקרן פנסיה מקיפה חדשה,ערד 8794,71120232,2012-09-02 00:00:00,1.85,צמוד למדד המחירים לצרכן,2027-09-01 00:00:00,0.048,0.0507,45210971.721,121.701,57869.442,55022.344,עלות מופחתת,0.0053004019053987834,0.0008063972399900249
162,2102,ערד בקרן פנסיה מקיפה חדשה,ערד 8795,71120356,2012-10-02 00:00:00,1.89,צמוד למדד המחירים לצרכן,2027-10-01 00:00:00,0.048,0.0617,50753902.761,122.842,65653.935,62347.096,עלות מופחתת,0.006006008512368737,0.0009137474429623194
162,2102,ערד בקרן פנסיה מקיפה חדשה,ערד 8801,71120935,2013-04-02 00:00:00,2.33,צמוד למדד המחירים לצרכן,2028-04-01 00:00:00,0.048,0.0592,66793454.174,123.627,88097.524,82574.912,עלות מופחתת,0.007954590609642818,0.001210202552061744
162,2102,ערד בקרן פנסיה מקיפה חדשה,ערד 8803,71121057,2013-06-02 00:00:00,2.5,צמוד למדד המחירים לצרכן,2028-06-01 00:00:00,0.048,0.0552,90419191.584,121.924,118190.123,110243.125,עלות מופחתת,0.010619919605880773,0.0016157027357445062
162,2102,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8810 2029 4.8%,71121438,2014-01-01 00:00:00,3.02,צמוד למדד המחירים לצרכן,2029-01-01 00:00:00,0.048,0.0526,56256931.853,119.911,73412.196,67458.057,עלות מופחתת,0.006498356628668887,0.0009886527367843467
162,2102,ערד בקרן פנסיה מקיפה חדשה,ערד 2025 סדרה 8771,8287716,2010-10-01 00:00:00,0,צמוד למדד המחירים לצרכן,2025-10-01 00:00:00,0.048,0,55197466.319,129.491,71471.641,71475.845,עלות מופחתת,0.00688539741287627,0.0010475366904389755
