מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,2102,"אלקטרה בע""מ",520028911,ח.פ.,אלקטרה אופציה לס,10315,פנימי,ישראל,ישראל,לא סחיר,IL0007390375,השקעה ואחזקות,2027-09-19 00:00:00,לא,2024-09-19 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,2032.29,1,4268.226,35606.266,1,1519.756,0.11136014847277279,2.227326127469743e-05
162,2102,"י.ח.דמרי בניה ופיתוח בע""מ",511399388,ח.פ.,דמרי אופציה לס,10343,פנימי,ישראל,ישראל,לא סחיר,IL0010903156,בנייה,2025-12-31 00:00:00,לא,2024-10-13 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,350,1,16801.699,3423.673,1,575.235,0.04215035506142792,8.430537171329196e-06
162,2102,"אחים דוניץ בע""מ",520038605,ח.פ.,דוניץ אפ לא סחיר,10573,פנימי,ישראל,ישראל,לא סחיר,IL0004000100,בנייה,2025-12-31 00:00:00,לא,2025-01-26 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,272.5,1,27343.156,497.197,1,135.949,0.009961665441508366,1.992443258676946e-06
162,2102,"קבוצת אקרו בע""מ",511996803,ח.פ.,אקרו אופציה לס,10594,פנימי,ישראל,ישראל,לא סחיר,IL0011849028,בנייה,2026-08-05 00:00:00,לא,2025-02-05 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,70,1,39446.671,126.751,1,49.999,0.003663677632126582,7.327760446240033e-07
162,2102,"קרסו נדל""ן בע""מ",510488190,ח.פ.,קרסו אופ לס,10843,פנימי,ישראל,ישראל,לא סחיר,IL0011879629,בנייה,2026-06-29 00:00:00,לא,2025-06-29 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,40,1,53384.121,347.449,1,185.483,0.0135912701901985,2.7184043497868755e-06
162,2102,"איילון חברה לביטוח בע""מ",520030677,ח.פ.,איילון אופ ל.ס,10993,פנימי,ישראל,ישראל,לא סחיר,IL0002090152,ביטוח,2026-06-30 00:00:00,לא,2025-09-02 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-03 00:00:00,7200,1,78741.578,845.411,1,665.69,0.04877844682754345,9.756228827491604e-06
162,2102,"ישראל קנדה (ט.ר) בע""מ",520039298,ח.פ.,ישראל קנדה אופ ל.ס,10890,פנימי,ישראל,ישראל,לא סחיר,IL0004340191,בנייה,2025-10-31 00:00:00,לא,2025-07-14 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,1536,1,315442.005,40.881,1,128.956,0.009449253239635103,1.8899551513136853e-06
162,2102,הרשות הלאומית לחדשנות טכנולוגית,500501960,ח.פ.,הגנה ממשלתית מסלול 43,9919,פנימי,ישראל,ישראל,לא סחיר,9918,השקעות בהיי-טק,2029-06-30 00:00:00,לא,2023-12-31 00:00:00,USD,גורם תלוי/פנימי,קיימת תלות,2025-06-30 00:00:00,0.01,1,18395.64,14325.795,3.306,8712.374,0.6383993629176823,0.00012768693291875848
162,2102,"אקלים אינסייטס בע""מ",513717694,ח.פ.,אופציה על מניה לא סחירה Agritask,9122,פנימי,ישראל,ישראל,לא סחיר,9114,השקעות בהיי-טק,2026-12-21 00:00:00,לא,2022-06-30 00:00:00,USD,גורם תלוי/פנימי,קיימת תלות,2023-12-31 00:00:00,0.01,1,55240.82,0,3.306,0,0.0,0.0
162,2102,Fu Gen AG,293.683.048,"מספר תאגיד או שותפות בחו""ל",Option fu gen,10529,פנימי,"חו""ל",שוודיה,לא סחיר,9035,Independent Power and Renewable Electricity Producers,2026-09-01 00:00:00,לא,2024-03-01 00:00:00,EUR,גורם תלוי/פנימי,קיימת תלות,2025-05-30 00:00:00,0.01,1,9912.37,4351.203,3.8807,1673.774,0.12264582021710509,2.453052043669866e-05
162,2142,"אלקטרה בע""מ",520028911,ח.פ.,אלקטרה אופציה לס,10315,פנימי,ישראל,ישראל,לא סחיר,IL0007390375,השקעה ואחזקות,2027-09-19 00:00:00,לא,2024-09-19 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,2032.29,1,931.41,35606.266,1,331.64,0.46602869468684566,2.907124115239186e-05
162,2142,"י.ח.דמרי בניה ופיתוח בע""מ",511399388,ח.פ.,דמרי אופציה לס,10343,פנימי,ישראל,ישראל,לא סחיר,IL0010903156,בנייה,2025-12-31 00:00:00,לא,2024-10-13 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,350,1,3666.459,3423.673,1,125.528,0.17639503674662396,1.100366288559114e-05
162,2142,"אחים דוניץ בע""מ",520038605,ח.פ.,דוניץ אפ לא סחיר,10573,פנימי,ישראל,ישראל,לא סחיר,IL0004000100,בנייה,2025-12-31 00:00:00,לא,2025-01-26 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,272.5,1,5966.811,497.197,1,29.667,0.041688798954512885,2.60058048265592e-06
162,2142,"קבוצת אקרו בע""מ",511996803,ח.פ.,אקרו אופציה לס,10594,פנימי,ישראל,ישראל,לא סחיר,IL0011849028,בנייה,2026-08-05 00:00:00,לא,2025-02-05 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,70,1,8608.034,126.751,1,10.911,0.01533240588508073,9.564476909110708e-07
162,2142,"קרסו נדל""ן בע""מ",510488190,ח.פ.,קרסו אופ לס,10843,פנימי,ישראל,ישראל,לא סחיר,IL0011879629,בנייה,2026-06-29 00:00:00,לא,2025-06-29 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,40,1,11649.458,347.449,1,40.476,0.056877871927827665,3.5480869523706816e-06
162,2142,"איילון חברה לביטוח בע""מ",520030677,ח.פ.,איילון אופ ל.ס,10993,פנימי,ישראל,ישראל,לא סחיר,IL0002090152,ביטוח,2026-06-30 00:00:00,לא,2025-09-02 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-03 00:00:00,7200,1,17182.95,845.411,1,145.267,0.20413276562258476,1.2733964505139633e-05
162,2142,"ישראל קנדה (ט.ר) בע""מ",520039298,ח.פ.,ישראל קנדה אופ ל.ס,10890,פנימי,ישראל,ישראל,לא סחיר,IL0004340191,בנייה,2025-10-31 00:00:00,לא,2025-07-14 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,1536,1,68835.607,40.881,1,28.141,0.03954442617652432,2.4668128008366277e-06
162,2144,"אלקטרה בע""מ",520028911,ח.פ.,אלקטרה אופציה לס,10315,פנימי,ישראל,ישראל,לא סחיר,IL0007390375,השקעה ואחזקות,2027-09-19 00:00:00,לא,2024-09-19 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,2032.29,1,0.793,35606.266,1,0.283,0.466996699669967,8.727784657773296e-07
162,2144,"י.ח.דמרי בניה ופיתוח בע""מ",511399388,ח.פ.,דמרי אופציה לס,10343,פנימי,ישראל,ישראל,לא סחיר,IL0010903156,בנייה,2025-12-31 00:00:00,לא,2024-10-13 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,350,1,3.124,3423.673,1,0.107,0.17656765676567657,3.2999044465785965e-07
162,2144,"אחים דוניץ בע""מ",520038605,ח.פ.,דוניץ אפ לא סחיר,10573,פנימי,ישראל,ישראל,לא סחיר,IL0004000100,בנייה,2025-12-31 00:00:00,לא,2025-01-26 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,272.5,1,5.083,497.197,1,0.025,0.04125412541254126,7.710057118174291e-08
162,2144,"קבוצת אקרו בע""מ",511996803,ח.פ.,אקרו אופציה לס,10594,פנימי,ישראל,ישראל,לא סחיר,IL0011849028,בנייה,2026-08-05 00:00:00,לא,2025-02-05 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,70,1,7.333,126.751,1,0.009,0.01485148514851485,2.7756205625427446e-08
162,2144,"קרסו נדל""ן בע""מ",510488190,ח.פ.,קרסו אופ לס,10843,פנימי,ישראל,ישראל,לא סחיר,IL0011879629,בנייה,2026-06-29 00:00:00,לא,2025-06-29 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,40,1,9.924,347.449,1,0.034,0.05610561056105611,1.0485677680717036e-07
162,2144,"איילון חברה לביטוח בע""מ",520030677,ח.פ.,איילון אופ ל.ס,10993,פנימי,ישראל,ישראל,לא סחיר,IL0002090152,ביטוח,2026-06-30 00:00:00,לא,2025-09-02 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-03 00:00:00,7200,1,14.638,845.411,1,0.124,0.20462046204620463,3.8241883306144484e-07
162,2144,"ישראל קנדה (ט.ר) בע""מ",520039298,ח.פ.,ישראל קנדה אופ ל.ס,10890,פנימי,ישראל,ישראל,לא סחיר,IL0004340191,בנייה,2025-10-31 00:00:00,לא,2025-07-14 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2025-08-31 00:00:00,1536,1,58.642,40.881,1,0.024,0.039603960396039604,7.401654833447319e-08
