מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,2102,א.י אמריקה ישראל להשקעות בעמ,512480971,ח.פ.,אמריקה ישראל   נדלן,349,פנימי,יחידות השתתפות אחרות,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2006-12-28 00:00:00,ILS,מומחה בלתי תלוי,אי-תלות,2024-12-25 00:00:00,ריק במקור,546391.75,1,1178.312,6438.2,0.0034118472181111394,9.435706175120017e-05
162,2102,"ביג יו.אס.אי. בע""מ",514435395,ח.פ.,מניה לא סחירה BIG USA,405,פנימי,מניות לא סחירות,ישראל,"ארה""ב",לא סחיר,"נדל""ן מניב בחו""ל",לא,2012-02-21 00:00:00,USD,מומחה בלתי תלוי,אי-תלות,2024-12-25 00:00:00,ריק במקור,2727145.12,3.306,698.596,62985.054,0.033378177327899085,0.0009230972367557201
162,2102,"אלון חברת הדלק לישראל בע""מ",520041690,ח.פ.,אלון דלק מניה לא סחירה,5992,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2017-12-31 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2024-12-31 00:00:00,ריק במקור,126513,1,0,0,0.0,0.0
162,2102,"ביוסייט בע""מ",512852559,ח.פ.,BioSight Ltd,8113,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות במדעי החיים,לא,2020-12-01 00:00:00,USD,גורם תלוי/פנימי,קיימת תלות,2024-12-31 00:00:00,ריק במקור,1050930,3.306,0.136,4.708,2.494948386640248e-06,6.899957235324321e-08
162,2102,Veev Group INC,83-2652993,"מספר תאגיד או שותפות בחו""ל",Veev וויו גרופ,8340,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,רובוטיקה ותלת מימד,לא,2021-03-21 00:00:00,ILS,גורם תלוי/פנימי,קיימת תלות,2024-12-31 00:00:00,ריק במקור,7980215,1,0,0.008,4.239504480272299e-09,1.172465120700819e-10
162,2102,"ביהלף בע""מ",514610450,ח.פ.,Behalf,8423,פנימי,מניות לא סחירות,ישראל,"ארה""ב",לא סחיר,אשראי חוץ בנקאי,לא,2021-05-23 00:00:00,USD,גורם תלוי/פנימי,קיימת תלות,2022-10-31 00:00:00,ריק במקור,92364854.36,3.306,0,0,0.0,0.0
162,2102,"קונטיניואיטי סופטוור בע""מ",513644005,ח.פ.,Continuity Software Ltd,8460,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2021-06-13 00:00:00,USD,מומחה בלתי תלוי,אי-תלות,2024-12-31 00:00:00,ריק במקור,410074.69,3.306,339.647,4604.611,0.002440158620551389,6.748432239869149e-05
162,2102,"סיינריו ישראל בע""מ",515746212,ח.פ.,Cynerio Israel Ltd,8525,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2021-07-12 00:00:00,USD,דיווח מנהל הקרן,אי-תלות,2025-05-08 00:00:00,ריק במקור,158528.29,3.306,393.788,2063.819,0.0010936962371213869,3.0246947411745547e-05
162,2102,אסנס תשתיות וביצוע שותפות מוגבלת,540305018,מספר שותפות,Essence Infra and Construction,8561,פנימי,יחידות השתתפות תשתיות,ישראל,ישראל,לא סחיר,בנייה,לא,2021-08-05 00:00:00,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-14 00:00:00,ריק במקור,33722068.01,1,105.161,35462.599,0.018792980917824994,0.0005197332552112469
162,2102,"וייסייטס פתרונות בע""מ",515252112,ח.פ.,Viisights Solutions,8603,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעות בהיי-טק,לא,2021-08-24 00:00:00,USD,גורם תלוי/פנימי,קיימת תלות,2023-10-09 00:00:00,ריק במקור,2462.81,3.306,0,0,0.0,0.0
