מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,2102,ENERGEAN PLC,549300RVMKU0CYUZBB05,LEI,אנרג'יאן,GB00BG12Y042,ISIN,מניות,ישראל,ישראל,סחיר,TASE,חיפושי נפט וגז,לא,ILS,1247147.442,1,3825,0,47703.39,0.006768,0.00345153347069261,0.0006991320114273531
162,2102,"ג'י סיטי בע""מ",520033234,ח.פ.,ג'י סיטי,IL0001260111,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ILS,1857317.65,1,1213,0,22529.263,0.009979,0.0016300834241452567,0.0003301846882824437
162,2102,"זנלכל בע""מ",520034208,ח.פ.,זנלכל,IL0001300131,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מזון,לא,ILS,223497.389,1,4384,0,9798.126,0.016077,0.0007089340996324056,0.00014359951229039793
162,2102,"וואן טכנולוגיות תוכנה בע""מ",520034695,ח.פ.,וואן טכנולוגיות,IL0001610182,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותי מידע,לא,ILS,1341923.323,1,8089,0,108548.178,0.018728,0.007853900310852105,0.0015908619077578
162,2102,"אי.בי.אי. בית השקעות בע""מ",520034356,ח.פ.,איביאי בית השק,IL0001750186,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותים פיננסיים,לא,ILS,67111.466,1,22380,0,15019.546,0.004917,0.0010867249839813756,0.00022012367267201883
162,2102,"איילון חברה לביטוח בע""מ",520030677,ח.פ.,איילון,IL0002090152,ISIN,מניות,ישראל,ישראל,חסום,TASE,ביטוח,לא,ILS,157483.157,1,6598.183,0,10391.027,0.005783,0.0007518328882993561,0.00015228895907200588
162,2102,"כלל החזקות עסקי ביטוח בע""מ",520036120,ח.פ.,כלל עסקי ביטוח,IL0002240146,ISIN,מניות,ישראל,ישראל,סחיר,TASE,ביטוח,לא,ILS,552472.455,1,16970,0,93754.576,0.006902,0.006783523290369806,0.0013740496283261765
162,2102,"מבנה נדל""ן (כ.ד) בע""מ",520024126,ח.פ.,מבנה,IL0002260193,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,15641698.454,1,1292,0,202090.744,0.021616,0.014622083819057132,0.0029618043569559793
162,2102,"בזק החברה הישראלית לתקשורת בע""מ",520031931,ח.פ.,בזק,IL0002300114,ISIN,מניות,ישראל,ישראל,סחיר,TASE,תקשורת ומדיה,לא,ILS,33262540.551,1,634.7,6993.283,218110.628,0.011995,0.015781187308821967,0.003196588797301893
162,2102,ישראמקו נגב 2 שותפות מוגבלת,550010003,מספר שותפות,ישראמקו יהש,IL0002320179,ISIN,יחידות השתתפות,ישראל,ישראל,סחיר,TASE,חיפושי נפט וגז,לא,ILS,47269473.274,1,246.2,0,116377.443,0.018182,0.008420379343021983,0.0017056061594230962
162,2102,"פורמולה מערכות (1985)בע""מ",520036690,ח.פ.,פורמולה מערכות,IL0002560162,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותי מידע,לא,ILS,33745.628,1,46080,0,15549.985,0.002201,0.0011251043939700727,0.0002278976879990116
162,2102,"תדיראן גרופ בע""מ",520036732,ח.פ.,תדיראן גרופ,IL0002580129,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מסחר,לא,ILS,193661.957,1,16620,0,32186.617,0.022556,0.0023288320994349406,0.00047172107232320047
162,2102,"נייס בע""מ",520036872,ח.פ.,נייס,IL0002730112,ISIN,מניות,ישראל,ישראל,סחיר,TASE,תוכנה ואינטרנט,לא,ILS,100725.541,1,48800,0,49154.064,0.001631,0.0035564956099884445,0.0007203928197586974
162,2102,"איי.סי.אל גרופ בע""מ",520027830,ח.פ.,איי.סי.אל,IL0002810146,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"כימיה, גומי ופלסטיק",לא,ILS,15060146.33,1,2070,0,311745.029,0.011668,0.02255601545121926,0.004568877163179567
162,2102,"קבוצת סקופ מתכות בע""מ",520037425,ח.פ.,סקופ,IL0002880198,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מסחר,לא,ILS,150029.59,1,15400,0,23104.557,0.011338,0.001671708275051841,0.00033861609014679945
162,2102,"עשות   אשקלון תעשיות בע""מ",520037581,ח.פ.,עשות,IL0003120172,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מתכת ומוצרי בניה,לא,ILS,249827.2,1,7230,0,18062.507,0.010413,0.001306895536671913,0.00026472074312392993
162,2102,"דנאל (אדיר יהושע) בע""מ",520037565,ח.פ.,דנאל,IL0003140139,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותים,לא,ILS,88620.119,1,50790,0,45010.159,0.014982,0.0032566672999486245,0.0006596605188087258
162,2102,"מליסרון בע""מ",520037789,ח.פ.,מליסרון,IL0003230146,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,453988.17,1,40000,0,181595.268,0.009526,0.01313915312143214,0.0026614264726789703
162,2102,"אאורה השקעות בע""מ",520038274,ח.פ.,אאורה,IL0003730194,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,לא,ILS,1722958.397,1,2195,0,37818.937,0.006035,0.002736353262975968,0.000554267306681021
162,2102,"אלוני חץ נכסים והשקעות בע""מ",520038506,ח.פ.,אלוני חץ,IL0003900136,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,2803476.266,1,3926,0,110064.478,0.012975,0.007963610757040756,0.0016130845185392832
162,2102,רציו אנרגיות שותפות מוגבלת,550012777,מספר שותפות,רציו יהש,IL0003940157,ISIN,יחידות השתתפות,ישראל,ישראל,סחיר,TASE,חיפושי נפט וגז,לא,ILS,6817026.044,1,454.7,0,30997.017,0.006066,0.0022427597214187047,0.0004542865159783793
