מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,תאריך העמדת מסגרת אשראי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,שער חליפין,שיעור ריבית,סוג הריבית,סכום מסגרת האשראי הראשוני (במטבע הפעילות),"סכום מסגרת האשראי הראשוני (באלפי ש""ח)",שיעור יתרת מסגרת אשראי
162,2102,ריק במקור,ריק במקור,ריק במקור,329,2024-04-18 00:00:00,ישראל,ריק במקור,לא,A1.il,מידרוג Moodys,הלוואה,EUR,4.0364,0.045,משתנה,287.382,1159.989,0.963115
162,2102,ריק במקור,ריק במקור,ריק במקור,335,2024-01-29 00:00:00,ישראל,ריק במקור,לא,AA,פנימי,הלוואה,ILS,1,0.075,משתנה,6237.365,6237.365,0.406763
162,2102,ריק במקור,ריק במקור,ריק במקור,345,2024-01-21 00:00:00,ישראל,ריק במקור,לא,NR,NR,NR,ILS,1,0.02,קבועה,15494.882,15494.882,0.407524
162,2102,ריק במקור,ריק במקור,ריק במקור,378,2025-04-15 00:00:00,ישראל,ריק במקור,לא,AA-,פנימי,הלוואה,EUR,4.1838,ריק במקור,משתנה,1032.78,4320.944,1
162,2102,ריק במקור,ריק במקור,ריק במקור,223,2019-12-15 00:00:00,"חו""ל",ריק במקור,לא,NR,NR,NR,USD,3.476,0.063955,משתנה,1436.911,4994.702,0.063801
162,2102,ריק במקור,ריק במקור,ריק במקור,282,2022-04-25 00:00:00,"חו""ל",ריק במקור,לא,A+,פנימי,הלוואה,NOK,0.3636,0.0759,משתנה,6526.798,2373.144,0.056612
162,2102,ריק במקור,ריק במקור,ריק במקור,338,2024-10-01 00:00:00,"חו""ל",ריק במקור,לא,A+,פנימי,הלוואה,USD,3.722,0.076655,משתנה,449.035,1671.307,0.636785
162,2144,ריק במקור,ריק במקור,ריק במקור,186,2017-07-19 00:00:00,ישראל,ריק במקור,לא,NR,NR,NR,ILS,1,ריק במקור,קבועה,43.114,43.114,1
162,2144,ריק במקור,ריק במקור,ריק במקור,254,2020-11-05 00:00:00,ישראל,ריק במקור,לא,A2.il,מידרוג Moodys,הלוואה,ILS,1,0.065,משתנה,715.412,715.412,0.223369
162,2144,ריק במקור,ריק במקור,ריק במקור,255,2020-11-05 00:00:00,ישראל,ריק במקור,לא,A2.il,מידרוג Moodys,הלוואה,ILS,1,0.067,משתנה,555.039,555.039,0.311697
