מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,"NAV
(במטבע הדיווח של קרן ההשקעה)","שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,2102,Vertex,ריק במקור,ריק במקור,Vertex III Israel Fund LP,355,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2005-06-01 00:00:00,USD,דיווח מנהל הקרן,אי-תלות,2023-12-31 00:00:00,3.306,0,0,0.0058,0.0,0.0
162,2102,Evolution Venture Capital,ריק במקור,ריק במקור,Evolution Venture Capital Fun I,496,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2006-09-01 00:00:00,USD,דיווח מנהל הקרן,אי-תלות,2023-12-31 00:00:00,3.306,0,0,0.1,0.0,0.0
162,2102,Evergreen,ריק במקור,ריק במקור,Evergreen V,499,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2007-04-01 00:00:00,USD,דיווח מנהל הקרן,אי-תלות,2025-03-31 00:00:00,3.306,1254.064,4145.937,0.0201,0.0004555336640619077,6.07620815640374e-05
162,2102,Fortissimo,ריק במקור,ריק במקור,Fortissimo Capital Fund Israel LP,504,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2004-04-01 00:00:00,USD,דיווח מנהל הקרן,אי-תלות,2023-12-31 00:00:00,3.306,0,0,0.064,0.0,0.0
162,2102,Shamrock,ריק במקור,ריק במקור,Shamrock Israel Growth Fund LP,506,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2004-06-01 00:00:00,USD,דיווח מנהל הקרן,אי-תלות,2025-07-31 00:00:00,3.306,0.006,0.021,0.048,2.3073691050539513e-09,3.0777209418396507e-10
162,2102,Sky,ריק במקור,ריק במקור,S.H. SKY LP,508,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2005-08-01 00:00:00,USD,דיווח מנהל הקרן,אי-תלות,2023-12-31 00:00:00,3.306,0,0,0.0225,0.0,0.0
162,2102,Plenus,ריק במקור,ריק במקור,Plenus II L.P,522,פנימי,קרן חוב,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2004-12-01 00:00:00,USD,דיווח מנהל הקרן,אי-תלות,2024-12-31 00:00:00,3.306,40.856,135.071,0.0542,1.4840888208987725e-05,1.9795754539772544e-06
162,2102,Fimi,ריק במקור,ריק במקור,Fimi Israel Opportunity II,527,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2005-09-01 00:00:00,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30 00:00:00,3.306,161.964,535.451,0.0136,5.8832528317630626e-05,7.847470266804679e-06
162,2102,Medica,ריק במקור,ריק במקור,Medica III Investments Israel B LP,529,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2004-10-01 00:00:00,USD,דיווח מנהל הקרן,אי-תלות,2023-12-31 00:00:00,3.306,155.801,515.077,0.0176,5.659394078685114e-05,7.548872712190198e-06
162,2102,Magama,ריק במקור,ריק במקור,Magma Venture Capital II Israel Fund LP,532,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2006-04-01 00:00:00,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30 00:00:00,3.306,103.38,341.774,0.0181,3.755232231003377e-05,5.008976177030022e-06
