מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך ,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,2102,REAL ESTATE CREDIT INVES,549300QRGEEMB5OOLX86,LEI,REAL ESTATE CREDIT INV,GB00B0HW5366,ISIN,"אג""ח קונצרני","חו""ל",אירופה,סחיר,LSE,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,GBP,457457.735,4.4409,125.5,2549.563,0.001125,0.01025102212971115,3.736592113161678e-05
162,2102,LAZARD FUND MANAGERS IRELAND,549300SUR2UP5JCRR148,LEI,LAZARD JAPANESE STRATEGIC EQUITY FUND,IE000935MXF3,ISIN,מניות,"חו""ל",יפן,סחיר,ISE,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,JPY,94681.956,0.022332,1123244,23750.292,0.003795,0.09549274478767604,0.00034807986220574625
162,2102,M&G Investments,969500Q2MA9VBQ8BG884,LEI,LION III EUR C3 ACC,IE00B804LV55,ISIN,"אג""ח קונצרני","חו""ל",אירופה,סחיר,אחר,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,EUR,1691.125,3.8807,292058,19167.037,0.006094,0.07706486187946421,0.0002809085293710258
162,2102,AWI ASH WO INDIA OPP FD DUSD,213800M3HXZ3RG189568,LEI,AWI ASH WO INDIA OPP FD DUSD,IE00BH3N4915,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-חו""ל גיאוגרפי אחר - מדד אחר",לא,USD,25662.075,3.306,25948,22013.977,0.003097,0.08851154703372784,0.0003226327525051257
162,2102,Cheyne Capital,B239044,"מספר תאגיד או שותפות בחו""ל",Cheyne Real Estate Debt Fund Class X,KYG210181668,ISIN,"אג""ח קונצרני","חו""ל",בריטניה,סחיר,אחר,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,GBP,3781.478,4.4409,17785.47,2986.744,0.056794,0.012008794777686214,4.377316455578059e-05
162,2102,Moneda International,549300Q46JVJZTGJRL07,LEI,MONEDA LATAM CORP DEBT D,KYG620101306,ISIN,"אג""ח קונצרני","חו""ל",אמריקה הדרומית,סחיר,אחר,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,USD,5513.623,3.306,161816,29495.877,0.008468,0.118594005271585,0.00043228608733726897
162,2102,GOLDMAN SACHS GROUP INC,5493008F1XGBJITK4N13,LEI,GS INDIA EQ IUSDA,LU0333811072,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-חו""ל גיאוגרפי אחר - מדד אחר",לא,USD,281962.864,3.306,4638,43234.009,0.002773,0.17383088121969567,0.0006336295947570662
162,2102,AMUNDI INVESTMENT SOLUTIONS,549300WFFU01S3XDX018,LEI,AMUNDI PLANET,LU1688575437,ISIN,"אג""ח קונצרני","חו""ל",גלובלי,סחיר,אחר,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,USD,523.437,3.306,1024722,17732.64,0.003435,0.07129758513839474,0.00025988627372430215
162,2102,SCHRODER INVESTMENTS (LUX),W98SM5I2EG2S17ELT606,LEI,SCHRODER INTL GLB EQTY  IZUA,LU2016217478,ISIN,מניות,"חו""ל",גלובלי,סחיר,אחר,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,USD,174998.373,3.306,6956.81,40248.25,0.003596,0.16182604682925927,0.0005898708661780843
162,2102,KOTAK,549300P1V22EKK1UCL34,LEI,KOTAK INDIA MIDCAP,LU2126068639,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,USD,495447.819,3.306,1433.42,23478.71,0.002048,0.09440079566069576,0.0003440996069256191
