מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,שם נייר ערך,מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,דירוג,שם מדרג,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,סכום לקבל (במטבע הפעילות),ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,מדינת ישראל,ממשל שקלית 0327,IL0011393449,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,1.476,2027-03-31 00:00:00,0.02,0.0395,0,4175980,1,98.22,4101.64756,ריק במקור,שווי הוגן,0.000147935441,0.00835571826440784,0.0007983867789790527,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מדינת ישראל,ממשל שקלית 0347,IL0011401937,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,14.454,2047-03-31 00:00:00,0.0375,0.0448,0,6360000,1,91.85,5841.66,ריק במקור,שווי הוגן,0.000242319459,0.011900404518534666,0.0011370806591902236,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מדינת ישראל,ממשל צמודה 0527,IL0011408478,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,1.655,2027-05-31 00:00:00,0.0075,0.0208,0,61862465,1,117.66,72787.37632,ריק במקור,שווי הוגן,0.002539879298,0.14827963661883972,0.014168081991535363,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מדינת ישראל,ממשל שקלית 0928,IL0011508798,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,2.927,2028-09-28 00:00:00,0.0225,0.0392,0,26361549,1,95.37,25141.00928,ריק במקור,שווי הוגן,0.000759227963,0.05121629475803693,0.004893704084936461,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מדינת ישראל,ממשל צמודה 0529,IL0011570236,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,3.635,2029-05-31 00:00:00,0.005,0.0193,0,17809815,1,113,20125.09095,ריק במקור,שווי הוגן,0.000605135019,0.040998059331988024,0.003917354259523698,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מדינת ישראל,ממשל שקלית 0330,IL0011609851,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,4.392,2030-03-31 00:00:00,0.01,0.0392,0,423156,1,88.66,375.17011,ריק במקור,שווי הוגן,1.12078120881692e-05,0.0007642820828776663,7.30269608274478e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מדינת ישראל,ממשל שקלית 0537,IL0011661803,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,10.557,2037-05-31 00:00:00,0.015,0.042,0,17150000,1,75.94,13023.71,ריק במקור,שווי הוגן,0.000428965426,0.026531399864436672,0.0025350685852826606,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מדינת ישראל,ממשל משתנה 1130,IL0011665523,לא צמוד למדד המחירים לצרכן ריבית משתנה,ישראל,ישראל,TASE,NR,NR,ILS,4.672,2030-11-29 00:00:00,0.041586,0.044,0,19600000,1,98.78,19360.88,ריק במקור,שווי הוגן,0.000586855637,0.039441238249882306,0.0037686003966171974,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מדינת ישראל,ממשל צמודה 0726,IL0011695645,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,0.83,2026-07-31 00:00:00,0.001,0.0266,0,78996390,1,116.31,91880.70121,ריק במקור,שווי הוגן,0.003909828793,0.18717582191459578,0.01788460271544848,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מדינת ישראל,ממשל צמודה 1131,IL0011722209,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,6.144,2031-11-30 00:00:00,0.001,0.019,0,1983000,1,106.54,2112.6882,ריק במקור,שווי הוגן,5.79342148955615e-05,0.004303886943357689,0.00041123531515346786,,,,,,,,,,,,,,,,,,,,,,,,,,
