מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908,13909,"אדמה פתרונות לחקלאות בע""מ",520043605,ח.פ.,אדמה אגח ב,IL0011109159,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"כימיה, גומי ופלסטיק",לא,ilAA-,S&P מעלות,נייר ערך,ILS,4.796,2036-11-30 00:00:00,0.0515,0.0409,החוב לא נחות,ריק במקור,352593.21,1,153.07,0,539.71443,ריק במקור,ריק במקור,שווי הוגן,0.000183737645,0.0009355070011710304,0.0001050555560985877,,,,,,,,,,,,,,,,
13908,13909,"אמות השקעות בע""מ",520026683,ח.פ.,אמות אגח ד,IL0011331498,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,S&P מעלות,נייר ערך,ILS,1.713,2028-07-02 00:00:00,0.032,0.0282,החוב לא נחות,ריק במקור,135600,1,120.07,0,162.81492,ריק במקור,ריק במקור,שווי הוגן,0.000327456621,0.00028221312807052653,3.1691967105172765e-05,,,,,,,,,,,,,,,,
13908,13909,"איירפורט סיטי בע""מ",511659401,ח.פ.,ארפורט אגח ה,IL0011334872,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,S&P מעלות,נייר ערך,ILS,1.763,2029-02-28 00:00:00,0.0234,0.0296,החוב לא נחות,ריק במקור,3235402.58,1,118.73,0,3841.39348,ריק במקור,ריק במקור,שווי הוגן,0.001984772781,0.006658429523169779,0.0007477282536894355,,,,,,,,,,,,,,,,
13908,13909,"הפניקס גיוסי הון (2009)בע""מ",514290345,ח.פ.,פניקס הון אגח ה,IL0011354177,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,ביטוח,לא,ilAA,S&P מעלות,נייר ערך,ILS,1.065,2029-10-31 00:00:00,0.0225,0.0308,החוב לא נחות,ריק במקור,1935000,1,120.29,0,2327.6115,ריק במקור,ריק במקור,שווי הוגן,0.00472970835,0.004034535178642906,0.00045307019216434116,,,,,,,,,,,,,,,,
13908,13909,"שיכון ובינוי בע""מ",520036104,ח.פ.,שכון ובי אגח 8,IL0011358889,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,ilA,S&P מעלות,נייר ערך,ILS,1.975,2029-05-01 00:00:00,0.039,0.0319,החוב לא נחות,ריק במקור,823863.61,1,122.88,0,1012.3636,ריק במקור,ריק במקור,שווי הוגן,0.000596869002,0.0017547673044997307,0.0001970568416559998,,,,,,,,,,,,,,,,
13908,13909,"קרסו מוטורס בע""מ",514065283,ח.פ.,קרסו מוט' אגח א,IL0011364648,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,מסחר,לא,ilAA-,S&P מעלות,נייר ערך,ILS,0.664,2026-09-01 00:00:00,0.0275,0.0493,החוב לא נחות,ריק במקור,672514.62,1,98.85,0,664.7807,ריק במקור,ריק במקור,שווי הוגן,0.007407745176,0.0011522889967818322,0.00012939973852859262,,,,,,,,,,,,,,,,
13908,13909,"ריט 1 בע""מ",513821488,ח.פ.,ריט 1 אגח ה,IL0011367534,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,S&P מעלות,נייר ערך,ILS,1.671,2028-09-20 00:00:00,0.04,0.0288,החוב לא נחות,ריק במקור,1405535.79,1,121.74,0,1711.09927,ריק במקור,ריק במקור,שווי הוגן,0.001946955324,0.0029659117077593037,0.0003330659240475328,,,,,,,,,,,,,,,,
13908,13909,"אמות השקעות בע""מ",520026683,ח.פ.,אמות אגח ה,IL0011381147,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,S&P מעלות,נייר ערך,ILS,0.26,2026-01-04 00:00:00,0.0339,0.0455,החוב לא נחות,ריק במקור,2500,1,102.2,0,2.555,ריק במקור,ריק במקור,שווי הוגן,1.53017988476448e-05,4.428676083372429e-06,4.973314236417425e-07,,,,,,,,,,,,,,,,
13908,13909,"ריט 1 בע""מ",513821488,ח.פ.,ריט 1 אגח ו,IL0011385445,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,S&P מעלות,נייר ערך,ILS,3.042,2031-09-21 00:00:00,0.035,0.0286,החוב לא נחות,ריק במקור,454832.31,1,123.08,0,559.80761,ריק במקור,ריק במקור,שווי הוגן,0.000616225584,0.0009703352538931036,0.00010896669888328036,,,,,,,,,,,,,,,,
13908,13909,"קבוצת עזריאלי בע""מ",510960719,ח.פ.,עזריאלי אגח ד,IL0011386500,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,Aa1.il,מידרוג Moodys,נייר ערך,ILS,2.428,2030-07-05 00:00:00,0.0134,0.0284,החוב לא נחות,ריק במקור,7720035.52,1,116.33,0,8980.71732,ריק במקור,ריק במקור,שווי הוגן,0.003494988592,0.015566609787323887,0.0017480989941603344,,,,,,,,,,,,,,,,
