מספר קרן,מספר מסלול,מאפיין עיקרי,חודש הנפקת שכבה,חודש הבדיקה,"שווי הנכסים באפיק (באלפי ש""ח)",שיעור מסך נכסי ההשקעה,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2022-10-01,2027-10-01,37890.15529,0.007375328717175108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2022-11-01,2027-11-01,24971.85377,0.004860777920316053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2022-12-01,2027-12-01,37974.1792,0.007391683993410037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-01-01,2028-01-01,28692.5524,0.005585012889631035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-02-01,2028-02-01,26865.27409,0.005229332684816171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-03-01,2028-03-01,26858.80169,0.005228072830449682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-04-01,2028-04-01,27655.7536,0.005383199729852542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-05-01,2028-05-01,32763.48953,0.00637742187531359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-06-01,2028-06-01,23663.66194,0.004606138035693589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-07-01,2028-07-01,36724.59581,0.007148452257086055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
