מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,מאפיין עיקרי,מאפיין הלוואות מתואמות עבור זכויות מקרקעין,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,קונסורציום/ סינדיקציה,מספר קונסורציום/ סינדיקציה,תאריך העמדת הלוואה,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,"מח""מ",סוג הריבית,שיעור ריבית,סוג הצמדה,ריבית עוגן,שיעור תוספת/הפחתה לריבית העוגן,תשואה לפדיון,מועד פדיון,נחיתות חוזית,סוג בטוחה,שווי הבטוחות העומדות כנגד ההלוואה,שיעור הבטוחות מהחוב,מועד עדכון אחרון לשווי הבטוחות,זכות חזרה,מבנה לוח סילוקין,יעוד הלוואה,זכות פירעון מוקדם,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,שיעור ריבית בגין אי-ניצול מסגרת האשראי,ערך נקוב,שער הלוואה,שער חליפין,"שווי הוגן (באלפי ש""ח)",שווי הוגן (במטבע הפעילות),"עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),האם סווג כחוב בעייתי,השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,מספר קופה/קרן/ח.פ. עבור חברת ביטוח2
13908.0,13909.0,ריק במקור,ריק במקור,הלוואה מספר 1,11020447.0,תאגיד,פעילות שוטפת של התאגיד - מגורים (כולל דיור מוגן),ישראל,ריק במקור,"נדל""ן מניב בישראל",לא,לא,ריק במקור,2024-02-29,NR,NR,NR,ILS,0.0,קבועה,0.11,ריק במקור,ריק במקור,ריק במקור,0.0,2027-02-27 00:00:00,החוב נחות,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,2025-09-30,2025-09-30,ריק במקור,3300000.0,105.6,1.0,3484.8,3484.8,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.05026936949400535,13910.0
13908.0,13909.0,ריק במקור,ריק במקור,הלוואה מספר 2,11020451.0,תאגיד,פעילות שוטפת של התאגיד - מגורים (כולל דיור מוגן),ישראל,ריק במקור,"נדל""ן מניב בישראל",לא,לא,ריק במקור,2024-03-13,NR,NR,NR,ILS,0.0,קבועה,0.11,ריק במקור,ריק במקור,ריק במקור,0.0,2027-02-27 00:00:00,החוב נחות,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,2025-09-30,2025-09-30,ריק במקור,3469230.77,104.68,1.0,3631.59077,3631.59077,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.05238687392910623,13910.0
13908.0,13909.0,ריק במקור,ריק במקור,הלוואה מספר 3,11021112.0,תאגיד,ריק במקור,ישראל,ריק במקור,שירותים פיננסיים,לא,לא,ריק במקור,2024-08-08,NR,NR,NR,ILS,0.0,קבועה,0.107,ריק במקור,ריק במקור,ריק במקור,0.0,2030-06-30 00:00:00,החוב נחות,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,2025-09-30,2025-09-30,ריק במקור,2300000.0,106.12,1.0,2440.76,2440.76,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.035208754099572005,13910.0
13908.0,13909.0,ריק במקור,ריק במקור,הלוואה מספר 4,11021116.0,תאגיד,פעילות שוטפת של התאגיד - מגורים (כולל דיור מוגן),ישראל,ריק במקור,"נדל""ן מניב בישראל",לא,לא,ריק במקור,2024-05-15,NR,NR,NR,ILS,0.0,קבועה,0.11,ריק במקור,ריק במקור,ריק במקור,0.0,2027-02-27 00:00:00,החוב נחות,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,2025-09-30,2025-09-30,ריק במקור,1692307.69,100.95,1.0,1708.38461,1708.38461,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.024644001721178328,13910.0
13908.0,13909.0,ריק במקור,ריק במקור,הלוואה מספר 5,11021122.0,תאגיד,"ייזום נדל""ן לבניה של נכס ספציפי - מגורים (כולל דיור מוגן)",ישראל,ריק במקור,בנייה,לא,לא,ריק במקור,2024-07-02,NR,NR,NR,ILS,0.0,קבועה,0.1085,ריק במקור,ריק במקור,ריק במקור,0.0,2028-07-01 00:00:00,החוב נחות,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,2025-09-30,2025-09-30,ריק במקור,2065909.09,105.21,1.0,2173.54295,2173.54295,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.03135406154288349,13910.0
13908.0,13909.0,ריק במקור,ריק במקור,הלוואה מספר 6,11021130.0,תאגיד,"ייזום נדל""ן לבניה של נכס ספציפי - מגורים (כולל דיור מוגן)",ישראל,ריק במקור,בנייה,לא,לא,ריק במקור,2024-07-31,NR,NR,NR,ILS,1.71,קבועה,0.0925,ריק במקור,ריק במקור,ריק במקור,0.0834,2027-07-31 00:00:00,החוב נחות,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,2025-09-30,2025-09-30,ריק במקור,5000000.0,101.97,1.0,5098.5,5098.5,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.07354751502674078,13910.0
13908.0,13909.0,ריק במקור,ריק במקור,הלוואה מספר 7,11021131.0,תאגיד,ריק במקור,ישראל,ריק במקור,שירותים פיננסיים,לא,לא,ריק במקור,2024-04-15,NR,NR,NR,ILS,0.0,קבועה,0.107,ריק במקור,ריק במקור,ריק במקור,0.045,2029-04-15 00:00:00,החוב נחות,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,2025-09-30,2025-09-30,ריק במקור,2300000.0,105.99,1.0,2437.77,2437.77,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.035165622380452656,13910.0
13908.0,13909.0,ריק במקור,ריק במקור,הלוואה מספר 8,11022433.0,תאגיד,פעילות שוטפת של התאגיד - מגורים (כולל דיור מוגן),ישראל,ריק במקור,"נדל""ן מניב בישראל",לא,לא,ריק במקור,2024-12-29,NR,NR,NR,ILS,1.33,קבועה,0.11,ריק במקור,ריק במקור,ריק במקור,0.1223,2027-02-27 00:00:00,החוב נחות,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,2025-09-30,2025-09-30,ריק במקור,2538461.54,99.08,1.0,2515.10769,2515.10769,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.03628124362540871,13910.0
13908.0,13909.0,ריק במקור,ריק במקור,הלוואה מספר 9,11022434.0,תאגיד,פעילות שוטפת של התאגיד - מגורים (כולל דיור מוגן),ישראל,ריק במקור,בנייה,לא,לא,ריק במקור,2024-12-25,NR,NR,NR,ILS,1.71,קבועה,0.0925,ריק במקור,ריק במקור,ריק במקור,0.1036,2030-06-30 00:00:00,החוב נחות,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,2025-09-30,2025-09-30,ריק במקור,2000000.0,98.81,1.0,1976.2,1976.2,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.028507325526300902,13910.0
13908.0,13909.0,ריק במקור,ריק במקור,הלוואה מספר 10,11022435.0,תאגיד,קרקעות - מגורים (כולל דיור מוגן),ישראל,ריק במקור,בנייה,לא,לא,ריק במקור,2025-01-08,NR,NR,NR,ILS,0.0,קבועה,0.038,ריק במקור,ריק במקור,ריק במקור,0.0,2030-06-30 00:00:00,החוב לא נחות,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,לא,חברת ציטוט,ריק במקור,אי-תלות,2025-09-30,2025-09-30,ריק במקור,150841.05,98.55,1.0,148.65385,148.65385,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.0021443799679627088,13910.0
13908.0,13909.0,ריק במקור,ריק במקור,הלוואה מספר 11,11022442.0,תאגיד,פעילות שוטפת של התאגיד - מגורים (כולל דיור מוגן),ישראל,ריק במקור,"נדל""ן מניב בישראל",לא,לא,ריק במקור,2025-01-28,NR,NR,NR,ILS,0.0,קבועה,0.11,ריק במקור,ריק במקור,ריק במקור,0.0,2027-02-28 00:00:00,החוב נחות,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,כן,חברת ציטוט,ריק במקור,אי-תלות,2025-09-30,2025-09-30,ריק במקור,338461.54,96.44,1.0,326.41231,326.41231,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.004708603368566867,13910.0
13908.0,13909.0,ריק במקור,ריק במקור,הלוואה מספר 12,11022458.0,תאגיד,ריק במקור,ישראל,ריק במקור,"נדל""ן מניב בישראל",לא,לא,ריק במקור,2025-03-23,NR,NR,NR,ILS,0.0,קבועה,0.1,ריק במקור,ריק במקור,ריק במקור,0.0,2028-03-23 00:00:00,החוב לא נחות,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,כן,אחר,ריק במקור,אי-תלות,2025-09-30,2025-09-30,ריק במקור,8333333.33,98.43,1.0,8202.5,8202.5,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.11832372109578136,13910.0
13908.0,13909.0,ריק במקור,ריק במקור,הלוואה מספר 13,11022460.0,תאגיד,קרקעות - מגורים (כולל דיור מוגן),ישראל,ריק במקור,בנייה,לא,לא,ריק במקור,2025-03-25,NR,NR,NR,ILS,3.67,קבועה,0.09,ריק במקור,ריק במקור,ריק במקור,0.0937,2030-06-30 00:00:00,החוב לא נחות,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,לא,חברת ציטוט,ריק במקור,אי-תלות,2025-09-30,2025-09-30,ריק במקור,1076923.08,103.27,1.0,1112.13846,1112.13846,ריק במקור,ריק במקור,ריק במקור,שווי הוגן,0.016042957752018507,13910.0
