מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,כנפי רוח בניית ירושלים 2,"נדל""ן לא מניב",ישראל,לא,2023-09-27,קרקע/זכויות מקרקעין,בתכנון/בהיתרים,"פינת הרחובות כנפי נשרים, פרבשטיין , בית הדפוס א.ת. גבעת שאול, ירושלים",0.0,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2024-04-30,ILS,19384.61539,19384.61539,ריק במקור,ריק במקור,שווי הוגן,0.4944609643965972,0.003773220496538681,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,לוזון רונסון,"נדל""ן לא מניב",ישראל,לא,2025-03-25,מגורים (כולל דיור מוגן),בתכנון/בהיתרים,"רחוב כרמל 20, גני תקווה",0.0,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2025-03-13,ILS,10829.302,10829.302,ריק במקור,ריק במקור,שווי הוגן,0.276232827060594,0.002107926489513256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,כנפי רוח 2,"נדל""ן לא מניב",ישראל,לא,2025-05-05,קרקע/זכויות מקרקעין,בתכנון/בהיתרים,"פינת הרחובות כנפי נשרים, פרבשטיין , בית הדפוס א.ת. גבעת שאול, ירושלים",0.0,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2025-05-04,ILS,8989.61289,8989.61289,ריק במקור,ריק במקור,שווי הוגן,0.22930620854280884,0.001749830519206207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,כנפי רוח בניית ירושלים 2,"נדל""ן לא מניב",ישראל,לא,2023-09-27,קרקע/זכויות מקרקעין,בתכנון/בהיתרים,"פינת הרחובות כנפי נשרים, פרבשטיין , בית הדפוס א.ת. גבעת שאול, ירושלים",0.0,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2024-04-30,ILS,6369.23076,6369.23076,ריק במקור,ריק במקור,שווי הוגן,0.4461335955141222,0.002542108798359175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,לוזון רונסון,"נדל""ן לא מניב",ישראל,לא,2025-03-25,מגורים (כולל דיור מוגן),בתכנון/בהיתרים,"רחוב כרמל 20, גני תקווה",0.0,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2025-03-13,ILS,4953.54934,4953.54934,ריק במקור,ריק במקור,שווי הוגן,0.3469720066494822,0.001977077269582282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,כנפי רוח 2,"נדל""ן לא מניב",ישראל,לא,2025-05-05,קרקע/זכויות מקרקעין,בתכנון/בהיתרים,"פינת הרחובות כנפי נשרים, פרבשטיין , בית הדפוס א.ת. גבעת שאול, ירושלים",0.0,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2025-05-04,ILS,2953.72995,2953.72995,ריק במקור,ריק במקור,שווי הוגן,0.20689439783639557,0.001178902629973483,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,כנפי רוח בניית ירושלים 2,"נדל""ן לא מניב",ישראל,לא,2023-09-27,קרקע/זכויות מקרקעין,בתכנון/בהיתרים,"פינת הרחובות כנפי נשרים, פרבשטיין , בית הדפוס א.ת. גבעת שאול, ירושלים",0.0,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2024-04-30,ILS,1661.53845,1661.53845,ריק במקור,ריק במקור,שווי הוגן,0.42520666971501525,0.0020118925097391284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,לוזון רונסון,"נדל""ן לא מניב",ישראל,לא,2025-03-25,מגורים (כולל דיור מוגן),בתכנון/בהיתרים,"רחוב כרמל 20, גני תקווה",0.0,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2025-03-13,ILS,1475.52534,1475.52534,ריק במקור,ריק במקור,שווי הוגן,0.3776037899703829,0.0017866564444995424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,כנפי רוח 2,"נדל""ן לא מניב",ישראל,לא,2025-05-05,קרקע/זכויות מקרקעין,בתכנון/בהיתרים,"פינת הרחובות כנפי נשרים, פרבשטיין , בית הדפוס א.ת. גבעת שאול, ירושלים",0.0,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2025-05-04,ILS,770.53825,770.53825,ריק במקור,ריק במקור,שווי הוגן,0.1971895403146017,0.0009330149017270686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,כנפי רוח בניית ירושלים 2,"נדל""ן לא מניב",ישראל,לא,2023-09-27,קרקע/זכויות מקרקעין,בתכנון/בהיתרים,"פינת הרחובות כנפי נשרים, פרבשטיין , בית הדפוס א.ת. גבעת שאול, ירושלים",0.0,ריק במקור,מומחה בלתי תלוי,ריק במקור,אי-תלות,2024-04-30,ILS,567.69231,567.69231,ריק במקור,ריק במקור,שווי הוגן,0.4532335301230733,0.002568521002360352,,,,,,,,,,,,,,,,,,,,,,,,,,,,
