מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,ICE Futures US Indices,BBG013V2S5N6,LEI,MSCI EmgMkt 12/25,MESZ5 INDEX,אחר,"חו""ל","ארה""ב",ICE,מניות לרבות מדדי מניות,לא,USD,563.0,3.306,1359.7,740.52806,0.04969921847205429,0.00014414398212385818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Eurex,BBG01C2XF3Z6,LEI,STOXX600 12/25,SXOZ5 INDEX,אחר,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,1635.0,3.8807,559.5,532.78498,0.0357569126005152,0.00010370673682909484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Chicago Mercantile Exchange,BBG011BQCNP5,LEI,S&P500 EMINI FUT 12/25,ESZ5 INDEX,אחר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,952.0,3.306,6738.75,9325.31235,0.6258516872443646,0.001815174507604471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Chicago Mercantile Exchange,BBG017PGMHW3,LEI,FUTURE MINI NASDAQ 12/25,NQZ5 INDEX,אחר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,90.0,3.306,24901.75,2071.42051,0.13901968883391685,0.00040320254841448306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Chicago Board of Trade,BBG01R98QC89,LEI,FT MINI DOW 12/25,DMZ5 INDEX,אחר,"חו""ל","ארה""ב",CBOE,מניות לרבות מדדי מניות,לא,USD,38.0,3.306,46689.0,268.0892,0.017992327962289854,5.218363346339563e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Chicago Mercantile Exchange,BBG01PSLN395,LEI,F-RUSSELL 12/25,RTYZ5 INDEX,אחר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,50.0,3.306,2455.5,245.3242,0.016464495636103162,4.775242021126088e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,HWAZ5 INDEX,BBG01PSLMXC6,LEI,SP MICRO 12/25,HWAZ5 INDEX,ISIN,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,388.0,3.306,6738.75,379.6753,0.02548122981746668,7.390389724876934e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Chicago Board of Trade,BBG01SWCT5S2,LEI,ULTRA10 YR 12/25,UXYZ5 COMDTY,אחר,"חו""ל","ארה""ב",CBOE,"ריבית ואג""ח",לא,USD,31.0,3.306,115.07809999999999,73.45171,0.00492958036247266,1.4297394717503099e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Osaka Exchange,BBG00YHJ0BT9,LEI,NIKKEI 225 MINI 12/25,NOZ5 INDEX,אחר,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,390.0,0.022332,44990.0,1249.28998,0.08384386629585426,0.0002431746239901229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Osaka Exchange,BBG01SV6F3X0,LEI,TMIZ5 INDEX,TMIZ5 INDEX,ISIN,"חו""ל",יפן,NASDAQ,מניות לרבות מדדי מניות,לא,JPY,60.0,0.022332,3141.0,42.00649,0.0028191905702454594,8.17657435377402e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,NIFTY,BBG01WF8SFQ2,LEI,NIFTY 50 IFSC,JGSV5 INDEX,OCC,"חו""ל",הודו,אחר,מניות לרבות מדדי מניות,לא,USD,25.0,3.306,24761.5,-27.68751,-0.0018581977952829875,-5.389381121485315e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,ICE Futures US Indices,BBG013V2S5N6,LEI,MSCI EmgMkt 12/25,MESZ5 INDEX,אחר,"חו""ל","ארה""ב",ICE,מניות לרבות מדדי מניות,לא,USD,250.0,3.306,1359.7,328.83129,0.05290204344349345,0.00013124425020593814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,Eurex,BBG01C2XF3Z6,LEI,STOXX600 12/25,SXOZ5 INDEX,אחר,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,618.0,3.8807,559.5,201.38295,0.03239828414649612,8.037664018229508e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,Chicago Mercantile Exchange,BBG011BQCNP5,LEI,S&P500 EMINI FUT 12/25,ESZ5 INDEX,אחר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,387.0,3.306,6738.75,3790.85701,0.6098692196569605,0.001513019597117338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,Chicago Mercantile Exchange,BBG017PGMHW3,LEI,FUTURE MINI NASDAQ 12/25,NQZ5 INDEX,אחר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,52.0,3.306,24901.75,1196.82074,0.19254330322869811,0.00047767911822568955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,Chicago Mercantile Exchange,BBG01PSLNDF6,LEI,NASD100 MICRO EMIN 12/25,HWBZ5 INDEX,ISIN,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,14.0,3.306,24901.75,32.20922,0.00518178654993884,1.2855452194400681e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,Chicago Board of Trade,BBG01R98QC89,LEI,FT MINI DOW 12/25,DMZ5 INDEX,אחר,"חו""ל","ארה""ב",CBOE,מניות לרבות מדדי מניות,לא,USD,28.0,3.306,46689.0,197.53941,0.03177993934099782,7.884259357305504e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,Chicago Mercantile Exchange,BBG01PSLN395,LEI,F-RUSSELL 12/25,RTYZ5 INDEX,אחר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,15.0,3.306,2455.5,73.59726,0.011840252324655853,2.937438589226555e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,HWAZ5 INDEX,BBG01PSLMXC6,LEI,SP MICRO 12/25,HWAZ5 INDEX,ISIN,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,94.0,3.306,6738.75,91.98319,0.01479816204063522,3.6712640099123e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,Chicago Board of Trade,BBG01SWCT5S2,LEI,ULTRA10 YR 12/25,UXYZ5 COMDTY,אחר,"חו""ל","ארה""ב",CBOE,"ריבית ואג""ח",לא,USD,21.0,3.306,115.07809999999999,49.75761,0.008004953682675404,1.9859424620112913e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,Osaka Exchange,BBG01PQDVGD2,LEI,TOPIX INDX FUT 12/25,TPZ5,אחר,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,5.0,0.022332,3141.0,28.4733,0.004580755540567997,1.1364359241447911e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,Osaka Exchange,BBG00YHJ0BT9,LEI,NIKKEI 225 MINI 12/25,NOZ5 INDEX,אחר,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,70.0,0.022332,44990.0,224.23153,0.03607414045500659,8.949604226343643e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,Osaka Exchange,BBG01SV6F3X0,LEI,TMIZ5 INDEX,TMIZ5 INDEX,ISIN,"חו""ל",יפן,NASDAQ,מניות לרבות מדדי מניות,לא,JPY,13.0,0.022332,3141.0,9.02882,0.0014525473773602338,3.6036129990682403e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,NIFTY,BBG01WF8SFQ2,LEI,NIFTY 50 IFSC,JGSV5 INDEX,OCC,"חו""ל",הודו,אחר,מניות לרבות מדדי מניות,לא,USD,8.0,3.306,24761.5,-8.86,-0.0014253877874862576,-3.536232992987412e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,ICE Futures US Indices,BBG013V2S5N6,LEI,MSCI EmgMkt 12/25,MESZ5 INDEX,אחר,"חו""ל","ארה""ב",ICE,מניות לרבות מדדי מניות,לא,USD,64.0,3.306,1359.7,84.18081,0.0767012213672713,0.00010193128007526562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,Eurex,BBG01C2XF3Z6,LEI,STOXX600 12/25,SXOZ5 INDEX,אחר,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,134.0,3.8807,559.5,43.66555,0.03978580173644865,5.287292206728012e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,Chicago Mercantile Exchange,BBG011BQCNP5,LEI,S&P500 EMINI FUT 12/25,ESZ5 INDEX,אחר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,61.0,3.306,6738.75,597.52526,0.5444342628658044,0.0007235201779254193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,Chicago Mercantile Exchange,BBG017PGMHW3,LEI,FUTURE MINI NASDAQ 12/25,NQZ5 INDEX,אחר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,8.0,3.306,24901.75,184.12626,0.167766371311796,0.0002229513517067747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,Chicago Mercantile Exchange,BBG01PSLNDF6,LEI,NASD100 MICRO EMIN 12/25,HWBZ5 INDEX,ISIN,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,5.0,3.306,24901.75,11.50329,0.01048120578480913,1.3928888006387706e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,Chicago Board of Trade,BBG01R98QC89,LEI,FT MINI DOW 12/25,DMZ5 INDEX,אחר,"חו""ל","ארה""ב",CBOE,מניות לרבות מדדי מניות,לא,USD,6.0,3.306,46689.0,42.32987,0.038568798866604116,5.1255598924738116e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,HWAZ5 INDEX,BBG01PSLMXC6,LEI,SP MICRO 12/25,HWAZ5 INDEX,ISIN,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,12.0,3.306,6738.75,11.74253,0.010699188959358128,1.4218574449713763e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,Chicago Board of Trade,BBG01SWCT5S2,LEI,ULTRA10 YR 12/25,UXYZ5 COMDTY,אחר,"חו""ל","ארה""ב",CBOE,"ריבית ואג""ח",לא,USD,5.0,3.306,115.07809999999999,11.84705,0.010794422203814996,1.4345133666635846e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,Osaka Exchange,BBG00YHJ0BT9,LEI,NIKKEI 225 MINI 12/25,NOZ5 INDEX,אחר,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,35.0,0.022332,44990.0,112.11576,0.1021541100224607,0.00013575662830295007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,Osaka Exchange,BBG01SV6F3X0,LEI,TMIZ5 INDEX,TMIZ5 INDEX,ISIN,"חו""ל",יפן,NASDAQ,מניות לרבות מדדי מניות,לא,JPY,1.0,0.022332,3141.0,0.69452,0.0006328108777285139,8.409673491841368e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,NIFTY,BBG01WF8SFQ2,LEI,NIFTY 50 IFSC,JGSV5 INDEX,OCC,"חו""ל",הודו,אחר,מניות לרבות מדדי מניות,לא,USD,2.0,3.306,24761.5,-2.215,-0.0020181939960960925,-2.682057649085502e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,ICE Futures US Indices,BBG013V2S5N6,LEI,MSCI EmgMkt 12/25,MESZ5 INDEX,אחר,"חו""ל","ארה""ב",ICE,מניות לרבות מדדי מניות,לא,USD,799.0,3.306,1359.7,1022.90965,0.07708772996561457,0.00029261361369051464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,Eurex,BBG01C2XF3Z6,LEI,STOXX600 12/25,SXOZ5 INDEX,אחר,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,1692.0,3.8807,559.5,570.65437,0.04300521554201576,0.0001632414332722191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,Chicago Mercantile Exchange,BBG011BQCNP5,LEI,S&P500 EMINI FUT 12/25,ESZ5 INDEX,אחר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,762.0,3.306,6738.75,7464.16808,0.5625088915418872,0.002135200498970941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,Chicago Mercantile Exchange,BBG017PGMHW3,LEI,FUTURE MINI NASDAQ 12/25,NQZ5 INDEX,אחר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,96.0,3.306,24901.75,2182.02428,0.16444003483108655,0.0006241900345071955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,Chicago Mercantile Exchange,BBG01PSLNDF6,LEI,NASD100 MICRO EMIN 12/25,HWBZ5 INDEX,ISIN,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,30.0,3.306,24901.75,69.01975,0.005201413292263131,1.9743795029713423e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,Chicago Board of Trade,BBG01R98QC89,LEI,FT MINI DOW 12/25,DMZ5 INDEX,אחר,"חו""ל","ארה""ב",CBOE,מניות לרבות מדדי מניות,לא,USD,33.0,3.306,46689.0,232.81431,0.01754517289128212,6.659887954714643e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,HWAZ5 INDEX,BBG01PSLMXC6,LEI,SP MICRO 12/25,HWAZ5 INDEX,ISIN,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,431.0,3.306,6738.75,421.75271,0.031783803213456974,0.00012064661288205428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,Osaka Exchange,BBG00YHJ0BT9,LEI,NIKKEI 225 MINI 12/25,NOZ5 INDEX,אחר,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,423.0,0.022332,44990.0,1294.34044,0.09754308830921161,0.0003702591264968228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,Osaka Exchange,BBG01SV6F3X0,LEI,TMIZ5 INDEX,TMIZ5 INDEX,ISIN,"חו""ל",יפן,NASDAQ,מניות לרבות מדדי מניות,לא,JPY,50.0,0.022332,3141.0,33.88881,0.0025539024234799415,9.694235612863022e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,NIFTY,BBG01WF8SFQ2,LEI,NIFTY 50 IFSC,JGSV5 INDEX,OCC,"חו""ל",הודו,אחר,מניות לרבות מדדי מניות,לא,USD,20.0,3.306,24761.5,-22.15001,-0.0016692520102979402,-6.336233575840287e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,ICE Futures US Indices,BBG013V2S5N6,LEI,MSCI EmgMkt 12/25,MESZ5 INDEX,אחר,"חו""ל","ארה""ב",ICE,מניות לרבות מדדי מניות,לא,USD,113.0,3.306,1359.7,148.63174,0.06641802702231578,0.00034284640545825606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,Eurex,BBG01C2XF3Z6,LEI,STOXX600 12/25,SXOZ5 INDEX,אחר,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,193.0,3.8807,559.5,67.40903,0.03012260218502518,0.00015549130778478234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,Chicago Mercantile Exchange,BBG011BQCNP5,LEI,S&P500 EMINI FUT 12/25,ESZ5 INDEX,אחר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,50.0,3.306,6738.75,489.7748,0.21886224235314278,0.0011297555264039583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,Chicago Mercantile Exchange,BBG017PGMHW3,LEI,FUTURE MINI NASDAQ 12/25,NQZ5 INDEX,אחר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,17.0,3.306,24901.75,391.26832,0.1748433399941096,0.0009025322389530707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,Chicago Mercantile Exchange,BBG01PSLN395,LEI,F-RUSSELL 12/25,RTYZ5 INDEX,אחר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,126.0,3.306,2455.5,618.98031,0.27659940572492386,0.0014277917646186274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,HWAZ5 INDEX,BBG01PSLMXC6,LEI,SP MICRO 12/25,HWAZ5 INDEX,ISIN,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,41.0,3.306,6738.75,40.12032,0.01792828703952437,9.254488642758928e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,Osaka Exchange,BBG00YHJ0BT9,LEI,NIKKEI 225 MINI 12/25,NOZ5 INDEX,אחר,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,152.0,0.022332,44990.0,481.63775,0.21522609568095863,0.0011109859261588552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,ICE Futures US Indices,BBG013V2S5N6,LEI,MSCI EmgMkt 12/25,MESZ5 INDEX,אחר,"חו""ל","ארה""ב",ICE,מניות לרבות מדדי מניות,לא,USD,10.0,3.306,1359.7,13.15325,0.028597284316262857,5.951181349329235e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,Eurex,BBG01C2XF3Z6,LEI,STOXX600 12/25,SXOZ5 INDEX,אחר,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,58.0,3.8807,559.5,18.90001,0.04109166628401431,8.5513000219821e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,Chicago Mercantile Exchange,BBG011BQCNP5,LEI,S&P500 EMINI FUT 12/25,ESZ5 INDEX,אחר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,29.0,3.306,6738.75,284.06938,0.6176125919757105,0.001285270481570349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,Chicago Mercantile Exchange,BBG01PSLNDF6,LEI,NASD100 MICRO EMIN 12/25,HWBZ5 INDEX,ISIN,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,13.0,3.306,24901.75,29.90856,0.06502602731720349,0.00013532112934620295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,Chicago Board of Trade,BBG01R98QC89,LEI,FT MINI DOW 12/25,DMZ5 INDEX,אחר,"חו""ל","ארה""ב",CBOE,מניות לרבות מדדי מניות,לא,USD,1.0,3.306,46689.0,7.05497,0.015338641243244442,3.192017629413055e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,HWAZ5 INDEX,BBG01PSLMXC6,LEI,SP MICRO 12/25,HWAZ5 INDEX,ISIN,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,85.0,3.306,6738.75,83.17629,0.1808386530706807,0.00037633070591253093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,Chicago Board of Trade,BBG01SWCT5S2,LEI,ULTRA10 YR 12/25,UXYZ5 COMDTY,אחר,"חו""ל","ארה""ב",CBOE,"ריבית ואג""ח",לא,USD,1.0,3.306,115.07809999999999,2.36941,0.005151479020910905,1.0720383632116914e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,Osaka Exchange,BBG00YHJ0BT9,LEI,NIKKEI 225 MINI 12/25,NOZ5 INDEX,אחר,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,7.0,0.022332,44990.0,22.42315,0.048751540175713946,0.00010145342943623198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,NIFTY,BBG01WF8SFQ2,LEI,NIFTY 50 IFSC,JGSV5 INDEX,OCC,"חו""ל",הודו,אחר,מניות לרבות מדדי מניות,לא,USD,1.0,3.306,24761.5,-1.1075,-0.0024078834037413654,-5.010878181728567e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,ICE Futures US Indices,BBG013V2S5N6,LEI,MSCI EmgMkt 12/25,MESZ5 INDEX,אחר,"חו""ל","ארה""ב",ICE,מניות לרבות מדדי מניות,לא,USD,16.0,3.306,1359.7,21.0452,0.10643816034527614,0.00019344000794769927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,Eurex,BBG01C2XF3Z6,LEI,STOXX600 12/25,SXOZ5 INDEX,אחר,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,29.0,3.8807,559.5,9.45,0.047794300613102254,8.686104551659086e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,Chicago Mercantile Exchange,BBG011BQCNP5,LEI,S&P500 EMINI FUT 12/25,ESZ5 INDEX,אחר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,5.0,3.306,6738.75,48.97748,0.24770840236954533,0.0004501836105362877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
