מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,קרן גידור (Hedge Fund),1L-MORE ALTERNATIVE CREDIT GP LTD,ריק במקור,פנימי,1L - More Alternative Credit פנסיה 1L - More Alte,11140555.0,ח.פ.,USD,2023-01-19 00:00:00,16227045.075125206,53646.61101836393,14607045.075125206,48290.89101836393,0.9001666666666667,2027-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,קרן גידור (Hedge Fund),1L-MORE ALTERNATIVE CREDIT GP LTD,ריק במקור,פנימי,1L - More Alternative Credit פנסיה 1L - More Alte,11140555.0,ח.פ.,USD,2023-01-19 00:00:00,5729549.248747913,18941.8898163606,5157549.248747913,17050.8578163606,0.9001666666666667,2027-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,קרן גידור (Hedge Fund),1L-MORE ALTERNATIVE CREDIT GP LTD,ריק במקור,פנימי,1L - More Alternative Credit פנסיה 1L - More Alte,11140555.0,ח.פ.,USD,2023-01-19 00:00:00,1618697.8297161935,5351.415025041736,1457097.8297161935,4817.165425041736,0.9001666666666667,2027-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13913.0,קרן גידור (Hedge Fund),1L-MORE ALTERNATIVE CREDIT GP LTD,ריק במקור,פנימי,1L - More Alternative Credit פנסיה 1L - More Alte,11140555.0,ח.פ.,USD,2023-01-19 00:00:00,29048.414023372286,96.03405676126877,26148.414023372286,86.44665676126878,0.9001666666666667,2027-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,קרן השקעה אחרת,Madison Realty Capital Debt Fund VI GP LLC,ריק במקור,פנימי,Madison Realty Capital Debt Fund VI LP,11019980.0,"מספר תאגיד או שותפות בחו""ל",USD,2022-11-03 00:00:00,2099999.9936279003,6942.599978933838,635281.3036279003,2100.2399897938385,0.3025149074074074,2033-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,קרן השקעה אחרת,Madison Realty Capital Debt Fund VI GP LLC,ריק במקור,פנימי,Madison Realty Capital Debt Fund VI LP,11019980.0,"מספר תאגיד או שותפות בחו""ל",USD,2022-11-03 00:00:00,600000.0063720995,1983.6000210661612,181508.9463720995,600.068576706161,0.3025149074074074,2033-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,קרן השקעה אחרת,HGI Multifamily Credit Fund GP LLC,ריק במקור,פנימי,HGI Multifamily Credit Fund LP HGI Multifamily Cr,11019991.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-01-09 00:00:00,1999999.3243243243,6611.9977662162155,179999.32432432426,595.077766216216,0.08999969256746368,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,קרן השקעה אחרת,HGI Multifamily Credit Fund GP LLC,ריק במקור,פנימי,HGI Multifamily Credit Fund LP HGI Multifamily Cr,11019991.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-01-09 00:00:00,499999.83108108107,1652.9994415540539,44999.831081081065,148.769441554054,0.08999969256746368,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,קרן השקעה אחרת,HGI Multifamily Credit Fund GP LLC,ריק במקור,פנימי,HGI Multifamily Credit Fund LP HGI Multifamily Cr,11019991.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-01-09 00:00:00,109999.96283783784,363.6598771418919,9899.96283783784,32.7292771418919,0.08999969256746372,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,קרן השקעה אחרת,HarbourVest GP LLC,ריק במקור,פנימי,Dover Street XI L.P Dover Street XI L.P,11019995.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-02-14 00:00:00,1200000.0,3967.2,708000.0,2340.648,0.59,2027-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
