מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,"אלומיי קפיטל בע""מ",520039868.0,ח.פ.,אלומיי אפ 2,IL0012030826,ISIN,ישראל,ישראל,סחיר,TASE,IL0010826357,אנרגיה מתחדשת,2028-01-05,לא,ILS,8000.0,1.0,4608.0,1.0,646.6,29.79533,0.004489484162430996,5.799668840225252e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"מיטב טרייד השקעות בע""מ",516854239.0,ח.פ.,מיטב טרייד אפ 1,IL0012031998,ISIN,ישראל,ישראל,סחיר,TASE,IL0012031816,שירותים פיננסיים,2028-01-18,לא,ILS,699.031,1.0,352000.0,1.0,1568.0,5519.36,0.8316430563700802,0.0010743448792138112,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"אפי קפיטל נדל""ן בע""מ",513948216.0,ח.פ.,אפי קפיטל אפ 1,IL0012042136,ISIN,ישראל,ישראל,סחיר,TASE,IL0011814378,בנייה,2026-02-15,לא,ILS,1157.914,1.0,75000.0,1.0,530.8,398.1,0.05998469038818431,7.749026996155683e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"שובל הנדסה ובניין בע""מ",512951518.0,ח.פ.,שובל הנדסה אפ 1,IL0012159617,ISIN,ישראל,ישראל,סחיר,TASE,IL0012079682,בנייה,2027-01-10,לא,ILS,1023.0,1.0,20000.0,1.0,223.2,44.64,0.006726241092510795,8.689187769615414e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"קבוצת חג'ג' ייזום נדל""ן בע""מ",520033309.0,ח.פ.,חג'ג' אפ 1,IL0012166547,ISIN,ישראל,ישראל,סחיר,TASE,IL0008230133,בנייה,2026-07-30,לא,ILS,3230.0,1.0,15856.0,1.0,158.2,25.08419,0.0037796216297121044,4.882644197103703e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"מגידו י.ק. בע""מ",510542855.0,ח.פ.,מגידו אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,2029-07-12,לא,ILS,850.0,1.0,154044.0,1.0,215.8,332.42695,0.05008924308575339,6.470699346394612e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"נאוויטס פטרוליום, שותפות מוגבל",550263107.0,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,11928.208,1.0,17855.0,1.0,1609.0,287.28695,0.04328766327132827,5.592048056250258e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"אלומיי קפיטל בע""מ",520039868.0,ח.פ.,אלומיי אפ 2,IL0012030826,ISIN,ישראל,ישראל,סחיר,TASE,IL0010826357,אנרגיה מתחדשת,2028-01-05,לא,ILS,8000.0,1.0,1980.0,1.0,646.6,12.80268,0.004408159587174678,5.109848692399558e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"מיטב טרייד השקעות בע""מ",516854239.0,ח.פ.,מיטב טרייד אפ 1,IL0012031998,ISIN,ישראל,ישראל,סחיר,TASE,IL0012031816,שירותים פיננסיים,2028-01-18,לא,ILS,699.031,1.0,154000.0,1.0,1568.0,2414.72,0.8314252264637121,0.0009637711662332464,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"אפי קפיטל נדל""ן בע""מ",513948216.0,ח.פ.,אפי קפיטל אפ 1,IL0012042136,ISIN,ישראל,ישראל,סחיר,TASE,IL0011814378,בנייה,2026-02-15,לא,ILS,1157.914,1.0,18750.0,1.0,530.8,99.525,0.034267987867662074,3.972275266671244e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
