מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8909,8289092.0,2022-06-01,8.33622,צמוד למדד המחירים לצרכן,2037-06-01,0.048,0.0486,497316.0,114.7603,570.72133,ריק במקור,שווי הוגן,0.005218092569489054,0.00011109105735875095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8910,8289100.0,2022-07-01,8.291192,צמוד למדד המחירים לצרכן,2037-07-01,0.048,0.0486,23126175.68,113.6941,26293.0973,ריק במקור,שווי הוגן,0.24039721040386333,0.005117958321784679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8911,8289118.0,2022-08-01,8.246679,צמוד למדד המחירים לצרכן,2037-08-01,0.048,0.0486,42529119.83,112.7642,47957.62174,ריק במקור,שווי הוגן,0.43847548093543437,0.009334963716018153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8912,8289126.0,2022-09-01,8.206908,צמוד למדד המחירים לצרכן,2037-09-01,0.048,0.0486,31101860.0,111.0934,34552.11374,ריק במקור,שווי הוגן,0.3159092160912133,0.00672557804937206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8909,8289092.0,2022-06-01,8.33622,צמוד למדד המחירים לצרכן,2037-06-01,0.048,0.0486,445034.0,114.7603,510.72235,ריק במקור,שווי הוגן,0.019062386346498414,0.0002038412217072308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8910,8289100.0,2022-07-01,8.291192,צמוד למדד המחירים לצרכן,2037-07-01,0.048,0.0486,1606880.34,113.6941,1826.92814,ריק במקור,שווי הוגן,0.06818892893951037,0.0007291697025378247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8911,8289118.0,2022-08-01,8.246679,צמוד למדד המחירים לצרכן,2037-08-01,0.048,0.0486,9602710.15,112.7642,10828.41928,ריק במקור,שווי הוגן,0.40416385113600806,0.004321875115105757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8912,8289126.0,2022-09-01,8.206908,צמוד למדד המחירים לצרכן,2037-09-01,0.048,0.0486,12265429.0,111.0934,13626.0821,ריק במקור,שווי הוגן,0.5085848335779831,0.005438487707356118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8909,8289092.0,2022-06-01,8.33622,צמוד למדד המחירים לצרכן,2037-06-01,0.048,0.0486,1268.0,114.7603,1.45516,ריק במקור,שווי הוגן,0.00020928938130334665,1.7619968436312684e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8910,8289100.0,2022-07-01,8.291192,צמוד למדד המחירים לצרכן,2037-07-01,0.048,0.0486,815901.34,113.6941,927.63169,ריק במקור,שווי הוגן,0.1334172616602146,0.0011232332594576125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8911,8289118.0,2022-08-01,8.246679,צמוד למדד המחירים לצרכן,2037-08-01,0.048,0.0486,2185359.22,112.7642,2464.30284,ריק במקור,שווי הוגן,0.35443003980846094,0.0029839287953431722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8912,8289126.0,2022-09-01,8.206908,צמוד למדד המחירים לצרכן,2037-09-01,0.048,0.0486,3204035.0,111.0934,3559.47142,ריק במקור,שווי הוגן,0.5119434091500211,0.004310025981359925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8909,8289092.0,2022-06-01,8.33622,צמוד למדד המחירים לצרכן,2037-06-01,0.048,0.0486,93204.0,114.7603,106.96119,ריק במקור,שווי הוגן,0.0018186808121732788,3.059732629420178e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8910,8289100.0,2022-07-01,8.291192,צמוד למדד המחירים לצרכן,2037-07-01,0.048,0.0486,5379517.29,113.6941,6116.19377,ריק במקור,שווי הוגן,0.1039947690656092,0.0017495988634686477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8911,8289118.0,2022-08-01,8.246679,צמוד למדד המחירים לצרכן,2037-08-01,0.048,0.0486,20933004.49,112.7642,23604.93505,ריק במקור,שווי הוגן,0.40135905787913817,0.006752429548308972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
