מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,תשואה לפדיון,שיעור ריבית,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,"מקורות חברת מים בע""מ",520010869.0,ח.פ.,מקורות אגח -8רמ,IL0011243461,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2023-02-02,ilAAA,S&P מעלות,נייר ערך,ILS,9.45,2048-07-14,0.0282,0.041,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,750153.98,1.0,139.55,1046.83988,ריק במקור,ריק במקור,שווי הוגן,0.007780050186950975,0.00020376765864788684,,,,,,,,,,,,,,
13908.0,13909.0,"מת""ם - מרכז תעשיות מדע חיפה בע",510687403.0,ח.פ.,"מת""ם אגח א -רמ",IL0011389991,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2016-08-16,ilAA,S&P מעלות,נייר ערך,ILS,1.22,2027-06-30,0.0481,0.031,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,3076923.23,1.0,98.25,3023.07707,ריק במקור,ריק במקור,שווי הוגן,0.022467324538324528,0.0005884427487286918,,,,,,,,,,,,,,
13908.0,13909.0,"רפאל מערכות לחימה מתקדמות בע""מ",520042185.0,ח.פ.,רפאל אגח ד-רמ,IL0011402844,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,ביטחוניות,לא,2024-06-17,ilAAA,S&P מעלות,נייר ערך,ILS,4.41,2034-09-15,0.0501,0.0374,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,2373445.95,1.0,96.46,2289.42596,ריק במקור,ריק במקור,שווי הוגן,0.017014874202259486,0.00044563736673548457,,,,,,,,,,,,,,
13908.0,13909.0,"אורמת טכנולוגיות, אינק",880326081.0,LEI,אורמת אגח 4 -רמ,IL0011672123,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,"ארה""ב",לא סחיר,אנרגיה מתחדשת,לא,2022-10-03,ilAA-,S&P מעלות,נייר ערך,ILS,2.95,2031-06-15,0.0594,0.0335,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,340732.01,1.0,95.91,326.79607,ריק במקור,ריק במקור,שווי הוגן,0.002428728475168852,6.361094118732936e-05,,,,,,,,,,,,,,
13908.0,13909.0,רשות שדות התעופה בישראל.,500102868.0,ח.פ.,"רש""ת אגח א-רמ",IL0011873358,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2022-06-28,ilAAA,S&P מעלות,נייר ערך,ILS,3.26,2031-12-31,0.0258,0.0155,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,921052.63,1.0,108.19,996.48684,ריק במקור,ריק במקור,שווי הוגן,0.007405829462511676,0.00019396642613599268,,,,,,,,,,,,,,
13908.0,13909.0,רשות שדות התעופה בישראל.,500102868.0,ח.פ.,"רש""ת אגח ב-רמ",IL0011873432,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2022-06-28,ilAAA,S&P מעלות,נייר ערך,ILS,6.17,2036-12-31,0.0285,0.0175,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,994736.84,1.0,105.54,1049.84526,ריק במקור,ריק במקור,שווי הוגן,0.007802385987943634,0.00020435265665727409,,,,,,,,,,,,,,
13908.0,13909.0,"איילון חברה לביטוח בע""מ",520030677.0,ח.פ.,איילון אגח ג-רמ,IL0011955775,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,ביטוח,לא,2022-11-22,ilBBB,S&P מעלות,נייר ערך,ILS,2.08,2030-12-31,0.0726,0.0775,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,862000.0,1.0,104.94,904.5828,ריק במקור,ריק במקור,שווי הוגן,0.006722804238459694,0.00017607728051891727,,,,,,,,,,,,,,
13908.0,13909.0,"עוגן-אג""ח חברתית 2 בע""מ (חל""צ)",516556545.0,ח.פ.,עוגן אגחא-רמ,IL0011968315,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אשראי חוץ בנקאי,לא,2022-11-22,ilAA,S&P מעלות,נייר ערך,ILS,0.33,2026-03-15,0.067,0.065,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,171876.13,1.0,100.62,172.94176,ריק במקור,ריק במקור,שווי הוגן,0.0012852926201279518,3.3663159181177516e-05,,,,,,,,,,,,,,
13908.0,13909.0,"מקס איט פיננסים בע""מ",512905423.0,ח.פ.,מקס איט הת ד-רמ,IL0011979536,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים פיננסיים,לא,2023-07-18,ilA+,S&P מעלות,נייר ערך,ILS,2.87,2028-11-16,0.0667,0.0733,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,1350000.0,1.0,105.83,1428.705,ריק במקור,ריק במקור,שווי הוגן,0.010618048485454903,0.0002780978049370159,,,,,,,,,,,,,,
13908.0,13909.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 1 ר-מ,IL0011986390,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,בנקים,לא,2023-08-07,ilAAA,S&P מעלות,מנפיק,ILS,1.19,2026-12-24,0.0639,0.068,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,323360.01,1.0,100.51,325.00915,ריק במקור,ריק במקור,שווי הוגן,0.0024154481946353414,6.326311673819671e-05,,,,,,,,,,,,,,
