מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,נכס בסיס,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,JPM 7.95 01/34,ZD6998698,LEI,JPM 7.95 01/34,62012463.0,פנימי,שכבת הון (Equity Tranch),"חו""ל","ארה""ב",לא,אחר,2024-03-13,A,S&P,נייר ערך,USD,10.19,0.0795,0.07176,דיווח מנהל הקרן,אי-תלות,2025-09-30,1800000.0,3.306,106.2063,6320.1245,1.0,0.001230213900265384,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,JPM 7.95 01/34,ZD6998698,LEI,JPM 7.95 01/34,62012463.0,פנימי,שכבת הון (Equity Tranch),"חו""ל","ארה""ב",לא,אחר,2024-03-13,A,S&P,נייר ערך,USD,10.19,0.0795,0.07176,דיווח מנהל הקרן,אי-תלות,2025-09-30,800000.0,3.306,106.2063,2808.94422,1.0,0.0011211152625536446,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,JPM 7.95 01/34,ZD6998698,LEI,JPM 7.95 01/34,62012463.0,פנימי,שכבת הון (Equity Tranch),"חו""ל","ארה""ב",לא,אחר,2024-03-13,A,S&P,נייר ערך,USD,10.19,0.0795,0.07176,דיווח מנהל הקרן,אי-תלות,2025-09-30,200000.0,3.306,106.2063,702.23606,1.0,0.0008503104271723095,,,,,,,,,,,,,,,,,,,,,,
13908.0,13913.0,JPM 7.95 01/34,ZD6998698,LEI,JPM 7.95 01/34,62012463.0,פנימי,שכבת הון (Equity Tranch),"חו""ל","ארה""ב",לא,אחר,2024-03-13,A,S&P,נייר ערך,USD,10.19,0.0795,0.07176,דיווח מנהל הקרן,אי-תלות,2025-09-30,11000.0,3.306,106.2063,38.62298,1.0,0.0010476997532083805,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,JPM 7.95 01/34,ZD6998698,LEI,JPM 7.95 01/34,62012463.0,פנימי,שכבת הון (Equity Tranch),"חו""ל","ארה""ב",לא,אחר,2024-03-13,A,S&P,נייר ערך,USD,10.19,0.0795,0.07176,דיווח מנהל הקרן,אי-תלות,2025-09-30,50000.0,3.306,106.2063,175.55901,1.0,0.000794315858072115,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,JPM 7.95 01/34,ZD6998698,LEI,JPM 7.95 01/34,62012463.0,פנימי,שכבת הון (Equity Tranch),"חו""ל","ארה""ב",לא,אחר,2024-03-13,A,S&P,נייר ערך,USD,10.19,0.0795,0.07176,דיווח מנהל הקרן,אי-תלות,2025-09-30,20000.0,3.306,106.2063,70.22361,1.0,0.0006454704957195053,,,,,,,,,,,,,,,,,,,,,,
13918.0,13921.0,JPM 7.95 01/34,ZD6998698,LEI,JPM 7.95 01/34,62012463.0,פנימי,שכבת הון (Equity Tranch),"חו""ל","ארה""ב",לא,אחר,2024-03-13,A,S&P,נייר ערך,USD,10.19,0.0795,0.07176,דיווח מנהל הקרן,אי-תלות,2025-09-30,10000.0,3.306,106.2063,35.1118,1.0,0.0008943749337006292,,,,,,,,,,,,,,,,,,,,,,
13918.0,13923.0,JPM 7.95 01/34,ZD6998698,LEI,JPM 7.95 01/34,62012463.0,פנימי,שכבת הון (Equity Tranch),"חו""ל","ארה""ב",לא,אחר,2024-03-13,A,S&P,נייר ערך,USD,10.19,0.0795,0.07176,דיווח מנהל הקרן,אי-תלות,2025-09-30,1000.0,3.306,106.2063,3.51118,1.0,0.0012234306165520542,,,,,,,,,,,,,,,,,,,,,,
13908.0,14339.0,JPM 7.95 01/34,ZD6998698,LEI,JPM 7.95 01/34,62012463.0,פנימי,שכבת הון (Equity Tranch),"חו""ל","ארה""ב",לא,אחר,2024-03-13,A,S&P,נייר ערך,USD,10.19,0.0795,0.07176,דיווח מנהל הקרן,אי-תלות,2025-09-30,5000.0,3.306,106.2063,17.5559,1.0,0.00013023095290297723,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
