מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",סוג הצמדה,ריבית עוגן,מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,שם גורם משערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,"שיכון ובינוי בע""מ",520036104.0,ח.פ.,נעמ שכון ובנוי3,11020132.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,בנייה,לא,2022-11-22,NR,NR,NR,ILS,0.8,לא צמוד,ללא,2026-05-30,0.071,0.064,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,2025-09-30,2025-09-30,4499800.0,1.0,102.1391,4596.05522,ריק במקור,ריק במקור,שווי הוגן,1.0,0.0008946233603517269,,,,,,,,,,,,
13908.0,13910.0,"שיכון ובינוי בע""מ",520036104.0,ח.פ.,נעמ שכון ובנוי3,11020132.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,בנייה,לא,2022-11-22,NR,NR,NR,ILS,0.8,לא צמוד,ללא,2026-05-30,0.071,0.064,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,2025-09-30,2025-09-30,1400000.0,1.0,102.1391,1429.9474,ריק במקור,ריק במקור,שווי הוגן,1.0,0.000570725414685843,,,,,,,,,,,,
13908.0,13911.0,"שיכון ובינוי בע""מ",520036104.0,ח.פ.,נעמ שכון ובנוי3,11020132.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,בנייה,לא,2022-11-22,NR,NR,NR,ILS,0.8,לא צמוד,ללא,2026-05-30,0.071,0.064,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,2025-09-30,2025-09-30,299700.0,1.0,102.1391,306.11088,ריק במקור,ריק במקור,שווי הוגן,1.0,0.00037065780007778526,,,,,,,,,,,,
13908.0,13912.0,"שיכון ובינוי בע""מ",520036104.0,ח.פ.,נעמ שכון ובנוי3,11020132.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,בנייה,לא,2022-11-22,NR,NR,NR,ILS,0.8,לא צמוד,ללא,2026-05-30,0.071,0.064,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,2025-09-30,2025-09-30,6495000.0,1.0,102.1391,6633.93454,ריק במקור,ריק במקור,שווי הוגן,1.0,0.0018977038282273727,,,,,,,,,,,,
13908.0,13913.0,"שיכון ובינוי בע""מ",520036104.0,ח.פ.,נעמ שכון ובנוי3,11020132.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,בנייה,לא,2022-11-22,NR,NR,NR,ILS,0.8,לא צמוד,ללא,2026-05-30,0.071,0.064,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,2025-09-30,2025-09-30,15000.0,1.0,102.1391,15.32086,ריק במקור,ריק במקור,שווי הוגן,1.0,0.0004155987249285309,,,,,,,,,,,,
13918.0,13919.0,"שיכון ובינוי בע""מ",520036104.0,ח.פ.,נעמ שכון ובנוי3,11020132.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,בנייה,לא,2022-11-22,NR,NR,NR,ILS,0.8,לא צמוד,ללא,2026-05-30,0.071,0.064,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,2025-09-30,2025-09-30,150000.0,1.0,102.1391,153.20865,ריק במקור,ריק במקור,שווי הוגן,1.0,0.0006931917666249106,,,,,,,,,,,,
13918.0,13922.0,"שיכון ובינוי בע""מ",520036104.0,ח.פ.,נעמ שכון ובנוי3,11020132.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,בנייה,לא,2022-11-22,NR,NR,NR,ILS,0.8,לא צמוד,ללא,2026-05-30,0.071,0.064,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,2025-09-30,2025-09-30,400000.0,1.0,102.1391,408.5564,ריק במקור,ריק במקור,שווי הוגן,1.0,0.002188959452139358,,,,,,,,,,,,
13918.0,13923.0,"שיכון ובינוי בע""מ",520036104.0,ח.פ.,נעמ שכון ובנוי3,11020132.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,בנייה,לא,2022-11-22,NR,NR,NR,ILS,0.8,לא צמוד,ללא,2026-05-30,0.071,0.064,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,2025-09-30,2025-09-30,500.0,1.0,102.1391,0.5107,ריק במקור,ריק במקור,שווי הוגן,1.0,0.00017794758909344842,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
