מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,"מח""מ",שיעור ריבית,תשואה לפדיון,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ד,IL0011623043,ISIN,קרן לא מובטחת,ישראל,ישראל2,סחיר,TASE,"מט""ח",לא,0.528,5.22%,4.35%,ilAAAs,S&P מעלות,נייר ערך,ILS,"153,279.000",1.0,96.95,148.604,69.27%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,קרן מובטחת,ישראל,ישראל,סחיר,TASE,מדד המחירים לצרכן,לא,2.786,0.0005,0.0263,ilAAAs,S&P מעלות,נייר ערך,ILS,60050.42,1.0,109.77,65.91735,0.3072764229423515,1.2830829557021922e-05,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,קרן מובטחת,ישראל,ישראל,סחיר,TASE,מדד המחירים לצרכן,לא,2.786,0.0005,0.0263,ilAAAs,S&P מעלות,נייר ערך,ILS,0.33,1.0,109.77,0.00036,1,1.436844105502786e-10,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,קרן מובטחת,ישראל,ישראל,סחיר,TASE,מדד המחירים לצרכן,לא,2.786,0.0005,0.0263,ilAAAs,S&P מעלות,נייר ערך,ILS,0.58,1.0,109.77,0.00064,1,7.749511943181588e-10,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,קרן מובטחת,ישראל,ישראל,סחיר,TASE,מדד המחירים לצרכן,לא,2.786,0.0005,0.0263,ilAAAs,S&P מעלות,נייר ערך,ILS,8175,1.0,109.77,8.9737,1,8.248306498965411e-05,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13923.0,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ד,IL0011623043,ISIN,קרן לא מובטחת,ישראל,ישראל,סחיר,TASE,"מט""ח",לא,0.528,0.052192,0.0435,ilAAAs,S&P מעלות,נייר ערך,ILS,100,1.0,96.95,0.09695,0.5170666666666667,3.378112152459334e-05,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13923.0,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,קרן מובטחת,ישראל,ישראל,סחיר,TASE,מדד המחירים לצרכן,לא,2.786,0.0005,0.0263,ilAAAs,S&P מעלות,נייר ערך,ILS,82.49,1.0,109.77,0.09055,0.4829333333333334,3.155111453380018e-05,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
