שם גיליון,שם סעיף,מספר סעיף,מידע שניתן לדווח רק לרשות,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
מזומנים ושווי מזומנים,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,מספר מסלול,5.2,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,שם הבנק,5.4,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,מספר מזהה בנק,5.7,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,סוג מספר מזהה בנק,5.11,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,מאפיין עיקרי,5.26,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,"ישראל/חו""ל",5.27,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,בעל עניין/צד קשור,5.36,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,דירוג הבנק,5.5,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,שם מדרג,5.51,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,מטבע פעילות,5.53,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,שווי מטבעי,5.59,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
