מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,"טיב טעם הולדינגס 1 בע""מ",520041187.0,ח.פ.,טיב טעם,IL0001030100,ISIN,מניות,ישראל,ישראל,סחיר,TASE,רשתות שיווק,לא,ILS,450000.0,1.0,862.4,0.0,3880.8,0.004226035976,0.0037971855559870353,0.0007553987431972111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי,IL0001260111,ISIN,מניות,ישראל,ישראל,בהשאלה,TASE,"נדל""ן מניב בחו""ל",לא,ILS,115000.0,1.0,-1213.0,0.0,-1394.95,0.000617898568,-0.0013648948648021322,-0.0002715273852872989,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"להב אל.אר רילאסטייט בע""מ",520034257.0,ח.פ.,להב,IL0001360101,ISIN,מניות,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ILS,4000820.0,1.0,577.7,0.0,23112.73714,0.014828467606,0.022614757685872268,0.004498900378118817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"וואן טכנולוגיות תוכנה בע""מ",520034695.0,ח.פ.,וואן טכנולוגיות,IL0001610182,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותי מידע,לא,ILS,57688.0,1.0,8089.0,0.0,4666.38232,0.000805084683,0.004565841976967962,0.0009083125489089068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"איילון חברה לביטוח בע""מ",520030677.0,ח.פ.,איילון,IL0002090152,ISIN,מניות,ישראל,ישראל,סחיר,TASE,ביטוח,לא,ILS,60000.0,1.0,6741.0,0.0,4044.6,0.0022030939,0.003957456374908566,0.0007872824563841063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"כלל החזקות עסקי ביטוח בע""מ",520036120.0,ח.פ.,כלל עסקי ביטוח,IL0002240146,ISIN,מניות,ישראל,ישראל,סחיר,TASE,ביטוח,לא,ILS,161622.0,1.0,16970.0,0.0,27427.2534,0.002019110528,0.026836314793567385,0.005338722105677035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"מבנה נדל""ן (כ.ד) בע""מ",520024126.0,ח.פ.,מבנה,IL0002260193,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,510967.0,1.0,1292.0,0.0,6601.69364,0.000706123771,0.006459455713991825,0.00128502140760385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"בזק החברה הישראלית לתקשורת בע""",520031931.0,ח.פ.,בזק,IL0002300114,ISIN,מניות,ישראל,ישראל,סחיר,TASE,תקשורת ומדיה,לא,ILS,3864555.0,1.0,634.7,812.50182,25340.8324,0.001393656523,0.024794847136149316,0.0049325997079290775,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,ישראמקו נגב 2 שותפות מוגבלת,550010003.0,מספר שותפות,ישראמקו יהש,IL0002320179,ISIN,יחידות השתתפות,ישראל,ישראל,סחיר,TASE,חיפושי נפט וגז,לא,ILS,1960119.0,1.0,246.2,0.0,4825.81298,0.000753944758,0.0047218375962561196,0.0009393457689127983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"פורמולה מערכות (1985)בע""מ",520036690.0,ח.פ.,פורמולה מערכות,IL0002560162,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותי מידע,לא,ILS,4318.0,1.0,46080.0,0.0,1989.7344,0.000281620933,0.0019468642351913343,0.0003873023255659289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"אורביט טכנולוג'יס בע""מ",520036153.0,ח.פ.,אורביט,IL0002650179,ISIN,מניות,ישראל,ישראל,סחיר,TASE,ביטחוניות,לא,ILS,140200.0,1.0,3811.0,0.0,5343.022,0.005518848303,0.005227903000340384,0.0010400206410211938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"נייס בע""מ",520036872.0,ח.פ.,נייס,IL0002730112,ISIN,מניות,ישראל,ישראל,סחיר,TASE,תוכנה ואינטרנט,לא,ILS,13701.0,1.0,48800.0,0.0,6686.088,0.000221901986,0.006542031740790106,0.0013014487920289513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"איי.סי.אל גרופ בע""מ",520027830.0,ח.פ.,איי.סי.אל,IL0002810146,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"כימיה, גומי ופלסטיק",לא,ILS,371215.0,1.0,2070.0,0.0,7684.1505,0.000287613576,0.007518590313499936,0.0014957219207993766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"קבוצת סקופ מתכות בע""מ",520037425.0,ח.פ.,סקופ חסום,IL0002880198,ISIN,מניות,ישראל,ישראל,חסום,TASE,מסחר,לא,ILS,23000.0,1.0,15013.6612,0.0,3453.14207,0.001738175456,0.003378741803487727,0.0006721550143680209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"קבוצת סקופ מתכות בע""מ",520037425.0,ח.פ.,סקופ,IL0002880198,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מסחר,לא,ILS,500.0,1.0,15400.0,0.0,77.0,3.77864229754752e-05,7.534098325371102e-05,1.4988070301531965e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"מליסרון בע""מ",520037789.0,ח.פ.,מליסרון,IL0003230146,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,15580.0,1.0,40000.0,0.0,6232.0,0.000326926847,0.006097727371910741,0.0012130604431058079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"אאורה השקעות בע""מ",520038274.0,ח.פ.,אאורה,IL0003730194,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,לא,ILS,927806.0,1.0,2195.0,0.0,20365.3417,0.003249591343,0.019926556726958478,0.003964119131354812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"קבוצת חמת בע""מ",520038530.0,ח.פ.,חמת,IL0003840167,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מתכת ומוצרי בניה,לא,ILS,63626.0,1.0,1427.0,0.0,907.94302,0.001736335587,0.0008883807774694001,0.0001767313482278603,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"אלרוב נדל""ן ומלונאות בע""מ",520038894.0,ח.פ.,אלרוב נדלן,IL0003870198,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ILS,32210.0,1.0,26200.0,0.0,8439.02,0.001563326012,0.008257195642827692,0.0016426574680004453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
