מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,תאריך העמדת מסגרת אשראי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,שער חליפין,שיעור ריבית,סוג הריבית,סכום מסגרת האשראי הראשוני (במטבע הפעילות),"סכום מסגרת האשראי הראשוני (באלפי ש""ח)",שיעור יתרת מסגרת אשראי,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,ריק במקור,ריק במקור,הלוואה מספר 19,11022808.0,2025-04-03,"חו""ל",ריק במקור,לא,NR,NR,NR,USD,3.306,0.0525,משתנה,2750000.0,9091.5,0.8061250034632036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,ריק במקור,ריק במקור,הלוואה מספר 19,11022808.0,2025-04-03,"חו""ל",ריק במקור,לא,NR,NR,NR,USD,3.306,0.0525,משתנה,1300000.0,4297.8,0.8061250034632036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,ריק במקור,ריק במקור,הלוואה מספר 19,11022808.0,2025-04-03,"חו""ל",ריק במקור,לא,NR,NR,NR,USD,3.306,0.0525,משתנה,400000.0,1322.4,0.8061250034632036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13916.0,ריק במקור,ריק במקור,הלוואה מספר 19,11022808.0,2025-04-03,"חו""ל",ריק במקור,לא,NR,NR,NR,USD,3.306,0.0525,משתנה,150000.0,495.9,0.8061250034632036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,ריק במקור,ריק במקור,הלוואה מספר 19,11022808.0,2025-04-03,"חו""ל",ריק במקור,לא,NR,NR,NR,USD,3.306,0.0525,משתנה,120000.0,396.72,0.8061250034632036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,ריק במקור,ריק במקור,הלוואה מספר 19,11022808.0,2025-04-03,"חו""ל",ריק במקור,לא,NR,NR,NR,USD,3.306,0.0525,משתנה,50000.0,165.3,0.8061250034632036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13921.0,ריק במקור,ריק במקור,הלוואה מספר 19,11022808.0,2025-04-03,"חו""ל",ריק במקור,לא,NR,NR,NR,USD,3.306,0.0525,משתנה,30000.0,99.18,0.8061250034632036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,ריק במקור,ריק במקור,הלוואה מספר 15,11022466.0,2025-04-01,ישראל,ריק במקור,לא,NR,NR,NR,ILS,1.0,0.005,משתנה,14250000.0,14250.0,0.7142857143283582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,ריק במקור,ריק במקור,הלוואה מספר 15,11022466.0,2025-04-01,ישראל,ריק במקור,לא,NR,NR,NR,ILS,1.0,0.005,משתנה,6650000.0,6650.0,0.7142857143283582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,ריק במקור,ריק במקור,הלוואה מספר 15,11022466.0,2025-04-01,ישראל,ריק במקור,לא,NR,NR,NR,ILS,1.0,0.005,משתנה,2050000.0,2050.0,0.7142857143283582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
