מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס האחר,מספר הנכס האחר,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך עסקה,מטבע פעילות,תאריך שערוך אחרון,שווי מטבעי,שער חליפין,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,מבט משנה TOA 24,9014.0,חייבים בגין תקבולים ,ישראל,ישראל,לא,2025-09-30,ILS,2025-09-30,85.14909,1.0,85.14909,ריק במקור,שווי הוגן,0.0069041992490784555,1.6574292818590553e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מבט משנה SWIS24,9015.0,חייבים וזכאים,ישראל,ישראל,לא,2025-09-30,ILS,2025-09-30,198.67987,1.0,198.67987,ריק במקור,שווי הוגן,0.016109689595754987,3.8673089078691316e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,ARUNDO   מ.משנה,9016.0,חייבים וזכאים,ישראל,ישראל,לא,2025-09-30,ILS,2025-09-30,-3095.443,1.0,-3095.443,ריק במקור,שווי הוגן,-0.2509898254481071,-0.0006025287960829223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,DEVK     מ.משנה,9017.0,חייבים וזכאים,ישראל,ישראל,לא,2025-09-30,ILS,2025-09-30,-773.861,1.0,-773.861,ריק במקור,שווי הוגן,-0.06274747663293997,-0.00015063224768329647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,      חוז עמלות,9042.0,חייבים בגין תקבולים ,ישראל,ישראל,לא,2025-09-30,ILS,2025-09-30,114.96286,1.0,114.96286,ריק במקור,שווי הוגן,0.00932160862416629,2.2377551009677626e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,     הפרשי רטרו,9046.0,חייבים וזכאים,ישראל,ישראל,לא,2025-09-30,ILS,2025-09-30,0.0014,1.0,0.0014,ריק במקור,שווי הוגן,1.135171139082031e-07,2.72510369118763e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מס הכנסה עמיתים,9049.0,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-30,ILS,2025-09-30,-641.465,1.0,-641.465,ריק במקור,שווי הוגן,-4.054182639578682e-08,-9.732513182812965e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0, ריבית עוש לקבל,9088.0,"הכנסות עו""ש לקבל",ישראל,ישראל,לא,2025-09-30,ILS,2025-09-30,783.96014,1.0,783.96014,ריק במקור,שווי הוגן,0.06356635179419347,0.00015259804794699795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,TOA_2025       ,9097.0,חייבים וזכאים,ישראל,ישראל,לא,2025-09-30,ILS,2025-09-30,-2321.582,1.0,-2321.582,ריק במקור,שווי הוגן,-0.1882423488151671,-0.00045189654839962576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,TEMP_INTEREST$,11020527.0,"הכנסות עו""ש לקבל",ישראל,ישראל,לא,2025-09-30,USD,2025-09-30,1277.87774,1.0,4224.66381,ריק במקור,שווי הוגן,0.34255117353116665,0.0008223319244755569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
