Unnamed: 0,Unnamed: 1,ידווח בקבצי נכסי הנוסטרו בלבד,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
Column1,שווי הוגן,עלות מופחתת,השיטה שיושמה בדוח הכספי,שיעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,2470023.4938900014,ריק במקור,ריק במקור,0.167896192264456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,2308567.8006700044,ריק במקור,ריק במקור,0.15692148041328896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,0,ריק במקור,ריק במקור,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,1432158.830230006,ריק במקור,ריק במקור,0.09734887741284122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מניות בכורה ויחידות השתתפות",2695265.2694099937,ריק במקור,ריק במקור,0.18320666867985816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות סל,304649.22967,ריק במקור,ריק במקור,0.020708080617216424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות נאמנות,309295.29912999994,ריק במקור,ריק במקור,0.02102389031427387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כתבי אופציה,24587.380590000033,ריק במקור,ריק במקור,0.0016712908152613057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אופציות,0,ריק במקור,ריק במקור,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חוזים עתידיים,44417.954530000025,ריק במקור,ריק במקור,0.003019244736825512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מוצרים מובנים,223.68354000000002,ריק במקור,ריק במקור,1.520455766155017e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב ממשלתיות,0,ריק במקור,ריק במקור,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב מיועדות,202516.44801,ריק במקור,ריק במקור,0.013765755903095828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אפיק השקעה מובטח תשואה,3851514.84488,ריק במקור,ריק במקור,0.261801022745323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר ניירות ערך מסחריים,13543.644650000002,ריק במקור,ריק במקור,0.0009206092054358156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר איגרות חוב,245293.72331000015,ריק במקור,ריק במקור,0.016673477896868183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא סחיר מניות, מניות בכורה ויחידות השתתפות",84041.78668,ריק במקור,ריק במקור,0.005712616098420827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות השקעה,390695.4057300002,ריק במקור,ריק במקור,0.026556942117978488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר כתבי אופציה,15060.649310000004,ריק במקור,ריק במקור,0.00102372535258643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר אופציות,0,ריק במקור,ריק במקור,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר נגזרים אחרים,-16255.39148,ריק במקור,ריק במקור,-0.0011049361838100888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הלוואות,119216.04869,ריק במקור,ריק במקור,0.008103534513488464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לא סחיר מוצרים מובנים,10171.889259999998,ריק במקור,ריק במקור,0.0006914191217671754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
פיקדונות מעל 3 חודשים,31435.5,ריק במקור,ריק במקור,0.0021367815994402643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
זכויות מקרקעין,59288.74603999999,ריק במקור,ריק במקור,0.004030064786377147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
השקעה בחברות מוחזקות,0,ריק במקור,ריק במקור,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נכסים אחרים,115898.91165,ריק במקור,ריק במקור,0.007878057031345862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סך הכל נכסים,14711611.14839,0,0,1.0000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מסגרות אשראי,71799.27076923076,ריק במקור,ריק במקור,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יתרות התחייבויות להשקעה,368176.5674118463,ריק במקור,ריק במקור,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
