קובץ דיווח עבור רשימת נכסים ברמת הנכס הבודד (חוזר גופים מוסדיים 2015-9-14),Unnamed: 1,Unnamed: 2
,,
יש לבחור תחום:,,נכסי עמיתים - קרנות פנסיה
,,
האם מדובר בקובץ לממומנה או לציבור:,,לממונה
,,
יש לבחור את רבעון הדיווח:,,Q3
,,
יש לבחור את שנת הדיווח:,,2025
,,
יש לבחור את הגוף המוסדי:,,"מור גמל ופנסיה בע""מ"
,,
ח.פ. הגוף המוסדי:,,514956465
,,
שם קובץ לשמירה,,514956465_pn_p_0325.xlsx
,,
פרטי האחראי על הדיווח בגוף המוסדי,שם:,ורד הרשוקביץ  
,,
,מספר טלפון:,074-7811062
,,
,כתובת מייל:,vered.hershkovitz@more.co.il
,,
הוראות למילוי הדיווח:,,"יש לדווח לפי ההנחיות בחלק ג' לנספח 5.4.3.2 שבפרק 3 שבחלק 4 לשער 5 בחוזר המאוחד - ""רשימת נכסים ברמת הנכס הבודד""."
