מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,"NAV
(במטבע הדיווח של קרן ההשקעה)","שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,Scintilla Holdings Ltd,ריק במקור,ריק במקור,SCINTILLA,11020474.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2023-08-17,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,1455.96310647308,4813.41403,0.082033899823,0.019839087844136086,0.0009369323100262376,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Viola Credit GL II (UVCI),ריק במקור,ריק במקור,VIOLA CREDIT UVCI,11020490.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2023-10-19,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,121.525175438596,401.76223,5.55267633296531e-06,0.0016559132714843575,7.820312399662668e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"קוגיטו קפיטל פאנד 2 ניהול בע""מ",ריק במקור,ריק במקור,סיג'י השקעות,11021127.0,פנימי,קרן חוב,ריק במקור,ישראל,ריק במקור,ריק במקור,קנדה,לא,2024-07-28,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-30,1.0,3165.74747,3165.74747,0.046056241277,0.013048024075685333,0.0006162135797046358,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"Rakia Capital Fund, LP",ריק במקור,ריק במקור,RS TACTIC GEAR,11021133.0,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,Developed Markets - Pacific,לא,2024-08-12,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-30,1.0,6638.598,6638.598,0.027646153785,0.027361811816530173,0.0012922048510079155,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"CERCA OPPORTUNITIES GP, LIMITED PARTNERSHIP",ריק במקור,ריק במקור,CERCA ,11021279.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2024-08-22,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,395.254594676346,1306.71169,0.027576001755,0.00538577563519287,0.0002543517749812162,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,. 1L-MORE ALTERNATIVE CREDIT GP LTD,ריק במקור,ריק במקור,MORE ALTERNATIVE CREDIT 4,11021286.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",כן,2021-07-05,USD,דיווח מנהל הקרן,קיימת תלות,2025-09-30,3.306,880.481600120992,2910.87217,0.00526376811,0.011997523654469638,0.0005666020353601676,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,HIA Capital Partners Ltd,ריק במקור,ריק במקור,SHARK TOPCO 1,11022778.0,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2025-01-16,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,891.25,2946.4725,0.025833333454,0.012144254866401189,0.0005735316489809175,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Red Dot III General Partner L.P.,ריק במקור,ריק במקור,RED DOT 3 CAPITAL,11022812.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2025-04-24,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,767.396091954023,2537.01148,0.00875,0.010456610069194837,0.0004938299534809566,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,TBD VC GP LP,ריק במקור,ריק במקור,"TBD VC, L.P",11022813.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2025-04-24,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,71.005874168179,234.74542,0.052,0.0009675326035455587,4.5693257895099323e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"Cerca Capital 4 GP, Limited Partnership",ריק במקור,ריק במקור,4CECRA,11022819.0,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2025-05-20,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,28.235199637023,93.34557,0.01670721893491124,0.00038473543965860627,1.8169739811643806e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
