מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך ,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,"קסם ת""א 125",IL0051133457,ISIN,מניות,ישראל,ישראל,סחיר,TASE,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,800000.0,1.0,322.6,2580.8,0.00069529791,0.023477769479973404,0.000502353400444074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,SP 500 תכלית,IL0051139983,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,6369137.0,1.0,784.04,49936.58173,0.004870983284,0.4542775707047394,0.00972016879983684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,"תכלית ת""א 125",IL0051146574,ISIN,מניות,ישראל,ישראל,סחיר,TASE,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,10121800.0,1.0,286.8,29029.3224,0.006225684361,0.26408235410222736,0.005650565258922554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם תל בונד 20,IL0051155898,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"20 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,17872000.37,1.0,149.78,26768.68215,0.053384055503,0.2435171066337488,0.005210531038228102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,CIFC Global Floating Rate Cred,635400NLI1L,LEI,CIFC GLBL FLT RT CR-B1 USD,IE0009SO3I10,ISIN,אחר,"חו""ל",גלובלי,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,333.6,3.306,145970.1,1609.87737,0.008613255531,0.014645199079311009,0.0003133630545247453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,SP 500 תכלית,IL0051139983,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,109209.0,1.0,784.04,856.24224,8.35207679606475e-05,0.034451049867971845,0.0003417462820629172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,"תכלית ת""א 125",IL0051146574,ISIN,מניות,ישראל,ישראל,סחיר,TASE,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,3895700.0,1.0,286.8,11172.8676,0.002396154692,0.4495421983104301,0.004459352486839738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכ.TTFתלבונד20,IL0051154727,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"20 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,8468000.0,1.0,109.22,9248.7496,0.048064493968,0.3721249884681987,0.003691392040564236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הרל.תלבנד 20 צמ,IL0051172703,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמודות",לא,ILS,1870000.0,1.0,145.54,2721.598,0.004142013169,0.10950395114654987,0.001086253345513381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,NASDAQ 100י.IBI,IL0051277668,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,21876.0,1.0,311.57,68.15905,2.68369497051321e-05,0.0027423907871020076,2.7203869230324905e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
