מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,"מיטב קרנות נאמנות בע""מ",513534974.0,ח.פ.,תכ.תלבונד60,IL0011451015,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,4538180.0,1.0,392.09,0.0,17793.74996,0.003332690451,0.28514983531556337,0.003463558121147553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,קסם.תלבונד 20 צ,IL0011459604,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"20 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,7700.0,1.0,3977.99,0.0,306.30523,0.000147582561,0.004908627247608898,5.962239377879114e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,אי.בי.אי קרנות נאמנות בעמ,513765339.0,ח.פ.,IBI.תלבונד 60צד,IL0011480063,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,7718742.0,1.0,392.58,0.0,30302.23734,0.005614810137,0.4856018549557113,0.005898338487605545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"מגדל קרנות נאמנות בע""מ",511303661.0,ח.פ.,SP500.MTF,IL0011503336,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,18000.0,1.0,9467.0,0.0,1704.06,0.000206185567,0.0273080395903146,0.0003316957282860852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,CSI300.קסם,IL0011627838,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,סין,TASE,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה - מדד אחר",לא,ILS,30593.0,1.0,27300.0,0.0,8351.889,0.010647895167,0.13384136442725783,0.0016256973958778116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Ishares iBoxx $ Investment,78005.0,LEI,ISHARES GS$ INVESTOP CORP,US4642872422,ISIN,"עוקב אחר מדדים אחרים בחו""ל","חו""ל","ארה""ב",NYSE,Bond/Fixed Income Funds,לא,USD,10700.0,3.306,11147.0,0.0,3943.16207,3.75043813529618e-05,0.06319027846354405,0.0007675375365648611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"מיטב קרנות נאמנות בע""מ",513534974.0,ח.פ.,תכ.תלבונד60,IL0011451015,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,100000.0,1.0,392.09,0.0,392.09,7.34367180492686e-05,0.048016096473898415,0.00015649227925738538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,אי.בי.אי קרנות נאמנות בעמ,513765339.0,ח.פ.,IBI.תלבונד 60צד,IL0011480063,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,1298733.0,1.0,392.58,0.0,5098.56601,0.000944731565,0.6243802122336691,0.0020349568105514884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,CSI300.קסם,IL0011627838,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,סין,TASE,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה - מדד אחר",לא,ILS,4602.0,1.0,27300.0,0.0,1256.346,0.001601726328,0.15385455058939626,0.0005014370401588898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,Ishares iBoxx $ Investment,78005.0,LEI,ISHARES GS$ INVESTOP CORP,US4642872422,ISIN,"עוקב אחר מדדים אחרים בחו""ל","חו""ל","ארה""ב",NYSE,Bond/Fixed Income Funds,לא,USD,3850.0,3.306,11147.0,0.0,1418.80131,1.34945671223274e-05,0.17374914070303618,0.0005662767497647586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,CSI300.קסם,IL0011627838,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,סין,TASE,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה - מדד אחר",לא,ILS,18457.0,1.0,27300.0,0.0,5038.761,0.006423959765,1.0,0.0014413883618488018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,"מיטב קרנות נאמנות בע""מ",513534974.0,ח.פ.,SP500.תכ,IL0011443855,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,81894.0,1.0,25890.0,0.0,21202.3566,0.002044272705,0.3232197054834138,0.04890712944324093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,RUSS2000.קסם,IL0011457137,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"RUSSELL 2000 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,118719.0,1.0,8022.0,0.0,9523.63818,0.010790741117,0.1451832730551374,0.02196802053786094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,STOX600.קסם,IL0011462087,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,אירופה,TASE,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אירופה - מדד אחר",לא,ILS,43218.0,1.0,51160.0,0.0,22110.3288,0.021924715909,0.3370613039720991,0.05100153407731185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,"הראל קרנות נאמנות בע""מ",511776783.0,ח.פ.,MSCI EM.הרל,IL0011493017,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,ישראל,TASE,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",לא,ILS,78542.0,1.0,5348.0,0.0,4200.42616,0.013541724137,0.0640334719367953,0.0096890543725642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,CSI300.קסם,IL0011627838,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,סין,TASE,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה - מדד אחר",לא,ILS,2277.0,1.0,27300.0,0.0,621.621,0.000792509962,0.009476312484165328,0.0014338830010828547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,אי.בי.אי קרנות נאמנות בעמ,513765339.0,ח.פ.,NASDAQ 100.IBI,IL0012004508,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,59617.0,1.0,6445.0,0.0,3842.31565,0.0119234,0.058574249843874035,0.008863006712015231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
