מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,ענף מסחר,נכס בסיס,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,בזק,520031931,ח.פ.,BZ P 200 OCT,IL0858729432,ISIN,מדד,ישראל,ישראל,TASE,תקשורת ומדיה,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,200.0,-307.48,1.0,0.0,0.0,0.0,0.0
209,12119.0,"אלומיי קפיטל בע""מ",520039868,ח.פ.,אלומיי אפ 2,IL0012030826,ISIN,מדד,ישראל,ישראל,TASE,אנרגיה מתחדשת,מניות לרבות מדדי מניות,2028-01-05,לא,ILS,8000.0,14.93,1.0,646.6,0.09655,1.4e-05,0.0
209,12119.0,בזק,520031931,ח.פ.,BZ C 185 NOV,IL0859439262,ISIN,מדד,ישראל,ישראל,TASE,תקשורת ומדיה,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,185.0,259.1,1.0,473100.0,1225.81246,0.182299,0.000109
209,12119.0,"בנק הפועלים בע""מ",520000118,ח.פ.,PL C 2000 NOV,IL0859282084,ISIN,מניה,ישראל,ישראל,TASE,בנקים,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,2000.0,34.67,1.0,4745300.0,1645.3023,0.244685,0.000146
209,12119.0,בזק,520031931,ח.פ.,BZ C 200  OCT,IL0858727113,ISIN,מדד,ישראל,ישראל,TASE,תקשורת ומדיה,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,200.0,307.48,1.0,457500.0,1406.71003,0.209202,0.000125
209,12119.0,"בנק הפועלים בע""מ",520000118,ח.פ.,PL C 1900 OCT,IL0859099926,ISIN,מניה,ישראל,ישראל,TASE,בנקים,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,1900.0,25.25,1.0,4838500.0,1221.517,0.18166,0.000109
209,12119.0,"בנק הפועלים בע""מ",520000118,ח.פ.,PL P 1900 OCT,IL0859106283,ISIN,מניה,ישראל,ישראל,TASE,בנקים,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,1900.0,-25.25,1.0,500.0,-0.12623,-1.8e-05,0.0
209,12119.0,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,LM C 1950 OCT,IL0859084084,ISIN,מניה,ישראל,ישראל,TASE,בנקים,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,1950.0,1.48,1.0,4585700.0,67.86024,0.010092,6e-06
209,12119.0,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,LM P 1950 OCT,IL0859090347,ISIN,מניה,ישראל,ישראל,TASE,בנקים,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,1950.0,-1.48,1.0,0.0,0.0,0.0,0.0
209,12119.0,"בנק הפועלים בע""מ",520000118,ח.פ.,PL P 2000 NOV,IL0859284304,ISIN,מניה,ישראל,ישראל,TASE,בנקים,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,2000.0,-34.67,1.0,0.0,0.0,0.0,0.0
209,12119.0,בזק,520031931,ח.פ.,BZ P 185 NOV,IL0859441482,ISIN,מדד,ישראל,ישראל,TASE,תקשורת ומדיה,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,185.0,-259.1,1.0,0.0,0.0,0.0,0.0
209,12119.0,"טכנולוגיות גילוי אש וגזים בע""מ",515615409,ח.פ.,טכ גילויאש אפ 3,IL0012021189,ISIN,מדד,ישראל,ישראל,TASE,השקעות בהיי-טק,מניות לרבות מדדי מניות,2025-12-25,לא,ILS,1050.0,4823.75,1.0,82.7,3.98924,0.000593,0.0
209,12119.0,"אנלייט אנרגיה מתחדשת בע""מ",520041146,ח.פ.,EN P 2700 OCT,85876480,פנימי,מדד,ישראל,ישראל,TASE,אנרגיה מתחדשת,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,2700.0,-5.77,1.0,200.0,-0.01154,-1e-06,0.0
209,12119.0,"אנלייט אנרגיה מתחדשת בע""מ",520041146,ח.פ.,EN C 2700 OCT,85876134,פנימי,מדד,ישראל,ישראל,TASE,אנרגיה מתחדשת,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,2700.0,5.77,1.0,7499300.0,432.8078,0.064366,3.8e-05
209,12119.0,APOLLO MANAGEMENT HOLDINGS,254900LMFT1CY9IYB476,LEI,APO US 01/16/26 P110 Equity,Z968NJH22,ISIN,מניה,"חו""ל","ארה""ב",NYSE,Other,מניות לרבות מדדי מניות,2026-01-16,לא,USD,110.0,0.0,3.306,284.0,-1e-05,0.0,0.0
209,12119.0,alphabet,5493006MHB84DD0ZWV18,LEI,GOOG US 10/17/25 C260 Equity,Z96YLFB05,ISIN,מניה,"חו""ל","ארה""ב",NYSE,"Technology Hardware, Storage & Peripherals",מניות לרבות מדדי מניות,2025-10-17,לא,USD,260.0,0.0,3.306,156.0,-1e-05,0.0,0.0
209,12119.0,JPMORGAN,K6Q0W1PS1L1O4IQL9C32,LEI,JPM US 10/17/25 C325 Equity,Z9766DY51,ISIN,מניה,"חו""ל","ארה""ב",NYSE,Financial Services,מניות לרבות מדדי מניות,2025-10-17,לא,USD,325.0,0.0,3.306,375.0,-5e-05,0.0,0.0
209,12119.0,AMAZON.CON INC,ZXTILKJKG63JELOEG630,LEI,AMZN US 01/16/26 C270 Equity,Z96J4M6J7,ISIN,מניה,"חו""ל","ארה""ב",NYSE,Wireless Telecommunication Services,מניות לרבות מדדי מניות,2026-01-16,לא,USD,270.0,0.0,3.306,272.0,-7e-05,0.0,0.0
209,12119.0,INTUIT INC,5493000IAPVTNCMGSU03,LEI,INTU US 01/16/26 P560 Equity,Z968NWCL6,ISIN,מניה,"חו""ל","ארה""ב",NYSE,Software,מניות לרבות מדדי מניות,2026-01-16,לא,USD,560.0,0.0,3.306,750.0,-1e-05,0.0,0.0
209,12119.0,JPMORGAN,K6Q0W1PS1L1O4IQL9C32,LEI,JPM US 12/19/25 C325 Equity,Z971DF2A3,ISIN,מניה,"חו""ל","ארה""ב",NYSE,Financial Services,מניות לרבות מדדי מניות,2025-12-19,לא,USD,325.0,0.0,3.306,995.0,-8e-05,0.0,0.0
209,12119.0,CITIGROUP,1406,פנימי,C US 12/19/25 C100 Equity,Z971WECH9,ISIN,מניה,"חו""ל","ארה""ב",NYSE,Financial Services,מניות לרבות מדדי מניות,2025-12-19,לא,USD,100.0,0.0,3.306,655.0,-0.00015,0.0,0.0
209,12119.0,BOEING,RVHJWBXLJ1RFUBSY1F30,LEI,BA US 01/16/26 C270 Equity,Z968NM7Q3,ISIN,מניה,"חו""ל","ארה""ב",NYSE,Aerospace & Defense,מניות לרבות מדדי מניות,2026-01-16,לא,USD,270.0,0.0,3.306,299.0,-2e-05,0.0,0.0
209,12119.0,BROADCOM,549300WV6GIDOZJTV909,LEI,AVGO US 10/17/25 C410 Equity,Z976KJHE2,ISIN,מניה,"חו""ל","ארה""ב",NYSE,Semiconductors & Semiconductor Equipment,מניות לרבות מדדי מניות,2025-10-17,לא,USD,410.0,0.0,3.306,32.0,0.0,0.0,0.0
209,12119.0,Microchip Technology Inc,B3DXGBC8GAIYWI2Z0172,LEI,MU US 12/19/25 C150 Equity,Z96DWWC43,ISIN,מניה,"חו""ל","ארה""ב",NYSE,"Electronic Equipment, Instruments & Components",מניות לרבות מדדי מניות,2025-12-19,לא,USD,150.0,0.0,3.306,2565.0,-0.00016,0.0,0.0
209,12119.0,PRICELINE GROUP INC,2919,פנימי,BKNG US 12/19/25 P4900 Equity,Z96QJ7SN5,ISIN,מניה,"חו""ל","ארה""ב",NYSE,Diversified Consumer Services,מניות לרבות מדדי מניות,2025-12-19,לא,USD,4900.0,0.0,3.306,11437.0,-0.0002,0.0,0.0
