מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,"הכשרה חברה לביטוח בע""מ",520042177,ח.פ.,הכש חב בטוח אגח 4,IL0011560252,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,ביטוח,לא,Baa2.il,מידרוג Moodys,נייר ערך,ILS,2.09,2028-01-01,0.0712,0.0573,החוב לא נחות,,23895.37,1.0,104.83,,25.04952,,,,0.001975,1.9e-05,2e-06
209,12119.0,"רני צים מרכזי קניות בע""מ",514353671,ח.פ.,רני צים אגח ד,IL0012189739,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilA-,S&P מעלות,נייר ערך,ILS,5.08,2031-06-30,0.0344,0.0342,החוב לא נחות,,496377.6,1.0,104.91,,520.74974,,,,0.00101,0.000415,4.6e-05
209,12119.0,"ש.שלמה החזקות בע""מ",520034372,ח.פ.,שלמה החז אגח יט,IL0011927311,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,ליסינג,לא,ilAA,S&P מעלות,נייר ערך,ILS,2.94,2031-12-20,0.0456,0.0471,החוב לא נחות,,35675.17,1.0,99.96,,35.6609,,,,4.5e-05,2.8e-05,3e-06
209,12119.0,"תנופורט (1990) בע""מ",511519829,ח.פ.,תנופורט אגח ב,IL0011899197,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,NR,NR,NR,ILS,1.19,2026-12-31,0.0343,0.0347,החוב לא נחות,,1798111.68,1.0,112.06,,2014.96395,,,,0.002587,0.001606,0.000179
209,12119.0,"ישרס חברה להשקעות בע""מ",520017807,ח.פ.,ישרס אגח יט,IL0061303488,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,Aa3.il,מידרוג Moodys,נייר ערך,ILS,5.36,2036-03-31,0.015,0.0305,החוב לא נחות,,161255.97,1.0,105.5,,170.12505,,,,0.000154,0.000135,1.5e-05
209,12119.0,"קבוצת עזריאלי בע""מ",510960719,ח.פ.,עזריאלי אגח ה,IL0011566036,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,Aa1.il,מידרוג Moodys,נייר ערך,ILS,1.7,2028-06-30,0.0177,0.0292,החוב לא נחות,,2544838.44,1.0,116.94,,2975.93408,,,,0.001046,0.002371,0.000264
209,12119.0,"קבוצת דלק בע""מ",520044322,ח.פ.,דלק קבוצה אגח מ,IL0012173899,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,חיפושי נפט וגז,לא,ilA-,S&P מעלות,נייר ערך,ILS,5.34,2033-06-30,0.0569,0.0547,החוב לא נחות,,1069886.92,1.0,103.02,,1102.19751,,,,0.000684,0.000877,9.7e-05
209,12119.0,"ג'י סיטי בע""מ",520033234,ח.פ.,ג'י סיטי אגח כא-הפחתה,IL0012127523,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,חסום,TASE,"נדל""ן מניב בחו""ל",לא,A3.il,מידרוג Moodys,נייר ערך,ILS,3.82,2031-03-31,0.04,0.0457,החוב לא נחות,,715470.6,1.0,100.71,,720.55044,,,,0.000966,0.000574,6.4e-05
209,12119.0,אלבר,512025891,ח.פ.,אלבר אגח כב,IL0012160359,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,שירותים,לא,ilA+,S&P מעלות,נייר ערך,ILS,3.13,2032-10-20,0.0545,0.053,החוב לא נחות,,397483.66,1.0,101.88,,404.95636,,,,0.000629,0.000322,3.6e-05
209,12119.0,"ישרס חברה להשקעות בע""מ",520017807,ח.פ.,ישרס אגח טז,IL0061302233,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,Aa3.il,מידרוג Moodys,נייר ערך,ILS,3.22,2031-07-30,0.024,0.0292,החוב לא נחות,,319861.1,1.0,118.32,,378.45965,,,,0.00031,0.0003,3.3e-05
