מספר קרן,מספר מסלול,מאפיין עיקרי,חודש הנפקת שכבה,חודש הבדיקה,"שווי הנכסים באפיק (באלפי ש""ח)",שיעור מסך נכסי ההשקעה
209,12119.0,החזקה באפיק השקעה מובטח תשואה,,,3267196.80393,0.291596
209,13335.0,החזקה באפיק השקעה מובטח תשואה,,,2930285.51352,0.135662
209,14285.0,החזקה באפיק השקעה מובטח תשואה,,,5964.03429,0.12997
209,14286.0,החזקה באפיק השקעה מובטח תשואה,,,15448.20453,0.13178
209,15217.0,החזקה באפיק השקעה מובטח תשואה,,,2425.63096,0.141743
209,15218.0,החזקה באפיק השקעה מובטח תשואה,,,58538.77186,0.115144
209,15219.0,החזקה באפיק השקעה מובטח תשואה,,,112182.48195,0.130463
209,2187.0,החזקה באפיק השקעה מובטח תשואה,,,1714457.4644,0.129236
209,2188.0,החזקה באפיק השקעה מובטח תשואה,,,27235.66421,0.133902
209,2189.0,החזקה באפיק השקעה מובטח תשואה,,,21257.19847,0.139934
209,2201.0,החזקה באפיק השקעה מובטח תשואה,,,166768.55846,0.309749
209,9974.0,החזקה באפיק השקעה מובטח תשואה,,,7733824.67359,0.1322
209,9975.0,החזקה באפיק השקעה מובטח תשואה,,,1798139.3575,0.131358
209,9976.0,החזקה באפיק השקעה מובטח תשואה,,,740316.86199,0.132076
209,9979.0,החזקה באפיק השקעה מובטח תשואה,,,9882.23666,0.144586
209,9984.0,החזקה באפיק השקעה מובטח תשואה,,,141185.0979,0.13642
347,347.0,החזקה באפיק השקעה מובטח תשואה,,,2949.50036,0.001492
347,347.0,החזקה באפיק השקעה מובטח תשואה,,,20148.04785,0.010198
209,9987.0,,,,,
325,325.0,,,,,
389,389.0,,,,,
671,12120.0,,,,,
671,13465.0,,,,,
671,14082.0,,,,,
671,14287.0,,,,,
671,14288.0,,,,,
671,15220.0,,,,,
671,15221.0,,,,,
671,15222.0,,,,,
671,15223.0,,,,,
671,15224.0,,,,,
671,2202.0,,,,,
671,7234.0,,,,,
671,7235.0,,,,,
671,7236.0,,,,,
671,8318.0,,,,,
671,8319.0,,,,,
671,8320.0,,,,,
סיום מידע טבלה,,,,,,
