"שם גיליון
(רלוונטי לגיליונות עם עמודה ""מאפיין עיקרי"")",שם עמודה,אפשרות בחירה,הערות והסברים,Unnamed: 4
,"ישראל/חו""ל ",ישראל,,
,,"חו""ל",,
,"מדינה לפי חשיפה כלכלית; מדינת התאגדות קרן השקעה, מיקום משרד השותף הכללי, מדינת מיקום נדל""ן",ישראל,,
,,אוסטריה,,
,,אוסטרליה,,
,,אזור תעלת פנמה,,
,,אזרביג'אן,,
,,איחוד האמירויות הערביות,,
,,איטליה,,
,,איי הבתולה הבריטיים,,נוסף במסגרת עדכון הרשימה
,,איי הבתולה של ארצות הברית,,נוסף במסגרת עדכון הרשימה
,,איי סיישל,,
,,איי קיימן,,
,,איי שלמה הבריטיים,,
,,איסלנד,,
,,אירלנד,,
,,אנדורה,,
,,אסטוניה,,
,,ארגנטינה,,
,,"ארה""ב",,
,,אתיופיה,,
,,בהמס,,
,,בולגריה,,
,,בוליביה,,
,,בחריין,,
,,בלגיה,,
,,בליז,,
,,ברזיל,,
,,בריטניה,,
,,ברמודה,,
,,גאורגיה,,
,,גיברלטר,,
,,גמייקה,,
,,גרמניה,,
,,ג'רזי (Jersey),,נוסף במסגרת עדכון הרשימה
,,גרנזי (Guernsey),,נוסף במסגרת עדכון הרשימה
,,דנמרק,,
,,דרום אפריקה,,
,,דרום קוריאה,,נוסף במסגרת עדכון הרשימה
,,הודו,,
,,הולנד,,
,,הונג קונג,,
,,הונגריה,,
,,הונדורס,,
,,טייוואן,,נוסף במסגרת עדכון הרשימה
,,יוון,,
,,יפן,,
,,ירדן,,
,,לוכסמבורג,,
,,לטביה,,
,,ליטא,,
,,ליכטנשטיין,,
,,מאוריציוס,,
,,מולדובה,,
,,מונקו,,
,,מלדיבים,,
,,מלטה,,
,,מלזיה,,
,,מצרים,,
,,מקסיקו,,
,,מרוקו,,
,,נורבגיה,,נוסף במסגרת עדכון הרשימה
,,ניו זילנד,,
,,סין,,
,,סינגפור,,
,,סלובניה,,
,,סלובקיה,,
,,ספרד,,
,,סרביה,,
,,ערב הסעודית,,
,,פולין,,
,,פורטוגל,,
,,פינלנד,,
,,פנמה,,
,,צילה,,
,,צכיה,,
,,צרפת,,
,,קנדה,,
,,קפריסין,,
,,רומניה,,
,,רוסיה,,
,,שוודיה,,
,,שוויץ,,
,,תורכיה,,
,,אסיה,,
,,אפריקה,,
,,אמריקה הצפונית,,
,,אמריקה הדרומית,,
,,אירופה,,
,,אוקיאניה,,
,,"גלובלי ללא ארה""ב",,
,,גלובלי,,
,,Emerging Markets - Americas,שווקים מתעוררים לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
,,"Emerging Markets - Euope, Middle East & Africa",לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
,,Emerging Markets - Asia,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
,,Developed Markets - Americas,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
,,Developed Markets - Europe,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
,,Developed Markets - Pacific,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
,,Frontier Markets - Euope,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
,,Frontier Markets - Africa,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
,,Frontier Markets - Middle East,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
,,Frontier Markets - Asia,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
,סוג מספר מזהה מנפיק,ח.פ.,,
,,מספר מנפיק,,
,,מספר שותפות,,
,,"מספר תאגיד או שותפות בחו""ל",,
,,פנימי,,
,,LEI,,
,,אחר,,
,סוג מספר מזהה בנק,ח.פ.,,
,,סימול בנק,,
,,SWIFT,,
,סוג מספר מזהה מנהל קרן השקעות,ח.פ.,,
,,מספר שותפות,,
,,"מספר תאגיד או שותפות בחו""ל",,
,,LEI,,
,סוג מספר מזהה לווה,ח.פ.,,
,,מרשם,,
,,"מספר תאגיד או שותפות בחו""ל",,
,,פנימי,,
,,מספר שותפות,,
,,"ת""ז",,
,,דרכון,,
,,LEI,,
,,אחר,,
,סוג מספר נייר ערך,ISIN,,
,,OCC,,
,,FIGI,,
,,טיקר,,
,,פנימי,,
,סוג מספר קרן השקעה,ISIN,,
,,פנימי,,
,,אחר,,
,סטאטוס סחירות,סחיר,,
,,לא סחיר,,נוסף במסגרת עדכון הרשימה
,,חסום,"ני""ע אשר מכירתו מוגבלת לפי הוראות דין או חוזה לתקופה שנקבעה.",
,,השעיה,"ני""ע שהמסחר בו בזירת המסחר בה הור נסחר הופסק לפרק זמן ",
,,בהשאלה,,
,,לא חסום בהשעיה,,
,,לא חסום בהשאלה,,
,,חסום בהשעיה,,
,,חסום בהשאלה,,
,,בשלבי רישום למסחר,,
,,אחר,,
,בעל  עניין/צד קשור,כן,,
,,לא,,
,זירת מסחר,TASE,TASE - Tel Aviv Stock Exchange,
,,TASE-UP,פלטפורמת TASE-UP,
,,NYSE,NYSE - New York Stock Exchange,
,,NASDAQ,NASDAQ - National Association of Securities Dealers Automated Quotations,
,,JPX,JPX - Japan Exchange Group,
,,AMEX,AMEX - American Stock Exchange,
,,ADX,ADX - Abu Dhabi Securities Exchange,
,,ASX,ASX -  Australian Securities Exchange,
,,BOVESPA,BOVESPA -  Brazilian Stock Exchange,
,,BSE,BSE - Bombay Stock Exchange,
,,CBOE,CBOE - Chicago Board Options Exchange,
,,CME,CME - Chicago Mercantile Exchange,
,,EURONEXT,EURONEXT - Euronext Group Stock Exchange,
,,EUREX,EUREX - Eurex Exchange,
,,FWB,FWB - Frankfurt Stock Exchange,
,,HKSE,HKSE - Hong Kong Stock Exchange,
,,ICE,ICE - Intercontinental Exchange,
,,ISE,ISE - Irish Stock Exchange,
,,JSE,JSE - Johannesburg Stock Exchange,
,,KRX,KRX - Korea Exchange,
,,LSE,LSE - London Stock Exchange,
,,MICEX - RTS,MICEX- RTS - Moscow Exchange,
,,NASDAQD,NASDAQD - NASDAQ Dubai,
,,NSE,NSE - National Stock Exchange of India,
,,SSE,SSE - Shanghai Stock Exchange,
,,SZSE,SZSE - Shenzen Stock Market,
,,SGX,SGX - Singapore Exchange,
,,BME,BME - Spanish Exchanges,
,,SIX,SIX - Swiss Exchange,
,,TSEC,TSEC - Taiwan Stock Exchange Corporation,
,,TSE,TSE - Tokyo Stock Exchange,
,,TSX,TSX - Toronto Stock Exchange,
,,FOREIGN_GOV_SEC,"זירת מסחר פיקטבית עבור הדיווח של אג""ח שהנפיקה ממשלה זרה",נוסף במסגרת עדכון הרשימה
,,אחר,אחר,
,דירוג נייר הערך/הלוואה/המנפיק ,נייר ערך,,
,,הלוואה,,
,,מנפיק,,
,,NR,,
,נחיתות חוזית,החוב נחות,,
,,החוב לא נחות,,
,שם מדרג,S&P מעלות,"סטנדרד & פורסס מעלות בע""מ (S&P)",
,,מידרוג Moodys,"מידרוג בע""מ (Moody's)",
,,פנימי,פנימי,
,,AM Best,"A.M Best Company, Inc",
,,DBRS,DBRS Ratings Limited.,
,,Egan-Jones,Egan-Jones Ratings Co.,
,,Fitch,"Fitch Investors Service, L.P.",
,,HR Ratings,"HR Ratings de México, S.A. de C.V.",
,,Japan Credit,Japan Credit Rating Agency Ltd.,
,,Kroll,"Kroll Bond Rating Agency, Inc",
,,Moodys,Moody's Investor Service,
,,S&P,Standard & Poor's Corporation,
,,אחר,אחר,
,,NR,Not rated,
