מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,מאפיין עיקרי,מאפיין הלוואות מתואמות עבור זכויות מקרקעין,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,קונסורציום/ סינדיקציה,מספר קונסורציום/ סינדיקציה,תאריך העמדת הלוואה,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,"מח""מ",סוג הריבית,שיעור ריבית,סוג הצמדה,ריבית עוגן,שיעור תוספת/הפחתה לריבית העוגן,תשואה לפדיון,מועד פדיון,נחיתות חוזית,סוג בטוחה,שווי הבטוחות העומדות כנגד ההלוואה,שיעור הבטוחות מהחוב,מועד עדכון אחרון לשווי הבטוחות,זכות חזרה,מבנה לוח סילוקין,יעוד הלוואה,זכות פירעון מוקדם,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,שיעור ריבית בגין אי-ניצול מסגרת האשראי,ערך נקוב,שער הלוואה,שער חליפין,"שווי הוגן (באלפי ש""ח)",שווי הוגן (במטבע הפעילות),"עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),האם סווג כחוב בעייתי,השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,,,,1512601.0,תאגיד,,ישראל,,תשתיות,לא,לא,,2024-01-11,A1.il,מידרוג Moodys,הלוואה,ILS,0.01,קבועה,0.0,,,,0.0001,2029-06-11,החוב לא נחות,,,,2023-12-28 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,9452.77,100.0,1.0,9.45277,9.45277,,,,,3.2e-05,0.0
209,12119.0,,,,10049956.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-01-15,A1.il,מידרוג Moodys,הלוואה,ILS,3.303,משתנה,0.066,,,,0.026,2029-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,22223.37,98.54,1.0,21.89891,21.89891,,,,,7.5e-05,1e-06
209,12119.0,,,,10049955.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-01-15,A1.il,מידרוג Moodys,הלוואה,ILS,2.3585,משתנה,0.066,,,,0.026,2028-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,27179.31,98.96,1.0,26.89665,26.89665,,,,,9.2e-05,2e-06
209,12119.0,,,,10049954.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2024-12-16,A1.il,מידרוג Moodys,הלוואה,ILS,1.3961,משתנה,0.066,,,,0.0181,2027-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,88690.39,100.12,1.0,88.79682,88.79682,,,,,0.000305,7e-06
209,12119.0,,,,10049953.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2024-11-18,A1.il,מידרוג Moodys,הלוואה,ILS,1.3961,משתנה,0.066,,,,0.0183,2027-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,127226.39,100.08,1.0,127.32817,127.32817,,,,,0.000437,1.1e-05
209,12119.0,,,,10049952.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2024-10-15,A1.il,מידרוג Moodys,הלוואה,ILS,3.3047,משתנה,0.066,,,,0.0182,2029-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,17982.74,101.04,1.0,18.16976,18.16976,,,,,6.2e-05,1e-06
209,12119.0,,,,10049951.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2024-10-15,A1.il,מידרוג Moodys,הלוואה,ILS,1.3962,משתנה,0.066,,,,0.0176,2027-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,95107.38,100.53,1.0,95.61145,95.61145,,,,,0.000328,8e-06
209,12119.0,,,,10049950.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2024-09-15,A1.il,מידרוג Moodys,הלוואה,ILS,1.3962,משתנה,0.066,,,,0.0153,2027-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,84817.6,100.85,1.0,85.53855,85.53855,,,,,0.000293,7e-06
209,12119.0,,,,10049949.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2024-08-01,A1.il,מידרוג Moodys,הלוואה,ILS,3.3055,משתנה,0.066,,,,0.015,2029-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,19612.53,102.1,1.0,20.0244,20.0244,,,,,6.8e-05,1e-06
209,12119.0,,,,10049948.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2024-08-01,A1.il,מידרוג Moodys,הלוואה,ILS,1.3962,משתנה,0.066,,,,0.0145,2027-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,127404.63,100.97,1.0,128.64046,128.64046,,,,,0.000442,1.1e-05
