מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,9974.0,מצדה 3,"נדל""ן מניב",ישראל,לא,2022-01-26,משרדים,בשימוש,"מצדה 3, בני ברק",0.0047,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,100703.95826,100703.95826,,,,0.396115,0.001721
209,9974.0,ריטליקס,"נדל""ן מניב",ישראל,לא,2023-12-27,משרדים,בשימוש,"הדפנה 9, רעננה",-0.0035,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,26386.27229,26386.27229,,,,0.103789,0.000451
209,9974.0,קניון רננים,"נדל""ן מניב",ישראל,לא,2022-03-31,מסחר,בשימוש,"המלאכה 2, רעננה",0.0106,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,55512.58339,55512.58339,,,,0.218356,0.000948
209,9974.0,קניון סביונים,"נדל""ן מניב",ישראל,לא,2022-03-31,מסחר,בשימוש,"דרך משה דיין 3, יהוד",0.0103,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,12300.68615,12300.68615,,,,0.048384,0.00021
209,9974.0,חניון בית נח,"נדל""ן מניב",ישראל,לא,2023-07-30,חניון,בשימוש,"זבוטינסקי 155, רמת גן",0.015,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,5062.72866,5062.72866,,,,0.019914,8.6e-05
209,9974.0,בית פריסקייל,"נדל""ן מניב",ישראל,לא,2022-09-29,משרדים,בשימוש,"אריה שנקר 1, הרצליה פיתוח",0.0146,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,30743.27077,30743.27077,,,,0.120927,0.000525
209,9974.0,פטרה,"נדל""ן מניב",ישראל,לא,2022-03-30,משרדים,בשימוש,"יוסף ספיר 14, נתניה",0.0097,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,7559.33836,7559.33836,,,,0.029734,0.000129
209,9974.0,קניון מול זיכרון,"נדל""ן מניב",ישראל,לא,2022-07-28,מסחר,בשימוש,"אזור תעשייה מערבי, כביש 4,זכרון יעקב",0.0157,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,-0.00101,-0.00101,,,,0.0,0.0
209,9974.0,קניון ארנה,"נדל""ן מניב",ישראל,לא,2022-05-29,מסחר,בשימוש,"השונית 2, הרצליה",-0.0001,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,15960.00573,15960.00573,,,,0.062778,0.000272
347,347.0,מצדה 3,"נדל""ן מניב",ישראל,לא,2022-01-26,משרדים,בשימוש,"מצדה 3, בני ברק",0.0047,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,12203.36264,12203.36264,,,,1.0,0.006177
347,347.0,פטרה,"נדל""ן מניב",ישראל,לא,2022-03-30,משרדים,בשימוש,"יוסף ספיר 14, נתניה",0.0097,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,-0.00032,-0.00032,,,,0.0,0.0
671,7234.0,קניון רננים,"נדל""ן מניב",ישראל,לא,2022-03-31,מסחר,בשימוש,"המלאכה 2, רעננה",0.0106,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,864.4382,864.4382,,,,0.361567,0.000306
671,7234.0,פטרה,"נדל""ן מניב",ישראל,לא,2022-03-30,משרדים,בשימוש,"יוסף ספיר 14, נתניה",0.0097,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,128.93063,128.93063,,,,0.053927,4.5e-05
671,7234.0,בית פריסקייל,"נדל""ן מניב",ישראל,לא,2022-09-29,משרדים,בשימוש,"אריה שנקר 1, הרצליה פיתוח",0.0146,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,713.01314,713.01314,,,,0.298231,0.000252
671,7234.0,חניון בית נח,"נדל""ן מניב",ישראל,לא,2023-07-30,חניון,בשימוש,"זבוטינסקי 155, רמת גן",0.015,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,81.98745,81.98745,,,,0.034292,2.9e-05
671,7234.0,קניון סביונים,"נדל""ן מניב",ישראל,לא,2022-03-31,מסחר,בשימוש,"דרך משה דיין 3, יהוד",0.0103,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,191.54772,191.54772,,,,0.080118,6.7e-05
671,7234.0,ריטליקס,"נדל""ן מניב",ישראל,לא,2023-12-27,משרדים,בשימוש,"הדפנה 9, רעננה",-0.0035,,מומחה בלתי תלוי,,אי-תלות,2024-09-30,ILS,410.88737,410.88737,,,,0.171861,0.000145
