מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,"מסלקה חו""ל",K6Q0W1PS1L1O4IQL9C32,LEI,NKY INDEX,NKZ520257,ISIN,"חו""ל",יפן,CME,מניות לרבות מדדי מניות,לא,JPY,0.0,0.022332,4499000.0,0.00601,1e-06,0.0
209,12119.0,"מסלקה חו""ל",K6Q0W1PS1L1O4IQL9C32,LEI,NIFTY ILS INDEX,JGSV52024,ISIN,"חו""ל",הודו,CME,מניות לרבות מדדי מניות,לא,USD,0.0,3.306,2476150.0,-8e-05,0.0,0.0
209,12119.0,"מסלקה חו""ל",K6Q0W1PS1L1O4IQL9C32,LEI,NASDAQ 100 STOCK INDX,NQZ520254,ISIN,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,37.17,3.306,2490175.0,1016.2704,0.313926,9e-05
209,12119.0,"מסלקה חו""ל",K6Q0W1PS1L1O4IQL9C32,LEI,KOSPI2 INDEX,KSZ520253,ISIN,"חו""ל",דרום קוריאה,CME,מניות לרבות מדדי מניות,לא,KRW,0.0,0.002354,47585.0,0.00198,0.0,0.0
209,12119.0,"מסלקה חו""ל",K6Q0W1PS1L1O4IQL9C32,LEI,S&P/TSX 60 INDEX,PTZ520256,ISIN,"חו""ל",קנדה,CME,מניות לרבות מדדי מניות,לא,CAD,0.0,2.3745,177280.0,0.00037,0.0,0.0
209,12119.0,"מסלקה חו""ל",K6Q0W1PS1L1O4IQL9C32,LEI,MINI S&P500 INDEX,MEZ520252,ISIN,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,54.97,3.306,673875.0,709.01435,0.219014,6.2e-05
209,12119.0,"מסלקה חו""ל",K6Q0W1PS1L1O4IQL9C32,LEI,AS51 INDEX,XPZ520255,ISIN,"חו""ל",אוסטרליה,CME,מניות לרבות מדדי מניות,לא,AUD,0.0,2.1849,887300.0,-2e-05,0.0,0.0
209,12119.0,"מסלקה חו""ל",K6Q0W1PS1L1O4IQL9C32,LEI,RTY Index,RTSZ52028,ISIN,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,0.0,3.306,245550.0,-0.00019,0.0,0.0
209,12119.0,"מסלקה חו""ל",K6Q0W1PS1L1O4IQL9C32,LEI,DAX INDEX,GXZ520257,ISIN,"חו""ל",גרמניה,CME,מניות לרבות מדדי מניות,לא,EUR,0.0,3.8807,2401100.0,0.00043,0.0,0.0
209,12119.0,"מסלקה חו""ל",K6Q0W1PS1L1O4IQL9C32,LEI,FTSE 100 INDEX,ZZ5202556,ISIN,"חו""ל",בריטניה,CME,מניות לרבות מדדי מניות,לא,GBP,0.0,4.4409,940750.0,-0.00034,0.0,0.0
