מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה
209,12119.0,התחייבות להשקעה,Israel Infrastructure G.P. Management II L.P.,,,Stepstone Infrastructure Debt - Ares IDF,33999.0,פנימי,USD,2022-10-20,1187.02108,3924.29169,99.212743,327.99733,0.083581,2032-12-31
209,12119.0,התחייבות להשקעה,Stage One Capital (GP) III L.P,,,Coralogix -Stage one Ventures-C,33902.0,פנימי,USD,2021-06-30,136.227,450.366462,0.0,0.0,0.0,2030-12-31
209,12119.0,התחייבות להשקעה,Coller International GP IX,,,Coller IX C,34108.0,פנימי,USD,2024-06-20,373.857,1235.971242,96.097707,317.69902,0.257044,2030-12-31
209,12119.0,התחייבות להשקעה,Zeev Ventures VIII LLLC,,,Zeev Ventures VIII,33922.0,פנימי,USD,2021-09-20,678.078,2241.725868,1.025526,3.39039,0.001512,2030-12-31
209,12119.0,התחייבות להשקעה,PGEIF Phoenix GP S.a.r.l,,,Prime Green Energy Infrastructuer S.A,33938.0,פנימי,EUR,2022-01-27,374.999,1455.258619,6.648109,25.79932,0.017728,2030-12-31
209,12119.0,התחייבות להשקעה,PSC Credit IV,,,PSC Credit III,33905.0,פנימי,GBP,2021-07-20,1499.61127,6659.623689,121.753027,540.69302,0.081189,2030-12-31
209,12119.0,התחייבות להשקעה,EGIS,,,EGIS - Tikehau,39077.0,פנימי,EUR,2025-06-29,1679.599,6518.019839,222.263596,862.53834,0.132331,2035-06-29
209,12119.0,התחייבות להשקעה,GOCANVAS TOPCO LLC,,,GoCanvas,33904.0,פנימי,USD,2021-08-05,452.051,1494.480606,18.532413,61.26816,0.040996,2030-12-31
209,12119.0,התחייבות להשקעה,מילגם,,,Israel Postal Company דואר ישראל,34144.0,פנימי,ILS,2021-06-09,5074.634,5074.634,577.87506,577.87506,0.113875,2029-12-31
209,12119.0,התחייבות להשקעה,VIOLA CREDIT ALF GP,,,VIOLA CREDIT ALF III עמיתים לא ממונף,34117.0,פנימי,USD,2021-12-09,923.75247,3053.925666,84.552277,279.52983,0.091531,2032-10-01
209,12119.0,התחייבות להשקעה,MSI Express,,,MSI Express (Grove street IV),39053.0,פנימי,USD,2024-01-24,961.79664,3179.699692,97.056781,320.86972,0.100911,2035-12-31
209,12119.0,התחייבות להשקעה,New Mountain,,,New Mountain VII,34114.0,פנימי,USD,2024-11-04,2194.955,7256.52123,494.402861,1634.49586,0.225245,2029-12-31
209,12119.0,התחייבות להשקעה,VIOLA CREDIT ALF GP,,,VIOLA CREDIT ALF III עמיתים ממנוף,34118.0,פנימי,USD,2021-12-09,923.75247,3053.925666,188.561563,623.38453,0.204125,2032-10-01
209,12119.0,התחייבות להשקעה,PIMCO SpecFin,,,PIMCO SpecFin,39092.0,פנימי,USD,2025-08-12,2842.31526,9396.69425,435.954361,1441.26512,0.15338,2035-08-12
209,12119.0,התחייבות להשקעה,Northleaf Capital Partners (Canada) Ltd.,,,CSV 1 Northleaf CSV Co-Investment LP,34042.0,פנימי,CAD,2023-03-30,1025.258,2434.475121,6.520854,15.48377,0.00636,2030-12-31
209,12119.0,התחייבות להשקעה,Presidio Inc,,,Presidio III,39002.0,פנימי,USD,2021-06-09,1799.04758,5947.651299,408.713995,1351.20847,0.227183,2029-12-31
209,12119.0,התחייבות להשקעה,Israel Infrastructure G.P. Management II L.P.,,,Electra America Hospitality,33953.0,פנימי,USD,2022-04-14,1606.499,5311.085694,145.757592,481.8746,0.090729,2029-03-07
209,12119.0,התחייבות להשקעה,ABRY Advanced Securities Fund III,,,ABRY,39021.0,פנימי,USD,2022-02-01,1421.15765,4698.347191,167.956799,555.26518,0.118183,2029-12-31
209,12119.0,התחייבות להשקעה,Cyara,,,Cyara (K1 Co - Invest),39062.0,פנימי,USD,2025-04-15,254.87715,842.623858,0.0,0.0,0.0,2035-04-01
209,12119.0,התחייבות להשקעה,Silverstein DF I GP LLC,,,Silverstein (SCP),33936.0,פנימי,USD,2022-02-01,2354.25849,7783.178568,543.682574,1797.41459,0.230935,2030-12-31
209,12119.0,התחייבות להשקעה,EMK Capital LLP,,,EMK III,34021.0,פנימי,EUR,2024-06-11,1681.2,6524.23284,366.998157,1424.20975,0.218295,2030-12-31
209,12119.0,התחייבות להשקעה,K5 PRIVATE INVESTORS L/P,,,Cookie Monster Holdings L.P (ELMO),34090.0,פנימי,USD,2024-01-02,429.449,1419.758394,0.0,0.0,0.0,2030-12-31
209,12119.0,התחייבות להשקעה,Israel Infrastructure G.P. Management II L.P.,,,Schroders Julie II,33903.0,פנימי,EUR,2021-08-23,1256.63951,4876.640946,0.916113,3.55516,0.000729,2030-12-31
209,12119.0,התחייבות להשקעה,JCF Associates IV L.P.,,,JCF V Co-Invest River LP (Earth & River),39070.0,פנימי,GBP,2025-01-10,1033.49542,4589.649811,0.0,0.0,0.0,2035-05-01
209,12119.0,התחייבות להשקעה,Gatewood Capital GP II LLC,,,Gatewood  II,33934.0,פנימי,USD,2022-01-19,896.64,2964.29184,182.269869,602.58419,0.20328,2030-12-31
209,12119.0,התחייבות להשקעה,Coller IX GP-led,,,Coller IX GP-led,34096.0,פנימי,USD,2024-08-20,623.095,2059.95207,162.637912,537.68094,0.261016,2030-12-31
209,12119.0,התחייבות להשקעה,GENERAL ATLANTIC,,,General Atlantic- nerdio,39079.0,פנימי,USD,2025-06-28,379.759,1255.483254,0.0,0.0,0.0,2035-05-01
209,12119.0,התחייבות להשקעה,Titan Co-Invest (CBAM),,,Titan Co-Invest (CBAM-TrinityBridge),39009.0,פנימי,GBP,2025-02-28,932.44253,4140.884031,27.422459,121.7804,0.029409,2035-12-31
209,12119.0,התחייבות להשקעה,CVC Credit,,,CVC EUDL IV,34120.0,פנימי,EUR,2022-07-28,2842.3153,11030.172985,644.953691,2502.87179,0.226911,2029-12-31
209,12119.0,התחייבות להשקעה,Northleaf NICP III GP Ltd.,,,UK Fiber -Northleaf,33930.0,פנימי,GBP,2021-12-20,224.999,999.198059,0.0,0.0,0.0,2030-12-31
209,12119.0,התחייבות להשקעה,K1 Investment Management LLC,,,K5,33898.0,פנימי,USD,2021-06-28,2260.262,7472.426172,197.202779,651.95239,0.087247,2030-12-31
209,12119.0,התחייבות להשקעה,StepStone Capital V (GP) LLC,,,StepStone Capital Partners V,33962.0,פנימי,USD,2022-07-05,1681.2,5558.0472,111.377271,368.21326,0.066248,2032-06-01
209,12119.0,התחייבות להשקעה,AlbaCore Capital LLP,,,AC Strategic Investments-USA,33660.0,פנימי,USD,2020-11-03,61.31505,202.707555,5.047695,16.68768,0.082323,2030-12-31
209,12119.0,התחייבות להשקעה,Israel Infrastructure G.P. Management II L.P.,,,ISQ,33887.0,פנימי,USD,2021-11-10,1187.02108,3924.29169,299.641887,990.61608,0.252431,2030-12-31
209,12119.0,התחייבות להשקעה,Bridge logistics value fund II R2,,,Bridge logistics value fund II R2- pension,39027.0,פנימי,USD,2024-12-19,940.524,3109.372344,109.116173,360.73807,0.116016,2035-12-31
209,12119.0,התחייבות להשקעה,Kain MDN GP LLC,,,MDN,33956.0,פנימי,USD,2022-05-03,511.06,1689.56436,0.0,0.0,0.0,2030-12-31
209,12119.0,התחייבות להשקעה,Pantheon- Project Cardinal,,,Pantheon- Project Cardinal,39086.0,פנימי,USD,2025-07-29,1221.86118,4039.473061,43.998687,145.45966,0.036009,2035-07-29
209,12119.0,התחייבות להשקעה,Mill Point Capital Partners GP III L.P,,,Aeritek (Mill Point Co Invest),39007.0,פנימי,USD,2021-06-09,240.66173,795.627679,0.0,0.0,0.0,2029-12-31
209,12119.0,התחייבות להשקעה,TIKEHAU GENERAL PARTNER II S..r.l,,,TDL      IV,33389.0,פנימי,EUR,2018-12-27,1294.55276,5023.770896,23.435594,90.94651,0.018103,2030-12-31
209,12119.0,התחייבות להשקעה,NICP IV GP LLC,,,NICP IV Pension,34055.0,פנימי,USD,2023-08-17,374.999,1239.746694,71.077177,234.98115,0.189539,2030-12-31
209,12119.0,התחייבות להשקעה,Coller IX,,,Coller IX A,39052.0,פנימי,USD,2025-02-13,343.671,1136.176326,77.098015,254.88604,0.224336,2035-12-31
209,12119.0,התחייבות להשקעה,Sprott Resource Lending Corp.,,,Sprott Private RL III,34010.0,פנימי,USD,2022-11-28,2176.20529,7194.534689,316.720036,1047.07644,0.145537,2031-07-01
209,12119.0,התחייבות להשקעה,Israel Infrastructure G.P. Management II L.P.,,,Glilot Early Growth II,34084.0,פנימי,USD,2024-03-26,1054.469,3486.074514,274.928905,908.91496,0.260727,2030-12-31
209,12119.0,התחייבות להשקעה,Vgames,,,Vgames III,34082.0,פנימי,USD,2025-02-27,482.319,1594.546614,117.078342,387.061,0.24274,2033-12-31
209,12119.0,התחייבות להשקעה,AlbaCore Capital LLP,,,AC Investment Opportunities,33659.0,פנימי,EUR,2020-11-05,400.3477,1553.629319,83.50531,324.05906,0.208581,2030-12-31
209,12119.0,התחייבות להשקעה,NICP III GP LLC,,,NICP NORTHLEAF 3,33909.0,פנימי,USD,2021-07-29,1677.499,5545.811694,69.453021,229.61169,0.041402,2030-12-31
209,12119.0,התחייבות להשקעה,TIKEHAU GENERAL PARTNER V S. R.L.,,,TIKEHAU DIRECT LENDING V,33976.0,פנימי,EUR,2022-09-07,1849.77451,7178.419941,0.0,0.0,0.0,2030-12-31
209,12119.0,התחייבות להשקעה,FRUX Capital Fund II,,,FRUX sma deals,39058.0,פנימי,EUR,2021-02-04,648.35223,2516.060499,0.0,0.0,0.0,2033-12-31
209,12119.0,התחייבות להשקעה,American Industrial GP,,,American Industrial Partners VIII,34063.0,פנימי,USD,2024-04-25,1533.773,5070.653538,219.466672,725.55682,0.143089,2033-10-01
209,12119.0,התחייבות להשקעה,SUNSTAR,,,SUNSTAR,34135.0,פנימי,USD,2023-02-07,721.53291,2385.3878,54.562377,180.38322,0.07562,2030-12-31
209,12119.0,התחייבות להשקעה,דוראד,,,דוראד,39061.0,פנימי,ILS,2025-06-10,12755.884,12755.884,2040.46171,2040.46171,0.159962,2035-06-10
209,12119.0,התחייבות להשקעה,Vgames GP,,,Vgames I - Secondary,34119.0,פנימי,USD,2024-05-08,155.011,512.466366,3.468145,11.46569,0.022373,2025-12-31
209,12119.0,התחייבות להשקעה,Coller Credit Seconderies Fund II Annex I B,,,Coller Credit Seconderies Fund II Annex I B,39082.0,פנימי,USD,2018-12-27,710.57882,2349.173579,117.683185,389.06061,0.165615,2035-07-13
209,12119.0,התחייבות להשקעה,"Arclight fund VIII-B , L.P Pension",,,"Arclight fund VIII-B , L.P Pension",39074.0,פנימי,USD,2025-05-12,662.999,2191.874694,139.521158,461.25695,0.210439,2035-05-01
209,12119.0,התחייבות להשקעה,BATTERY VENTURES XIV AIV I CAYMAN LP,,,Battery XIV,33958.0,פנימי,USD,2022-07-18,1681.2,5558.0472,211.548545,699.37949,0.125831,2032-03-01
209,12119.0,התחייבות להשקעה,Cadence Delta GmbH & Co. KG,,,Cadence Growth Capital I,33990.0,פנימי,EUR,2022-09-19,394.521,1531.017645,31.411126,121.89716,0.079618,2032-08-01
209,12119.0,התחייבות להשקעה,ION Crossover Partners GP II L.P.,,,ION Crossover Partners II,33885.0,פנימי,USD,2021-06-15,2341.169,7739.904714,165.585816,547.42671,0.070727,2030-12-31
209,12119.0,התחייבות להשקעה,TRITIUM III LP,,,Tritium III,33941.0,פנימי,USD,2023-02-13,1681.2,5558.0472,304.332274,1006.1225,0.18102,2032-02-01
209,12119.0,התחייבות להשקעה,Pantheon Ventures LLP,,,"Pantheon Senior Debt Secondaries (""PSD"") Fund III",34102.0,פנימי,USD,2024-05-23,1807.23955,5974.733952,400.076222,1322.65199,0.221374,2030-12-31
209,12119.0,התחייבות להשקעה,Fattal Partnership III,,,Fattal Partnership III,34092.0,פנימי,EUR,2024-01-24,910.566,3533.633476,171.415742,665.21307,0.188251,2031-01-07
209,12119.0,התחייבות להשקעה,Vintage Secondary V GP L.P.,,,VINTAGE V,33987.0,פנימי,USD,2022-08-23,2260.262,7472.426172,235.40258,778.24093,0.104148,2030-12-31
209,12119.0,התחייבות להשקעה,Stage One Capital (GP) IV L.P.,,,Coralogix -Stage one Ventures-D,33974.0,פנימי,USD,2022-07-07,161.98,535.50588,0.0,0.0,0.0,2030-12-31
209,12119.0,התחייבות להשקעה, GCP Investments IV Limited Partnership,,,Glilot IV,33943.0,פנימי,USD,2022-03-08,784.56,2593.75536,93.336107,308.56917,0.118966,2030-12-31
209,12119.0,התחייבות להשקעה,Stepstone,,,Project OWL,33923.0,פנימי,USD,2021-09-28,395.67369,1308.097219,104.07388,344.06825,0.263029,2030-12-05
209,12119.0,התחייבות להשקעה,Apollo Advisors X L.P.  ,,,Apollo Overseas Partners (Delaware) X,34071.0,פנימי,USD,2023-08-16,1342.052,4436.823912,247.947819,819.71549,0.184752,2030-12-31
209,12119.0,התחייבות להשקעה,RAKIA CAPITAL GENERAL PARTNER LIMITED PARTNERSHIP,,,Rakia Capital,34020.0,פנימי,ILS,2022-12-21,5424.628,5424.628,571.85274,571.85274,0.105417,2032-10-01
209,12119.0,התחייבות להשקעה,Pereg Managment LLC,,,Bringg Investment,33886.0,פנימי,USD,2021-04-27,238.329,787.915674,0.0,0.0,0.0,2030-12-31
209,12119.0,התחייבות להשקעה,Coller International General Partner VII L.P.,,,Coller IX- Project Caelus-USD,34109.0,פנימי,USD,2024-03-27,962.7,3182.6862,53.763793,177.7431,0.055846,2030-12-31
209,12119.0,התחייבות להשקעה,AlbaCore Capital LLP,,,AC strategic investment-EUR,33655.0,פנימי,EUR,2020-11-03,210.78643,817.998899,0.002916,0.01132,1.3e-05,2030-12-31
209,12119.0,התחייבות להשקעה,MCL I (EMERALD – GSA IV,,,EMCL I (EMERALD - GROVE STREET IV),39076.0,פנימי,USD,2025-02-19,2137.32591,7065.999458,384.541055,1271.29273,0.179916,2035-05-01
209,12119.0,התחייבות להשקעה,ECP Terra-Gen Growth Fund LLC,,,Emerald Co-Invest,33878.0,פנימי,USD,2021-03-30,1768.286,5845.953516,64.419915,212.97224,0.03643,2030-12-31
209,12119.0,התחייבות להשקעה,Tikehau General Partner II S.a.r.l,,,Tikehau MPTDL,34009.0,פנימי,EUR,2022-11-28,1681.61319,6525.836306,69.920207,271.33935,0.041579,2030-12-31
209,12119.0,התחייבות להשקעה,Nuveen Energy Transition Enhanced Credit Fund II,,,Nuveen Project Carmen,39057.0,פנימי,EUR,2022-09-18,151.83534,589.227404,0.0,0.0,0.0,2032-12-31
209,12119.0,התחייבות להשקעה,Project Atlas (Zep),,,Project Atlas (Zep)- Stepstone C,39078.0,פנימי,USD,2025-06-15,534.35537,1766.578853,6.977598,23.06794,0.013057,2035-07-01
209,12119.0,התחייבות להשקעה,Cadence Delta GmbH & Co. KG,,,Everphone II,33981.0,פנימי,EUR,2022-08-01,156.058,605.614281,1.003007,3.89237,0.006427,2030-12-31
209,12119.0,התחייבות להשקעה,Clearlake Capital Partners VII GP LLC,,,Clearlake VII,33937.0,פנימי,USD,2022-04-21,1457.04,4816.97424,135.920396,449.35283,0.093285,2030-12-31
209,12119.0,התחייבות להשקעה,Cadence Delta GmbH & Co. KG,,,Everphone,33916.0,פנימי,EUR,2021-08-24,674.92,2619.162044,0.0,0.0,0.0,2030-12-31
209,12119.0,התחייבות להשקעה,Greenfield Partners GP Fund III LP,,,Greenfield Partners Fund III,34070.0,פנימי,USD,2023-08-15,1195.749,3953.146194,199.650828,660.04564,0.166967,2030-07-01
209,12119.0,התחייבות להשקעה,Asterion GP,,,Steage,34130.0,פנימי,EUR,2022-04-14,908.856,3526.997479,128.504823,498.68867,0.141391,2032-10-01
209,12119.0,התחייבות להשקעה,Grove Ventures Capital (GP) Ltd.,,,Active Fence,33891.0,פנימי,USD,2021-06-03,283.854,938.421324,0.0,0.0,0.0,2030-12-31
209,12119.0,התחייבות להשקעה,Israel Infrastructure G.P. Management II L.P.,,,גיזה זינגר אבן מזנין,33942.0,פנימי,ILS,2022-02-23,4323.36727,4323.36727,0.0,0.0,0.0,2030-12-31
209,12119.0,התחייבות להשקעה,Israel Infrastructure G.P. Management II L.P.,,,MADISON REALTY CAPITAL DEBT MA III LP,33975.0,פנימי,USD,2022-09-12,2522.41979,8339.119826,182.211094,602.38988,0.072236,2030-12-31
209,12119.0,התחייבות להשקעה,Northleaf NICP III GP Ltd.,,,UK FIBER (2),34146.0,פנימי,GBP,2021-12-20,220.588,979.609249,21.985007,97.63322,0.099665,2029-12-31
209,12119.0,התחייבות להשקעה,Greenfield Partners GP Fund II LP,,,Exodigo - Greenfield Co-Invest,34101.0,פנימי,USD,2024-02-22,84.124,278.113944,3e-06,1e-05,0.0,2034-02-01
209,12119.0,התחייבות להשקעה,BD Capital partners limited,,,BD Capital II,34113.0,פנימי,EUR,2024-05-15,2181.82363,8467.002961,465.882539,1807.95037,0.213528,2034-01-01
209,12119.0,התחייבות להשקעה,Israel Infrastructure G.P. Management II L.P.,,,Madison Realty Capital Debt Fund VI LP.,34033.0,פנימי,USD,2023-02-08,2522.41977,8339.11976,174.361575,576.43937,0.069124,2030-12-31
209,12119.0,התחייבות להשקעה,Fortissimo,,,Mgroup,39004.0,פנימי,ILS,2025-03-24,3391.036,3391.036,56.03057,56.03057,0.016523,2034-12-31
209,12119.0,התחייבות להשקעה,Stage One Capital (GP) IV L.P.,,,Stageone IV,33944.0,פנימי,USD,2022-03-15,904.105,2988.97113,156.168901,516.29439,0.172733,2030-12-31
209,12119.0,התחייבות להשקעה,Bainbridge Fund I,,,Bainbridge Fund I - pension,39032.0,פנימי,USD,2024-12-23,665.704,2200.817424,180.513529,596.77773,0.271161,2035-12-31
209,12119.0,התחייבות להשקעה,AlbaCore Capital LLP,,,AC Strategic Investments-GBP,33661.0,פנימי,GBP,2020-11-03,167.40872,743.445385,0.0,0.0,0.0,2030-12-31
209,12119.0,התחייבות להשקעה,LEFT LANE CAPITAL PARTNERS II-B LP,,,Left Lane II-B,33933.0,פנימי,USD,2022-01-05,2938.34,9714.15204,121.54447,401.82602,0.041365,2030-12-31
209,12119.0,התחייבות להשקעה,Warren Equity Partners GP IV LP,,,WEP IV עמיתים,34022.0,פנימי,USD,2023-01-17,1569.12,5187.51072,160.989673,532.23186,0.102598,2030-12-31
209,12119.0,התחייבות להשקעה,Goldman Sachs Asset Management LP,,,WS Strategic Solutions,33540.0,פנימי,USD,2020-12-08,677.07678,2238.415835,16.335429,54.00493,0.024126,2030-12-31
209,12119.0,התחייבות להשקעה,CVC Credit Partners European Direct Lending General Partner III S. r.l.,,,CVC Credit Partners European Direct Lending III,33966.0,פנימי,EUR,2022-07-28,1681.61317,6525.836229,46.505949,180.47564,0.027655,2028-06-30
209,12119.0,התחייבות להשקעה,Audax Management Company (NY) LLC (advisor),,,Audax IV,34005.0,פנימי,USD,2022-11-14,1261.05659,4169.053087,216.700973,716.41342,0.17184,2032-01-01
209,12119.0,התחייבות להשקעה,Team8 Capital II G.P. Ltd,,,Team8 Capital II,33998.0,פנימי,USD,2022-10-25,1040.915,3441.26499,113.354449,374.74981,0.108898,2034-10-01
209,12119.0,התחייבות להשקעה,Israel Infrastructure G.P. Management II L.P.,,,NOY IV,33889.0,פנימי,ILS,2021-05-13,14522.439,14522.439,937.08887,937.08887,0.064526,2030-12-31
209,12119.0,התחייבות להשקעה,S.H. SKY 3 Investment Management L.P.,,,Madison 5,33507.0,פנימי,USD,2020-03-27,1336.86197,4419.665673,96.446881,318.85339,0.072144,2030-12-31
209,12119.0,התחייבות להשקעה,PSG V-A L.P.,,,Providence Strategic Growth V-A L.P,33932.0,פנימי,USD,2021-12-27,2259.929,7471.325274,86.468889,285.86615,0.038261,2030-12-31
209,12119.0,התחייבות להשקעה,Cadence Delta GmbH & Co. KG,,,TINK,33872.0,פנימי,EUR,2021-03-31,622.951,2417.485946,0.0,0.0,0.0,2030-12-31
209,12119.0,התחייבות להשקעה,ECP V (CALIFORNIA CO-INVEST) LP,,,ECP V-California Co-Invest (atlantica),39013.0,פנימי,USD,2022-07-01,1009.84,3338.53104,0.0,0.0,0.0,2029-12-31
209,12119.0,התחייבות להשקעה,TDL VI,,,TDL VI,39025.0,פנימי,EUR,2024-12-11,2842.3153,11030.172985,678.972731,2634.88948,0.23888,2034-12-31
209,12119.0,התחייבות להשקעה,ICP A1 L.P.,,,AQUA,33881.0,פנימי,USD,2021-04-06,585.292,1934.975352,0.0,0.0,0.0,2030-12-31
