מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,"מפעלים פטרוכימיים בישראל בע""מ",520029315,ח.פ.,פטרוכימים אפ 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,חיפושי נפט וגז,2026-10-25,לא,ILS,37.5,0.01,5076.89,1.0,134.3,6.81826,0.01031,0.0
209,12119.0,"אפולו פאוור בע""מ",520043928,ח.פ.,אפולו פאוור אפ8,IL0012147414,ISIN,ישראל,ישראל,סחיר,TASE,IL0010821143,קלינטק,2026-03-10,לא,ILS,835.0,0.01,1557.51,1.0,251.6,3.9187,0.005925,0.0
209,12119.0,"ביג מרכזי קניות בע""מ",513623314,ח.פ.,ביג אפ 7,IL0012143454,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972607,"נדל""ן מניב בישראל",2026-06-01,לא,ILS,58000.0,0.01,1601.38,1.0,12600.0,201.77414,0.305122,1.7e-05
209,12119.0,"פאי סיאם בע""מ",513154617,ח.פ.,פאי סיאם   אפ 1,IL0012162827,ISIN,ישראל,ישראל,סחיר,TASE,IL0011865271,מלונאות ותיירות,2028-01-12,לא,ILS,4900.0,0.01,8407.97,1.0,480.1,40.36666,0.061042,3e-06
209,12119.0,"שובל הנדסה ובניין בע""מ",512951518,ח.פ.,שובל הנדסה אפ 1,IL0012159617,ISIN,ישראל,ישראל,סחיר,TASE,IL0012079682,בנייה,2027-01-10,לא,ILS,1023.0,0.01,3822.75,1.0,223.2,8.53238,0.012902,0.0
209,12119.0,"סולאיר אנרגיות מתחדשות בע""מ",516046307,ח.פ.,סולאיר אפ 1,IL0012179185,ISIN,ישראל,ישראל,סחיר,TASE,IL0011722878,אנרגיה מתחדשת,2026-08-31,לא,ILS,4152.0,0.01,3971.66,1.0,492.0,19.54055,0.029549,1e-06
209,12119.0,"זוז פאוור בע""מ",514881564,ח.פ.,זוז אופ 1 (נשר),1205160,ISIN,ישראל,ישראל,סחיר,TASE,IL0011741845,קלינטק,2029-06-30,לא,ILS,1.0,0.01,6217.45,1.0,0.0,0.0,0.0,0.0
209,12119.0,"קנדה גלובל (ט.ר) בע""מ",520041286,ח.פ.,קנדה גלובל אפ 1,IL0012181892,ISIN,ישראל,ישראל,סחיר,TASE,IL0001060131,"נדל""ן מניב בחו""ל",2029-02-27,לא,ILS,1675.0,0.01,7700.33,1.0,584.6,45.01614,0.068073,4e-06
209,12119.0,"בלדי בע""מ",511226136,ח.פ.,בלדי אפ 1,IL0012166620,ISIN,ישראל,ישראל,סחיר,TASE,IL0012125394,מסחר,2028-01-31,לא,ILS,2800.0,0.01,13130.47,1.0,1024.0,134.456,0.203324,1.2e-05
209,12119.0,"ווישור גלובלטק בע""מ",515559169,ח.פ.,ווישור אפ 1,IL0012292517,ISIN,ישראל,ישראל,סחיר,TASE,IL0011732281,ביטוח,2028-10-01,לא,ILS,1325.0,0.01,14973.73,1.0,162.1,24.27241,0.036704,2e-06
209,12119.0,"קבוצת חג'ג' אפשטיין בע""מ",515387231,ח.פ.,חג'ג' אפ 1,IL0012166547,ISIN,ישראל,ישראל,סחיר,TASE,IL0008230133,בנייה,2027-07-30,לא,ILS,3230.0,0.01,12604.05,1.0,158.2,19.9396,0.030152,1e-06
209,12119.0,"חג'ג' אירופה דיוולופמנט צ.ש בע""מ",515682292,ח.פ.,חגג אירופה אפ 1,IL0012188418,ISIN,ישראל,ישראל,סחיר,TASE,IL0011436354,בנייה,2027-09-01,לא,ILS,950.0,0.01,10930.8,1.0,125.0,13.6635,0.020661,1e-06
209,12119.0,"מגידו י.ק. ישראל בע""מ",510542855,ח.פ.,מגידו אפ 1,1225184,פנימי,ישראל,ישראל,סחיר,TASE,1216605,בנייה,2029-07-12,לא,ILS,850.0,0.01,31199.82,1.0,215.8,67.3292,0.101815,6e-06
209,12119.0,"אמות השקעות בע""מ",520026683,ח.פ.,אמות אפ 12,1225036,פנימי,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,לא,ILS,2800.0,0.01,13608.45,1.0,169.8,23.10715,0.034942,2e-06
209,12119.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,ח.פ.,נאוויטס פט אפ 6,1228824,פנימי,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,3156.11,1.0,1609.0,50.78176,0.076792,4e-06
209,12119.0,HOMETOGO SE,2221001IK1TS34BCHL37,LEI,HTGW GR 11.5 31/12/25,LU2290524383,ISIN,"חו""ל",גרמניה,סחיר,FWB,LU2290523658,Wireless Telecommunication Services,2025-12-31,לא,EUR,11.5,1.0,2592.98,3.8807,0.1,0.01006,1.5e-05,0.0
209,12119.0,Taboola.com Ltd,984500F5945AFAFFCB30,LEI,Taboola.com Ltd,IL0011754210,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US4576791085,Commercial Services & Supplies,2027-12-31,לא,USD,11.5,1.0,616.39,3.306,8.5,0.17321,0.000261,0.0
209,12119.0,LEO HOLDINGS III,7044,פנימי,Local Bounti Corp,US53960E1148,ISIN,"חו""ל","ארה""ב",סחיר,אחר,969743458,Industrial Conglomerates,2028-03-02,לא,USD,11.5,1.0,290.86,3.306,0.66,0.00635,9e-06,0.0
209,12119.0,Taboola.com Ltd,984500F5945AFAFFCB30,LEI,Taboola.com Ltd,IL0011754210,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,IL0011754137,Commercial Services & Supplies,2026-06-29,לא,USD,11.5,1.0,3980.25,3.306,8.5,1.11849,0.001691,0.0
