מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,נכס בסיס,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (בש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,"קבוצת אקרו בע""מ",511996803,ח.פ.,אפ לס אקרו 05.08.2026,IL0011849028,ISIN,מניה,ישראל,ישראל,בנייה,מניות לרבות מדדי מניות,2026-08-05,לא,2025-04-07,ILS,אחר,אי-תלות,2025-09-30,70.0,0.01,765.45,123.307002,1.0,0.94386,1.5e-05,0.0
209,12119.0,"אנלייט אנרגיה מתחדשת בע""מ",520041146,ח.פ.,CALL001 אנלייט 17.12.2025,IL0007200111,ISIN,מניה,ישראל,ישראל,אנרגיה מתחדשת,מניות לרבות מדדי מניות,2025-12-17,לא,2024-12-18,ILS,אחר,אי-תלות,2025-09-30,5869.0,1.0,16442.39,10190.0,1.0,1675.47915,0.02724,0.000149
209,12119.0,"טופ גאם תעשיות בע""מ",513561399,ח.פ.,אפ לס טופ גאם 31.01.2027,IL0011791428,ISIN,מניה,ישראל,ישראל,פודטק,מניות לרבות מדדי מניות,2027-01-31,לא,2025-07-31,ILS,אחר,אי-תלות,2025-09-30,1025.0,0.01,23173.2,125.559153,1.0,29.09607,0.000473,2e-06
209,12119.0,"אחים דוניץ בע""מ",520038605,ח.פ.,אפ לס דוניץ 31.12.25,IL0004000100,ISIN,מניה,ישראל,ישראל,בנייה,מניות לרבות מדדי מניות,2025-12-31,לא,2025-01-24,ILS,אחר,אי-תלות,2025-09-30,272.5,0.01,1243.05,1076.583553,1.0,13.38249,0.000217,1e-06
209,12119.0,"רוטשטיין נדל""ן בע""מ",520039959,ח.פ.,אפ לס בכספת-רוטשטין 26.07.2026,IL0005390153,ISIN,מניה,ישראל,ישראל,בנייה,מניות לרבות מדדי מניות,2026-07-26,לא,2025-01-28,ILS,אחר,אי-תלות,2025-09-30,73.0,0.01,6082.07,2363.490861,1.0,143.74922,0.002337,1.2e-05
209,12119.0,"אנלייט אנרגיה מתחדשת בע""מ",520041146,ח.פ.,CALL001 אנלייט 17.12.2025,IL0007200111,ISIN,מניה,ישראל,ישראל,אנרגיה מתחדשת,מניות לרבות מדדי מניות,2025-12-17,לא,2024-12-31,ILS,אחר,אי-תלות,2025-09-30,5869.0,1.0,50313.98,10190.0,1.0,5126.9944,0.083356,0.000457
209,12119.0,"אשדוד אנרגיה בע""מ",513846667,ח.פ.,אשדוד  ורמת נגב אנרגיה-קיקר 31.12.34,1004533,טיקר,מניה,ישראל,ישראל,אנרגיה,אחר,2034-12-31,לא,2019-03-06,ILS,מומחה בלתי תלוי,אי-תלות,2025-09-30,0.0,1.0,89849.58,108.8916,1.0,97.83865,0.00159,8e-06
209,12119.0,תחנות כח רמת חובב שותפות מוגבלת,540285947,ח.פ.,קיקר רמת חובב 30.06.40,10047344,טיקר,מניה,ישראל,ישראל,אנרגיה,אחר,2040-06-30,לא,2020-12-02,ILS,מומחה בלתי תלוי,אי-תלות,2025-09-30,0.0,1.0,75890.21,372.846983,1.0,282.95437,0.0046,2.5e-05
209,12119.0,"איי.פי.סי. ירושלים בע""מ",513731554,ח.פ.,איי.פי.סי-קיקר 03.09.29,10046044,טיקר,מניה,ישראל,ישראל,מלונאות ותיירות,אחר,2029-09-03,לא,2019-09-03,USD,מומחה בלתי תלוי,אי-תלות,2025-09-30,0.0,1.0,3798.47,239.875582,3.306,30.12294,0.000489,2e-06
209,12119.0,"אשדוד התפלה בע""מ",514357060,ח.פ.,אשדוד התפלה קיקר,84666750,טיקר,מניה,ישראל,ישראל,תשתיות,אחר,2038-09-08,לא,2022-08-22,ILS,מומחה בלתי תלוי,אי-תלות,2025-09-30,0.0,1.0,160027.86,110.369898,1.0,176.62259,0.002871,1.5e-05
209,12119.0,Avo,515658912,ח.פ.,אופציה תכנית 43,34026,טיקר,מניה,ישראל,"ארה""ב",השקעות בהיי-טק,אחר,2027-12-31,לא,2022-12-31,USD,מומחה בלתי תלוי,אי-תלות,2025-09-30,0.0,1.0,6799.27,2050.9348,3.306,461.01705,0.007495,4.1e-05
209,12119.0,"סולאיר אנרגיות מתחדשות בע""מ",516046307,ח.פ.,אפ לס סולאיר סדרה א 25.12.2025,11722872,פנימי,מניה,ישראל,ישראל,אנרגיה מתחדשת,מניות לרבות מדדי מניות,2025-12-25,לא,2024-04-30,ILS,אחר,אי-תלות,2025-09-30,38.52,0.01,3192.57,788.722208,1.0,25.18051,0.000409,2e-06
209,12119.0,PowerGen,10128,פנימי,PowerGen Option,34100,פנימי,מניה,ישראל,ישראל,תשתיות,תשתיות,2027-01-24,לא,2024-03-18,ILS,מומחה בלתי תלוי,אי-תלות,2025-09-30,0.0,1.0,17.53,100.0,1.0,0.01753,0.0,0.0
